state,beta
bdi,-0.00663672978635763
car,0.00808861546565512
cdi,0.009620932258541735
chad,-0.003382281771247774
col,-0.010979559686729623
lbn,-0.011742855899885359
lib,0.03791953981382118
mali,-0.15028345726730788
mmr,0.07295421365908773
npl,-0.023090448732919985
sdn,0.026281951065181244
sle,-0.00914156770354332
syr,-0.017782866800327767
tls,-0.007682687587522658
yem,-0.0028039728035702547
