variable,mean_funded,mean_notfunded,diff,p_value
in_degree,1.0434782608695652,0.7642276422764228,0.2792506185931424,1.9346160097380725e-4
total_degree,1.0434782608695652,1.7235772357723578,-0.6800989749027926,1.572414032926127e-4
betweenness,0,0,0,NA
pagerank,0.029279310220888415,0.035175413535931434,-0.005896103315043019,0.05799381445993021
