name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministry of energy water resources and irrigation,ministry of irrigation and water resources,92.3,78.9,ministry of energy water resources and irrigation,token_sort,"Ministry of Energy, Water Resources and Irrigation",Ministry of Irrigation and Water Resources
ministry of energy water resources and irrigation,ministry of water resources and irrigation,92.3,87.2,ministry of water resources and irrigation,token_sort,"Ministry of Energy, Water Resources and Irrigation",Ministry of Water Resources and Irrigation
united nations development programme,united nations development programme sudan,92.3,100.0,united nations development programme,token_sort,United Nations Development Programme,United Nations Development Programme Sudan
united nations development programme,united nations development programme syria,92.3,100.0,united nations development programme,token_sort,United Nations Development Programme,United Nations Development Programme Syria
universita degli studi di trento,universita degli studi di trieste,92.3,93.8,universita degli studi di trento,token_sort,Università degli Studi di Trento,Università degli Studi di Trieste
pan american development foundation,pan american development foundation haiti,92.1,100.0,pan american development foundation,token_sort,Pan American Development Foundation,Pan American Development Foundation Haiti
embassy of the republic of poland in amman,embassy of the republic of poland in damascus,92.0,96.4,embassy of the republic of poland in damascus,token_sort,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Damascus
ministry of science and higher education,ministry of science and higher education poland,92.0,100.0,ministry of science and higher education poland,token_sort,Ministry of Science and Higher Education,Ministry of Science and Higher Education - Poland
government of mali,government of malta,91.9,97.1,government of mali,token_sort,Government of Mali,Government of Malta
embassy of the republic of poland in amman,embassy of the republic of poland in ankara,91.8,96.3,embassy of the republic of poland in ankara,token_sort,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Ankara
embassy of the republic of poland in ankara,embassy of the republic of poland in cairo,91.8,95.0,embassy of the republic of poland in ankara,token_sort,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Cairo
embassy of the republic of poland in beirut,embassy of the republic of poland in cairo,91.8,94.0,embassy of the republic of poland in beirut,token_sort,Embassy of the Republic of Poland in Beirut,Embassy of the Republic of Poland in Cairo
fundacion desarrollo sostenible,fundacion desarrollo sostenido,91.8,96.6,fundacion desarrollo sostenido,token_sort,Fundación Desarrollo Sostenible,Fundación Desarrollo Sostenido
service de cooperation au developpement,service laique de cooperation au developpement,91.8,91.7,service laique de cooperation au developpement,token_sort,Service de Coopération au Développement,Service laïque de coopération au développement
care danmark,care denmark,91.7,91.7,care denmark,token_sort,CARE Danmark,CARE Denmark
plan international italia,plan international mali,91.7,93.0,plan international mali,token_sort,Plan International Italia,Plan International Mali
population services international,population services international sudan,91.7,100.0,population services international,token_sort,Population Services International,Population Services International Sudan
young men s christian association,young men s christian association spain,91.7,100.0,young men s christian association,token_sort,Young Men's Christian Association,Young Men's Christian Association - Spain
export import bank of korea,export import bank south korea,91.2,85.2,export import bank south korea,token_sort,Export-Import Bank of Korea,Export-Import Bank - South Korea
international hiv aids alliance,international hiv alliance,91.2,87.0,international hiv aids alliance,token_sort,International HIV/AIDS Alliance,International HIV Alliance
ministry of rail transportation,ministry of transportation,91.2,80.8,ministry of rail transportation,token_sort,Ministry of Rail Transportation,Ministry of Transportation
italian agency for development cooperation la paz office,italian agency for development cooperation yangon office,91.1,91.1,italian agency for development cooperation yangon office,token_sort,Italian Agency for Development Cooperation - La Paz Office,Italian Agency for Development Cooperation - Yangon Office
ministry of technical and vocational education,ministry of technical education and vocational training,91.1,82.2,ministry of technical education and vocational training,token_sort,Ministry of Technical and Vocational Education,Ministry of Technical Education and Vocational Training
energie du mali,energie du mali sa,90.9,100.0,energie du mali,token_sort,Energie du Mali,Energie du Mali SA
fundacion acodea,fundacion codespa,90.9,93.3,fundacion codespa,token_sort,Fundación Acodea,Fundación CODESPA
international organization for migration,international organization for migration ireland,90.9,100.0,international organization for migration,token_sort,International Organization for Migration,International Organization for Migration Ireland
life and peace institute,life peace institute,90.9,88.9,life and peace institute,token_sort,The Life and Peace Institute,Life & Peace Institute
united nations children s fund,united nations children s fund sudan,90.9,100.0,united nations children s fund,token_sort,United Nations Children's Fund,United Nations Children's Fund Sudan
embassy of the republic of poland in beirut,embassy of the republic of poland in bogota,90.7,93.8,embassy of the republic of poland in beirut,token_sort,Embassy of the Republic of Poland in Beirut,Embassy of the Republic of Poland in Bogota
institute for human rights and business,institute for human rights and business vietnam,90.7,100.0,institute for human rights and business,token_sort,Institute for Human Rights and Business,Institute for Human Rights and Business Vietnam
united nations children s fund australia committee,united nations children s fund canada committee,90.7,87.2,united nations children s fund canada committee,token_sort,United Nations Children's Fund - Australia Committee,United Nations Children's Fund - Canada Committee
embassy of the republic of poland in amman,embassy of the republic of poland in cairo,90.5,95.0,embassy of the republic of poland in amman,token_sort,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Cairo
ministry of agriculture,ministry of culture,90.5,78.9,ministry of culture,token_sort,Ministry of Agriculture,Ministry of Culture
ministry of finance,ministry of finance drc,90.5,100.0,ministry of finance,token_sort,Ministry of Finance,Ministry of Finance - DRC
ministry of health and population,ministry of public health and population,90.4,80.7,ministry of health and population,token_sort,Ministry of Health and Population,Ministry of Public Health and Population
comunita di sant egidio,comunita di sant egidio acap,90.2,100.0,comunita di sant egidio acap,token_sort,Comunità di Sant'Egidio,Comunità di Sant'Egidio - ACAP
economic research forum,economic research forum npio,90.2,100.0,economic research forum,token_sort,Economic Research Forum,Economic Research Forum NPIO
office of the president,office of the vice president,90.2,78.3,office of the vice president,token_sort,Office of the President,Office of the Vice President
united nations high commissioner for refugees italy committee,united nations high commissioner for refugees spain committee,90.2,93.4,united nations high commissioner for refugees spain committee,token_sort,United Nations High Commissioner for Refugees - Italy Committee,United Nations High Commissioner for Refugees - Spain Committee
ministere de la sante et de la population,ministere de la sante publique et de la population,90.1,78.0,ministere de la sante et de la population,token_sort,Ministère de la Santé et de la Population,Ministère de la Santé Publique et de la Population
ministry of agriculture and food security,ministry of agriculture forestry and food security,90.1,79.5,ministry of agriculture forestry and food security,token_sort,Ministry of Agriculture and Food Security,"Ministry of Agriculture, Forestry and Food Security"
ministry of foreign affairs latvia,ministry of foreign affairs lithuania,90.1,93.8,ministry of foreign affairs lithuania,token_sort,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Lithuania
government of liberia,government of libya,90.0,94.4,government of libya,token_sort,Government of Liberia,Government of Libya
ministry of foreign affairs,ministry of foreign affairs japan,90.0,100.0,ministry of foreign affairs japan,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Japan
world vision finland,world vision ireland,90.0,90.0,world vision ireland,token_sort,World Vision Finland,World Vision Ireland
federation genevoise de cooperation,federation vaudoise de cooperation,89.9,88.2,federation genevoise de cooperation,token_sort,Fédération Genevoise de Coopération,Fédération vaudoise de coopération
inter american development bank,inter american development bank invest,89.9,100.0,inter american development bank,token_sort,Inter-American Development Bank,Inter-American Development Bank Invest
ministry of foreign affairs poland,ministry of foreign affairs romania,89.9,92.5,ministry of foreign affairs poland,token_sort,Ministry of Foreign Affairs - Poland,Ministry of Foreign Affairs - Romania
united nations relief and works agency for palestine refugees in the near east,united nations relief and works agency for palestine refugees in the near east spanish committee,89.7,100.0,united nations relief and works agency for palestine refugees in the near east,token_sort,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East - Spanish Committee
ministere de l action humanitaire et de la reconciliation nationale,ministere de l’action humanitaire et de la reconciliation nationale,89.6,98.5,ministere de l action humanitaire et de la reconciliation nationale,token_sort,Ministère de l' Action Humanitaire Et de la Réconciliation Nationale,Ministère de l’Action humanitaire et de la Réconciliation Nationale
ministere de l enseignement superieur et de la recherche,ministere de l enseignement superieur et de la recherche scientifique,89.6,100.0,ministere de l enseignement superieur et de la recherche,token_sort,Ministère de l'Enseignement supérieur et de la Recherche,Ministère de l'Enseignement supérieur et de la Recherche scientifique
ministry of foreign affairs japan,ministry of foreign affairs latvia,89.6,92.1,ministry of foreign affairs japan,token_sort,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Latvia
italian agency for development cooperation khartoum office,italian agency for development cooperation la paz office,89.5,87.5,italian agency for development cooperation khartoum office,token_sort,Italian Agency for Development Cooperation - Khartoum Office,Italian Agency for Development Cooperation - La Paz Office
embassy of the republic of poland in amman,embassy of the republic of poland in bogota,89.4,93.7,embassy of the republic of poland in bogota,token_sort,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Bogota
embassy of the republic of poland in bogota,embassy of the republic of poland in cairo,89.4,93.8,embassy of the republic of poland in bogota,token_sort,Embassy of the Republic of Poland in Bogota,Embassy of the Republic of Poland in Cairo
ministry of public health,ministry of public health qatar,89.3,100.0,ministry of public health qatar,token_sort,Ministry of Public Health,Ministry of Public Health - Qatar
sierra leone ports authority,sierra leone roads authority,89.3,89.3,sierra leone roads authority,token_sort,Sierra Leone Ports Authority,Sierra Leone Roads Authority
ministere de l education de l alphabetisation et des langues nationales,ministre de l education nationale et de l alphabetisation,89.1,86.3,ministere de l education de l alphabetisation et des langues nationales,token_sort,"Ministère de l'Education, de l'Alphabétisation et des Langues Nationales",Ministre de l'Education Nationale et de l'Alphabétisation
community of asturias spain,community of canarias spain,88.9,88.9,community of asturias spain,token_sort,Community of Asturias - Spain,Community of Canarias - Spain
federal ministry of the interior,federal ministry of the interior austria,88.9,100.0,federal ministry of the interior austria,token_sort,Federal Ministry of the Interior,Federal Ministry of the Interior - Austria
italian agency for development cooperation khartoum office,italian agency for development cooperation mogadishu office,88.9,87.9,italian agency for development cooperation mogadishu office,token_sort,Italian Agency for Development Cooperation - Khartoum Office,Italian Agency for Development Cooperation - Mogadishu Office
plan international ireland,plan international nederland,88.9,87.5,plan international ireland,token_sort,Plan International Ireland,Plan International Nederland
united nations development programme,united nations environment programme,88.9,88.9,united nations development programme,token_sort,United Nations Development Programme,United Nations Environment Programme
veterinaires sans frontieres,veterinaires sans frontieres europa,88.9,100.0,veterinaires sans frontieres,token_sort,Vétérinaires Sans Frontières,Veterinaires Sans Frontieres Europa
veterinaires sans frontieres,veterinaires sans frontieres suisse,88.9,100.0,veterinaires sans frontieres,token_sort,Vétérinaires Sans Frontières,Vétérinaires Sans Frontières Suisse
bridge group,bridgeway group,88.9,75.0,bridge group,token_sort,The Bridge Group,Bridgeway Group
presidency of the council of ministers,president of the council of ministers italy,88.9,96.0,presidency of the council of ministers,token_sort,Presidency of the Council of Ministers,President of the Council of Ministers - Italy
italian agency for development cooperation la paz office,italian agency for development cooperation mogadishu office,88.7,87.1,italian agency for development cooperation mogadishu office,token_sort,Italian Agency for Development Cooperation - La Paz Office,Italian Agency for Development Cooperation - Mogadishu Office
embassy of the republic of poland in ankara,embassy of the republic of poland in damascus,88.6,92.9,embassy of the republic of poland in damascus,token_sort,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Damascus
ministry of foreign affairs denmark,ministry of foreign affairs estonia,88.6,91.2,ministry of foreign affairs denmark,token_sort,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs poland,ministry of foreign affairs portugal,88.6,93.8,ministry of foreign affairs poland,token_sort,Ministry of Foreign Affairs - Poland,Ministry of Foreign Affairs - Portugal
christian blind mission ireland,christian blind mission italia,88.5,91.5,christian blind mission italia,token_sort,Christian Blind Mission Ireland,Christian Blind Mission Italia
ministry of foreign affairs,ministry of foreign affairs greece,88.5,100.0,ministry of foreign affairs greece,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Greece
ministry of foreign affairs,ministry of foreign affairs latvia,88.5,100.0,ministry of foreign affairs,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs,ministry of foreign affairs norway,88.5,100.0,ministry of foreign affairs norway,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Norway
ministry of foreign affairs,ministry of foreign affairs poland,88.5,100.0,ministry of foreign affairs poland,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Poland
ministry of health puntland,ministry of health uganda,88.5,89.4,ministry of health uganda,token_sort,Ministry of Health - Puntland,Ministry of Health - Uganda
