name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministry of foreign affairs,ministry of foreign affairs portugal,85.7,100.0,ministry of foreign affairs portugal,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Portugal
ministry of foreign affairs belgium,ministry of foreign affairs denmark,85.7,89.6,ministry of foreign affairs denmark,token_sort,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs belgium,ministry of foreign affairs estonia,85.7,90.6,ministry of foreign affairs estonia,token_sort,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs japan,ministry of foreign affairs lithuania,85.7,91.8,ministry of foreign affairs japan,token_sort,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Lithuania
ministry of health,ministry of health italy,85.7,100.0,ministry of health,token_sort,Ministry of Health,Ministry of Health - Italy
ministry of health,ministry of health libya,85.7,100.0,ministry of health,token_sort,Ministry of Health,Ministry of Health - Libya
ministry of health,ministry of health spain,85.7,100.0,ministry of health spain,token_sort,Ministry of Health,Ministry of Health - Spain
ministry of health spain,ministry of health uganda,85.7,89.4,ministry of health spain,token_sort,Ministry of Health - Spain,Ministry of Health - Uganda
ministry of health spain,ministry of public health,85.7,70.8,ministry of health spain,token_sort,Ministry of Health - Spain,Ministry of Public Health
norges r<f8>de kors,norges røde kors,85.7,75.0,norges røde kors,token_sort,Norges R<f8>de Kors,Norges Røde Kors|Norges Røde Kors
plan international,plan international norge,85.7,100.0,plan international,token_sort,Plan International,Plan International Norge
plan international mali,plan international myanmar,85.7,93.3,plan international mali,token_sort,Plan International Mali,Plan International Myanmar
united nations development programme,united nations development programme south sudan,85.7,100.0,united nations development programme,token_sort,United Nations Development Programme,United Nations Development Programme South Sudan
united nations development programme,united nations development programme timor leste,85.7,100.0,united nations development programme,token_sort,United Nations Development Programme,United Nations Development Programme Timor Leste
universita degli studi di trento,universita degli studi roma tre,85.7,90.0,universita degli studi roma tre,token_sort,Università degli Studi di Trento,Universita degli Studi Roma Tre
war child,war child uk,85.7,100.0,war child,token_sort,War Child,War Child UK
world vision australia,world vision somalia,85.7,82.4,world vision australia,token_sort,World Vision Australia,World Vision Somalia
united nations development programme mali,united nations development programme timor leste,85.4,95.0,united nations development programme mali,token_sort,United Nations Development Programme Mali,United Nations Development Programme Timor Leste
community of asturias spain,community of cataluna spain,85.2,85.2,community of asturias spain,token_sort,Community of Asturias - Spain,Community of Cataluña - Spain
community of canarias spain,community of cataluna spain,85.2,85.2,community of cataluna spain,token_sort,Community of Canarias - Spain,Community of Cataluña - Spain
italian agency for development cooperation havana office,italian agency for development cooperation mogadishu office,85.2,87.1,italian agency for development cooperation mogadishu office,token_sort,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - Mogadishu Office
italian agency for development cooperation mogadishu office,italian agency for development cooperation yangon office,85.2,87.1,italian agency for development cooperation mogadishu office,token_sort,Italian Agency for Development Cooperation - Mogadishu Office,Italian Agency for Development Cooperation - Yangon Office
ministry of agriculture,ministry of agriculture hungary,85.2,100.0,ministry of agriculture,token_sort,Ministry of Agriculture,Ministry of Agriculture - Hungary
ministry of education and sports,ministry of health and sports,85.2,79.3,ministry of health and sports,token_sort,Ministry of Education and Sports,Ministry of Health and Sports
prime minister s office,prime minister s office hungary,85.2,100.0,prime minister s office hungary,token_sort,Prime Minister's Office,Prime Minister's Office - Hungary
doctors of the world,doctors of the world canada,85.1,100.0,doctors of the world canada,token_sort,Doctors of the World,Doctors of the World Canada
government of guinea,government of guinea bissau,85.1,100.0,government of guinea bissau,token_sort,Government of Guinea,Government of Guinea-Bissau
ministry of interior,ministry of interior france,85.1,100.0,ministry of interior,token_sort,Ministry of Interior,Ministry of Interior - France
roskilde universitet,roskilde universitetscenter,85.1,100.0,roskilde universitetscenter,token_sort,Roskilde Universitet,Roskilde Universitetscenter
united nations children s fund belgium committee,united nations children s fund spain committee,85.1,87.0,united nations children s fund spain committee,token_sort,United Nations Children's Fund - Belgium Committee,United Nations Children's Fund - Spain Committee
government of belgium,government of benin,85.0,91.4,government of belgium,token_sort,Government of Belgium,Government of Benin
government of benin,government of burundi,85.0,88.2,government of burundi,token_sort,Government of Benin,Government of Burundi
government of lebanon,government of libya,85.0,91.9,government of libya,token_sort,Government of Lebanon,Government of Libya
government of liberia,government of niger,85.0,89.5,government of niger,token_sort,Government of Liberia,Government of Niger
government of malta,government of myanmar,85.0,88.9,government of myanmar,token_sort,Government of Malta,Government of Myanmar
government of somalia,government of syria,85.0,88.2,government of syria,token_sort,Government of Somalia,Government of Syria
trial international,tricomp international,85.0,84.8,trial international,token_sort,TRIAL International,Tricomp International
ministry of foreign affairs netherlands,ministry of foreign affairs norway,84.9,92.1,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Netherlands,Ministry of Foreign Affairs - Norway
united nations high commissioner for refugees,united nations high commissioner for refugees italy committee,84.9,100.0,united nations high commissioner for refugees,partial_ratio,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees - Italy Committee
united nations high commissioner for refugees,united nations high commissioner for refugees spain committee,84.9,100.0,united nations high commissioner for refugees,partial_ratio,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees - Spain Committee
adventist development and relief agency danmark,adventist development and relief agency norge,84.8,94.1,adventist development and relief agency norge,partial_ratio,Adventist Development and Relief Agency Danmark,Adventist Development and Relief Agency Norge
united nations mission in nepal,united nations mission in the sudan,84.8,91.2,united nations mission in nepal,partial_ratio,United Nations Mission in Nepal,United Nations Mission in the Sudan
universita degli studi di foggia,universita degli studi di roma tre,84.8,90.3,universita degli studi di roma tre,partial_ratio,Università degli Studi di Foggia,Università degli Studi di Roma Tre
embassy of greece in rome,embassy of greece in vienna,84.6,91.3,embassy of greece in rome,partial_ratio,Embassy of Greece in Rome,Embassy of Greece in Vienna
aga khan foundation,aga khan foundation canada,84.4,100.0,aga khan foundation canada,partial_ratio,Aga Khan Foundation,Aga Khan Foundation Canada
amref health africa,amref health africa canada,84.4,100.0,amref health africa,partial_ratio,Amref Health Africa,Amref Health Africa - Canada
ministry of finance,ministry of finance norway,84.4,100.0,ministry of finance,partial_ratio,Ministry of Finance,Ministry of Finance - Norway
ministry of foreign affairs,ministry of foreign affairs lithuania,84.4,100.0,ministry of foreign affairs lithuania,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Lithuania
united nations development programme syria,united nations development programme timor leste,84.4,93.8,united nations development programme syria,partial_ratio,United Nations Development Programme Syria,United Nations Development Programme Timor Leste
government of haiti,government of italy,84.2,91.4,government of italy,partial_ratio,Government of Haiti,Government of Italy
government of israel,government of mali,84.2,90.9,government of mali,partial_ratio,Government of Israel,Government of Mali
government of nepal,government of niger,84.2,91.4,government of nepal,partial_ratio,Government of Nepal,Government of Niger
ministry of foreign affairs and emigrants,ministry of foreign affairs denmark,84.2,90.6,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Denmark
secretaria de educacion de antioquia,secretaria de educacion de bogota,84.1,91.8,secretaria de educacion de bogota,partial_ratio,Secretaría de Educación de Antioquia,Secretaría de Educación de Bogotá
united nations high commissioner for refugees,united nations high commissioner for refugees euskal batzordea,84.1,100.0,united nations high commissioner for refugees,partial_ratio,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees - Euskal Batzordea
amref health africa italy,amref health africa spain,84.0,91.3,amref health africa italy,partial_ratio,Amref Health Africa - Italy,AMREF Health Africa - Spain
international organization for migration ireland,international organization for migration timor leste,84.0,92.3,international organization for migration ireland,partial_ratio,International Organization for Migration Ireland,International Organization for Migration Timor-Leste
italian agency for development cooperation,italian agency for development cooperation khartoum office,84.0,100.0,italian agency for development cooperation,partial_ratio,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Khartoum Office
ministry of education and higher education,ministry of education higher education and research france,84.0,95.0,ministry of education higher education and research france,partial_ratio,Ministry of Education and Higher Education,"Ministry of Education, Higher Education and Research - France"
plan international ireland,plan international norge,84.0,91.3,plan international ireland,partial_ratio,Plan International Ireland,Plan International Norge
fundacion acodea,fundacion barco,83.9,92.9,fundacion barco,partial_ratio,Fundación Acodea,Fundación Barco
ministry of health and population,ministry of health and sports,83.9,92.6,ministry of health and population,partial_ratio,Ministry of Health and Population,Ministry of Health and Sports
ministry of social affairs,ministry of social affairs and labor,83.9,100.0,ministry of social affairs,partial_ratio,Ministry of Social Affairs,Ministry of Social Affairs and Labor
ministry of economy and finance,ministry of economy and finance south korea,83.8,100.0,ministry of economy and finance south korea,partial_ratio,Ministry of Economy and Finance,Ministry of Economy and Finance - South Korea
government of malta,government of mauritania,83.7,91.4,government of malta,partial_ratio,Government of Malta,Government of Mauritania
ministry of health,ministry of health angola,83.7,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health - Angola
ministry of health,ministry of health greece,83.7,100.0,ministry of health greece,partial_ratio,Ministry of Health,Ministry of Health - Greece
ministry of health,ministry of health jordan,83.7,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health - Jordan
ministry of health,ministry of health uganda,83.7,100.0,ministry of health uganda,partial_ratio,Ministry of Health,Ministry of Health - Uganda
municipality of tripoli,municipality of tyre,83.7,94.7,municipality of tripoli,partial_ratio,Municipality of Tripoli,Municipality of Tyre
partners in health,partners in health canada,83.7,100.0,partners in health,partial_ratio,Partners In Health,Partners In Health Canada
plan international,plan international canada,83.7,100.0,plan international canada,partial_ratio,Plan International,Plan International Canada
plan international,plan international italia,83.7,100.0,plan international,partial_ratio,Plan International,Plan International Italia
united nations development programme,united nations development programme guinea bissau,83.7,100.0,united nations development programme,partial_ratio,United Nations Development Programme,United Nations Development Programme Guinea-Bissau
universite de moncton,universite de montreal,83.7,92.3,universite de montreal,partial_ratio,Université de Moncton,Université de Montréal
universitetet i agder,universitetet i bergen,83.7,90.0,universitetet i bergen,partial_ratio,Universitetet i Agder,Universitetet i Bergen
embassy of canada to chile,embassy of canada to colombia,83.6,92.0,embassy of canada to chile,partial_ratio,Embassy of Canada to Chile,Embassy of Canada to Colombia
ministere de l enseignement superieur et de la recherche scientifique,ministere de l’enseignement superieur et de la recherche scientifique burundi,83.6,98.6,ministere de l’enseignement superieur et de la recherche scientifique burundi,partial_ratio,Ministère de l'Enseignement supérieur et de la Recherche scientifique,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
ministry of foreign affairs greece,ministry of foreign affairs japan,83.6,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Japan
universita degli studi di palermo,universita degli studi di roma tre,83.6,91.8,universita degli studi di roma tre,partial_ratio,Università degli Studi di Palermo,Università degli Studi di Roma Tre
youth development foundation,youth leadership development foundation,83.6,90.2,youth development foundation,partial_ratio,Youth Development Foundation Inc.,Youth Leadership Development Foundation
programme national de lutte contre la tuberculose,programme national de lutte contre le sida,83.5,93.7,programme national de lutte contre le sida,partial_ratio,Programme National de Lutte contre la Tuberculose,Programme National de Lutte contre le Sida
united nations development programme guinea bissau,united nations development programme mali,83.5,94.9,united nations development programme mali,partial_ratio,United Nations Development Programme Guinea-Bissau,United Nations Development Programme Mali
industrial bank of syria,industrial bank of yemen,83.3,90.9,industrial bank of yemen,partial_ratio,The Industrial Bank of Syria,Industrial Bank of Yemen
ministry of foreign affairs and international cooperation,ministry of foreign affairs and international trade,83.3,94.8,ministry of foreign affairs and international trade,partial_ratio,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs and International Trade
ministry of interior,ministry of interior austria,83.3,100.0,ministry of interior,partial_ratio,Ministry of Interior,Ministry of Interior - Austria
ministry of public health drc,ministry of public health qatar,83.3,94.5,ministry of public health qatar,partial_ratio,Ministry of Public Health - DRC,Ministry of Public Health - Qatar
partners west africa,partners west africa senegal,83.3,100.0,partners west africa,partial_ratio,Partners West Africa,Partners West Africa Senegal
united nations peacebuilding commission,united nations peacebuilding fund,83.3,93.5,united nations peacebuilding fund,partial_ratio,United Nations Peacebuilding Commission,United Nations Peacebuilding Fund
italian agency for development cooperation,italian agency for development cooperation mogadishu office,83.2,100.0,italian agency for development cooperation,partial_ratio,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Mogadishu Office
ministry of foreign affairs,ministry of foreign affairs kazakhstan,83.1,100.0,ministry of foreign affairs,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Kazakhstan
programme national de lutte contre le paludisme,programme national de lutte contre le sida,83.1,95.1,programme national de lutte contre le sida,partial_ratio,Programme National de Lutte contre le Paludisme,Programme National de Lutte contre le Sida
universita degli studi di foggia,universita degli studi di palermo,83.1,90.0,universita degli studi di foggia,partial_ratio,Università degli Studi di Foggia,Università degli Studi di Palermo
universita degli studi di foggia,universita degli studi di sassari,83.1,90.0,universita degli studi di foggia,partial_ratio,Università degli Studi di Foggia,Università degli Studi di Sassari
african development fund,african development solutions,83.0,90.9,african development fund,partial_ratio,African Development Fund,African Development Solutions
ministry of defense slovenia,ministry of defense spain,83.0,91.3,ministry of defense spain,partial_ratio,Ministry of Defense - Slovenia,Ministry of Defense - Spain
government of senegal,government of sweden,82.9,91.9,government of sweden,partial_ratio,Government of Senegal,Government of Sweden
medecins du monde,medecins du monde canada,82.9,100.0,medecins du monde,partial_ratio,Médecins Du Monde,Médecins du Monde Canada
samaritan s purse,samaritan s purse canada,82.9,100.0,samaritan s purse,partial_ratio,Samaritan's Purse,Samaritan's Purse Canada
united nations children s fund spain committee,united nations children s fund sudan,82.9,94.4,united nations children s fund spain committee,partial_ratio,United Nations Children's Fund - Spain Committee,United Nations Children's Fund Sudan
crown agents,crown agents bank,82.8,100.0,crown agents,partial_ratio,Crown Agents,Crown Agents Bank
ministerio da saude,ministerio da saude publica,82.6,100.0,ministerio da saude publica,partial_ratio,Ministério da Saúde,Ministério da Saúde Pública
ministry of finance,ministry of finance senegal,82.6,100.0,ministry of finance,partial_ratio,Ministry of Finance,Ministry of Finance - Senegal
ministry of justice,ministry of justice romania,82.6,100.0,ministry of justice,partial_ratio,Ministry of Justice,Ministry of Justice - Romania
georgetown university,georgetown university in qatar,82.4,100.0,georgetown university in qatar,partial_ratio,Georgetown University,Georgetown University in Qatar
international commission of jurists,international commission of jurists danish section,82.4,100.0,international commission of jurists danish section,partial_ratio,International Commission of Jurists,International Commission of Jurists - Danish Section
istituto oikos,istituto oikos onlus,82.4,100.0,istituto oikos onlus,partial_ratio,Istituto Oikos,Istituto Oikos Onlus
ministry of foreign affairs greece,ministry of foreign affairs latvia,82.4,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs norway,ministry of foreign affairs poland,82.4,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Norway,Ministry of Foreign Affairs - Poland
universita degli studi di macerata,universita degli studi di roma tre,82.4,90.6,universita degli studi di roma tre,partial_ratio,Università degli Studi di Macerata,Università degli Studi di Roma Tre
ministry of foreign affairs greece,ministry of foreign affairs south korea,82.2,90.3,ministry of foreign affairs south korea,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - South Korea
programme national de lutte contre le sida,programme nationale de lutte contre le paludisme,82.2,94.0,programme national de lutte contre le sida,partial_ratio,Programme National de Lutte contre le Sida,Programme Nationale De Lutte Contre Le Paludisme
united nations development programme sudan,united nations development programme timor leste,82.2,93.7,united nations development programme sudan,partial_ratio,United Nations Development Programme Sudan,United Nations Development Programme Timor Leste
embassy of the czech republic in lebanon,embassy of the czech republic in sanaa,82.1,93.0,embassy of the czech republic in lebanon,partial_ratio,Embassy of the Czech Republic in Lebanon,Embassy of the Czech Republic in Sanáa
government of liberia,government of mali,82.1,94.1,government of mali,partial_ratio,Government of Liberia,Government of Mali
government of mali,government of myanmar,82.1,91.4,government of mali,partial_ratio,Government of Mali,Government of Myanmar
ministry of foreign affairs and expatriates,ministry of foreign affairs denmark,82.1,90.6,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs and expatriates,ministry of foreign affairs estonia,82.1,90.6,ministry of foreign affairs estonia,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Estonia
secretaria de educacion,secretaria de educacion de bogota,82.1,100.0,secretaria de educacion de bogota,partial_ratio,Secretaría de Educación,Secretaría de Educación de Bogotá
sudanese red crescent,sudanese red cross,82.1,91.4,sudanese red crescent,partial_ratio,Sudanese Red Crescent,Sudanese Red Cross
adventist development and relief agency canada,adventist development and relief agency czech republic,82.0,94.3,adventist development and relief agency canada,partial_ratio,Adventist Development and Relief Agency Canada,Adventist Development and Relief Agency Czech Republic
afro asiatisches institut salzburg,afro asiatisches institut vienna,81.8,90.0,afro asiatisches institut vienna,partial_ratio,Afro-Asiatisches Institut Salzburg,Afro-Asiatisches Institut Vienna|Afro-Asiatisches Institut Vienna
ministere de l education nationale de l enseignement superieur et de la recherche,ministere de l enseignement superieur et de la recherche,81.8,92.3,ministere de l education nationale de l enseignement superieur et de la recherche,partial_ratio,Ministère de l'Education Nationale de l'Enseignement Supérieur et de la Recherche,Ministère de l'Enseignement supérieur et de la Recherche
ministry of energy,ministry of energy norwary,81.8,100.0,ministry of energy,partial_ratio,Ministry of Energy,Ministry of Energy - Norwary
ministry of foreign affairs,ministry of foreign affairs netherlands,81.8,100.0,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs,ministry of foreign affairs south korea,81.8,100.0,ministry of foreign affairs south korea,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs - South Korea
plan international,plan international belgium,81.8,100.0,plan international,partial_ratio,Plan International,PLAN International Belgium
plan international,plan international denmark,81.8,100.0,plan international,partial_ratio,Plan International,Plan International Denmark
plan international,plan international finland,81.8,100.0,plan international finland,partial_ratio,Plan International,Plan International Finland
plan international,plan international ireland,81.8,100.0,plan international ireland,partial_ratio,Plan International,Plan International Ireland
plan international,plan international myanmar,81.8,100.0,plan international,partial_ratio,Plan International,Plan International Myanmar
plan international,plan international sverige,81.8,100.0,plan international sverige,partial_ratio,Plan International,Plan International Sverige
universita degli studi di foggia,universita degli studi di macerata,81.8,90.0,universita degli studi di foggia,partial_ratio,Università degli Studi di Foggia,Università degli Studi di Macerata
university of yangon,university of yaounde ii,81.8,92.3,university of yaounde ii,partial_ratio,University of Yangon,University of Yaoundé II
italian agency for development cooperation,italian agency for development cooperation addis ababa office,81.6,100.0,italian agency for development cooperation,partial_ratio,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Addis Ababa Office
ministry of foreign affairs and emigrants,ministry of foreign affairs estonia,81.6,90.6,ministry of foreign affairs estonia,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Estonia
ministry of interior,ministry of interior slovakia,81.6,100.0,ministry of interior,partial_ratio,Ministry of Interior,Ministry of Interior - Slovakia
plan international ireland,plan international mali,81.6,93.0,plan international ireland,partial_ratio,Plan International Ireland,Plan International Mali
texas a m university,texas a m university at qatar,81.6,100.0,texas a m university at qatar,partial_ratio,Texas A&M University,Texas A&M University at Qatar
royal norwegian emabssy nairobi,royal norwegian embassy,81.5,95.7,royal norwegian embassy,partial_ratio,"Royal Norwegian Emabssy, Nairobi",Royal Norwegian Embassy
ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,ministere de l enseignement superieur et de la recherche scientifique,81.2,97.8,ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,partial_ratio,Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle,Ministère de l'Enseignement supérieur et de la Recherche scientifique
ministry of foreign affairs norway,ministry of foreign affairs romania,81.2,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Norway,Ministry of Foreign Affairs - Romania
government of mali,government of mauritania,81.0,94.1,government of mali,partial_ratio,Government of Mali,Government of Mauritania
american university,american university in cairo,80.9,100.0,american university,partial_ratio,American University,The American University in Cairo
plan international mali,plan international norge,80.9,90.5,plan international norge,partial_ratio,Plan International Mali,Plan International Norge
united nations development programme mali,united nations development programme south sudan,80.9,94.9,united nations development programme south sudan,partial_ratio,United Nations Development Programme Mali,United Nations Development Programme South Sudan
adventist development and relief agency czech republic,adventist development and relief agency norge,80.8,94.1,adventist development and relief agency norge,partial_ratio,Adventist Development and Relief Agency Czech Republic,Adventist Development and Relief Agency Norge
caritas international belgium,caritas internationalis,80.8,95.5,caritas international belgium,partial_ratio,Caritas International Belgium,Caritas Internationalis
plan international nederland,plan international norge,80.8,93.3,plan international norge,partial_ratio,Plan International Nederland,Plan International Norge
ministry of health and population,ministry of health spain,80.7,93.3,ministry of health spain,partial_ratio,Ministry of Health and Population,Ministry of Health - Spain
ministry of health and sanitation,ministry of health spain,80.7,93.3,ministry of health spain,partial_ratio,Ministry of Health and Sanitation,Ministry of Health - Spain
royal norwegian embassy,royal norwegian embassy in jakarta,80.7,100.0,royal norwegian embassy,partial_ratio,Royal Norwegian Embassy,Royal Norwegian Embassy in Jakarta
union des societes cooperatives des producteur,union des societes cooperatives des producteurs de mais de diedougou,80.7,100.0,union des societes cooperatives des producteurs de mais de diedougou,partial_ratio,Union des sociétés coopératives des producteur,Union des Sociétés Coopératives des Producteurs de Maïs de Dièdougou
afro asiatisches institut graz,afro asiatisches institut vienna,80.6,92.9,afro asiatisches institut vienna,partial_ratio,Afro-Asiatisches Institut Graz,Afro-Asiatisches Institut Vienna|Afro-Asiatisches Institut Vienna
habitat for humanity international,habitat for humanity ireland,80.6,90.2,habitat for humanity international,partial_ratio,Habitat for Humanity International,Habitat for Humanity Ireland
ministere de l environnement,ministere de l environnment et de l eau,80.6,98.2,ministere de l environnement,partial_ratio,Ministère de l'Environnement,Ministere de l'Environnment et de l'Eau
ministry for foreign affairs sweden,ministry of foreign affairs,80.6,92.6,ministry for foreign affairs sweden,partial_ratio,Ministry for Foreign Affairs - Sweden,Ministry of Foreign Affairs
ministry of foreign affairs japan,ministry of foreign affairs norway,80.6,93.5,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Norway
ministry of foreign affairs japan,ministry of foreign affairs poland,80.6,93.9,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Poland
ministry of foreign affairs japan,ministry of foreign affairs south korea,80.6,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - South Korea
ministry of health and sanitation,ministry of health and sports,80.6,90.6,ministry of health and sanitation,partial_ratio,Ministry of Health and Sanitation,Ministry of Health and Sports
universita degli studi di firenze,universita degli studi di roma tre,80.6,90.0,universita degli studi di firenze,partial_ratio,Università degli Studi di Firenze,Università degli Studi di Roma Tre
universita degli studi di roma tre,universita degli studi di sassari,80.6,90.0,universita degli studi di roma tre,partial_ratio,Università degli Studi di Roma Tre,Università degli Studi di Sassari
inter american development bank,inter american development bank grant facility,80.5,100.0,inter american development bank,partial_ratio,Inter-American Development Bank,Inter-American Development Bank Grant Facility
association des producteurs de riz de buramata vi,association des producteurs de riz de ninga,80.4,93.8,association des producteurs de riz de buramata vi,partial_ratio,Association des Producteurs de Riz de Buramata VI,Association des Producteurs de Riz de Ninga
government of chad,government of colombia,80.0,90.9,government of chad,partial_ratio,Government of Chad,Government of Colombia
ministry of foreign affairs norway,ministry of foreign affairs portugal,80.0,92.3,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Norway,Ministry of Foreign Affairs - Portugal
ministry of foreign and european affairs luxembourg,ministry of foreign and european affairs slovakia,80.0,92.3,ministry of foreign and european affairs luxembourg,partial_ratio,Ministry of Foreign and European Affairs - Luxembourg,Ministry of Foreign and European Affairs - Slovakia
ministry of foreign and european affairs luxembourg,ministry of foreign and european affairs slovenia,80.0,92.3,ministry of foreign and european affairs luxembourg,partial_ratio,Ministry of Foreign and European Affairs - Luxembourg,Ministry of Foreign and European Affairs - Slovenia
ministry of health,ministry of health djibouti,80.0,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health - Djibouti
ministry of health,ministry of health puntland,80.0,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health - Puntland
msi reproductive choices,msi reproductive choices south sudan,80.0,100.0,msi reproductive choices,partial_ratio,MSI Reproductive Choices,MSI Reproductive Choices South Sudan
university of alicante,university of cantabria,80.0,90.0,university of alicante,partial_ratio,University of Alicante,University of Cantabria
veterinaires sans frontieres,veterinaires sans frontieres international,80.0,100.0,veterinaires sans frontieres international,partial_ratio,Vétérinaires Sans Frontières,Vétérinaires Sans Frontières International
veterinaires sans frontieres europa,veterinaires sans frontieres suisse,80.0,92.3,veterinaires sans frontieres europa,partial_ratio,Veterinaires Sans Frontieres Europa,Vétérinaires Sans Frontières Suisse
united nations multidimensional integrated stabilization mission in mali,united nations multidimensional integrated stabilization mission in the central african republic,79.8,97.1,united nations multidimensional integrated stabilization mission in mali,partial_ratio,United Nations Multidimensional Integrated Stabilization Mission in Mali,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic
ministry of agriculture and food security south sudan,ministry of agriculture forestry and food security,79.6,90.1,ministry of agriculture forestry and food security,partial_ratio,Ministry of Agriculture and Food Security (South Sudan),"Ministry of Agriculture, Forestry and Food Security"
ecole polytechnique federale de lausanne,ecole polytechnique federale de zurich,79.5,91.4,ecole polytechnique federale de zurich,partial_ratio,École Polytechnique Fédérale de Lausanne,Ecole Polytechnique Fédérale de Zurich
ministry of foreign affairs latvia,ministry of foreign affairs south korea,79.5,90.3,ministry of foreign affairs south korea,partial_ratio,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - South Korea
ministry of foreign affairs netherlands,ministry of foreign affairs poland,79.5,92.1,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Netherlands,Ministry of Foreign Affairs - Poland
ministry of foreign affairs poland,ministry of foreign affairs south korea,79.5,90.6,ministry of foreign affairs south korea,partial_ratio,Ministry of Foreign Affairs - Poland,Ministry of Foreign Affairs - South Korea
ministry of agriculture and irrigation,ministry of agriculture france,79.4,92.9,ministry of agriculture and irrigation,partial_ratio,Ministry of Agriculture and Irrigation,Ministry of Agriculture - France
ministry of foreign affairs,ministry of foreign affairs and emigrants,79.4,100.0,ministry of foreign affairs and emigrants,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs and Emigrants
ministry of foreign affairs belgium,ministry of foreign affairs japan,79.4,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Japan
ministry of foreign affairs denmark,ministry of foreign affairs japan,79.4,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Japan
ministry of foreign affairs estonia,ministry of foreign affairs japan,79.4,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Japan
ministry of foreign affairs greece,ministry of foreign affairs norway,79.4,90.6,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Norway
ministry of foreign affairs greece,ministry of foreign affairs poland,79.4,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Poland
