cleaned_name,n_raw_variants,raw_variants
department of resources energy and tourism australia,1,"Department of Resources, Energy and Tourism - Australia"
department of roads,1,Department of Roads
department of state united states,1,Department of State - United States
department of sustainability and environment australia,1,Department of Sustainability and Environment - Australia
department of the environment water heritage and the arts australia,1,"Department of the Environment, Water, Heritage and the Arts - Australia"
department of the interior united states,1,Department of the Interior - United States
department of the premier and cabinet australia,1,Department of the Premier and Cabinet - Australia
department of the treasury united states,1,Department of the Treasury - United States
department of transportation united states,1,Department of Transportation - United States
derandein fundazioa,1,Derandein Fundazioa
deseret women sierra leone,1,Deseret Women - Sierra Leone
desjardins international development,1,Desjardins International Development
det jyske musikkonservatorium,1,Det Jyske Musikkonservatorium
det norske menneskerettighetsfond,1,Det norske menneskerettighetsfond
deutsche gesellschaft fur internationale zusammenarbeit,1,German Corporation for International Cooperation
development alternatives,1,"Development Alternatives, Inc."
development and peace caritas canada,1,Development and Peace - Caritas Canada
development associates international,1,Development Associates International
development bank of latin america,1,Development Bank of Latin America
development cooperation and solidarity,1,Development Cooperation and Solidarity
development for people and nature association,1,Development for People and Nature Association
development of coffee growers cooperative,1,Development of Coffee Growers Cooperative
development studies and research institute,1,Development Studies and Research Institute
devfin advisers ab,1,DevFin Advisers AB
devtech systems,1,"DevTech Systems, Inc."
dexis consulting group,1,Dexis Consulting Group
dfs consulting group,1,DFS Consulting Group
dgb concepts,1,DGB Concepts Ltd
dhl international,1,DHL International GmbH
diaconia of the evangelical church of czech brethren,1,Diaconia of the Evangelical Church of Czech Brethren
diakonia,1,Diakonia
diakonie act austria,1,Diakonie ACT Austria
dialogue advisory group,1,Dialogue Advisory Group
diamond helix medical assistance,1,Diamond Helix Medical Assistance Ltd
dianova international,1,DIANOVA International
digital opportunity trust,1,Digital Opportunity Trust
digni,1,Digni
dignitas international,1,Dignitas International
diocese of kayes,1,Diocese of Kayes
diocese of rumbek,1,Diocese of Rumbek
dipartimento di comunicazione e ricerca sociale sapienza universita di roma,1,Dipartimento di Comunicazione e Ricerca Sociale - Sapienza Universitá di Roma
diplomacy training program,1,Diplomacy Training Program
diplomat group,1,The Diplomat Group
direccion de impuestos y aduanas nacionales,1,Dirección de Impuestos y Aduanas Nacionales
direct excution,1,Direct Excution
direction de la sante familiale et de la population,1,Direction de la Sante Familiale et de la Population
direction general des impots,1,Direction General des Impôts
direction nationale de l energie,1,Direction Nationale de l'Energie
direction nationale de la population,1,Direction Nationale de la Population
direction nationale de l’eau potable et de l’assainissement,1,Direction nationale de l’eau potable et de l’assainissement
direction nationale du genie rural,1,Direction Nationale du Génie Rural
directorate for nature management norway,1,Directorate for Nature Management - Norway
directorate general for development and humanitarian aid greece,1,Directorate General for Development and Humanitarian Aid - Greece
directorate general for development cooperation and humanitarian aid belgium,1,Directorate-General for Development Cooperation and Humanitarian Aid - Belgium
directorate general for development cooperation italy,1,Directorate-General for Development Cooperation - Italy
directorate general for globalisation and global affairs italy,1,Directorate General for Globalisation and Global Affairs - Italy
directorate general for international development cooperation greece,1,Directorate-General for International Development Cooperation - Greece
directorate general of civil status,1,Directorate General of Civil Status
directorate of cultural affairs greece,1,Directorate of Cultural Affairs - Greece
directorate of education and cultural affairs greece,1,Directorate of Education and Cultural Affairs - Greece
directorate of hospitals and laboratory services sierra leone,1,Directorate of Hospitals and Laboratory Services- Sierra Leone
directorate of investment and company administration,1,Directorate of Investment and Company Administration
directorate of studies and student welfare agricultural university of athens,1,"Directorate of Studies and Student Welfare, Agricultural University of Athens"
directorate of water resources and improvement of river systems,1,Directorate of Water Resources and Improvement of River Systems
disaster and emergency management authority turkey,1,Disaster and Emergency Management Authority - Turkey
dkt international,1,DKT International
dlo foundation,1,DLO Foundation
dlt solutions,1,DLT Solutions
dmos comide,1,DMOS-COMIDE
doctors of the world,1,Doctors of the World
doctors of the world canada,1,Doctors of the World Canada
dodo,1,Dodo
doha institute for graduate studies,1,Doha Institute for Graduate Studies
donation and transplantation institute,1,Donation and Transplantation Institute
dongbu cni,1,Dongbu CNI
dopstop,1,Dopstop
dorcas aid international,1,Dorcas Aid International
dorel industries,1,Dorel Industries
dpw training associates,1,DPW Training & Associates
drexel heritage furnishings,1,Drexel Heritage Furnishings Inc.
drik picture library,1,Drik Picture Library
dt global,1,DT Global
duke university,1,Duke University
dut jok youth foundation,1,Dut Jok Youth Foundation
dutch cycling embassy,1,Dutch Cycling Embassy
dutch entrepreneurial development bank,1,Dutch Entrepreneurial Development Bank
dya,1,DYA
dynasafe,1,Dynasafe
eagle applied sciences,1,Eagle Applied Sciences
eagle medical services,1,"Eagle Medical Services, LLC"
earth innovation institute,1,Earth Innovation Institute
east africa modern engineering company,1,East Africa Modern Engineering Company
east african community,1,East African Community
east and horn of africa human rights defenders network,1,East And Horn Of Africa Human Rights Defenders Network
east west management institute,1,East-West Management Institute
eastern africa environmental network,1,Eastern Africa Environmental Network
eastern africa journalists association,1,Eastern Africa Journalists Association
eastern farmers development association,1,Eastern Farmers Development Association
eastern mediterranean public health network,1,Eastern Mediterranean Public Health Network
eastern sudan reconstruction and development fund,1,Eastern Sudan Reconstruction and Development Fund
easy logistics,1,Easy Logistics
ebony center for strategic studies,1,Ebony Center for Strategic Studies
ebonyi state university,1,Ebonyi State University
ecas,1,ECAS
eccas commission,1,ECCAS COMMISSION
echocommunity,1,ECHOcommunity
eco himal society for cooperation alps himalaya,1,Eco Himal Society for Cooperation Alps Himalaya
ecodit,1,ECODIT
ecofuturo,1,EcoFuturo
ecole de maintien de la paix alioune blondin beye de bamako,1,École de Maintien de la Paix Alioune Blondin Beye de Bamako
ecole nationale d administration publique,1,École nationale d'administration publique
ecole nouvelle zoranje,1,École Nouvelle Zoranje
ecole polytechnique federale de lausanne,1,École Polytechnique Fédérale de Lausanne
ecole polytechnique federale de zurich,1,Ecole Polytechnique Fédérale de Zurich
econ poyry as,1,Econ Pöyry AS
economic and social fund for development,1,Economic and Social Fund for Development
economic community of west african states,1,Economic Community of West African States
economic research forum,1,Economic Research Forum
economic research forum npio,1,Economic Research Forum NPIO
ecorys,1,Ecorys
ecpat international,1,ECPAT International
eda jmc nuba mountains trust fund,1,EDA - JMC NUBA MOUNTAINS TRUST FUND
edesia,1,Edesia
education above all,1,Education Above All
education coordination agency,1,Education Coordination Agency
education development center,1,Education Development Center
education development trust,1,Education Development Trust
education for all fast track initiative,1,Education for All-Fast Track Initiative
education internationale,1,Éducation internationale
educational center for research and development,1,Educational Center for Research and Development
educational research network for western and central africa,1,Educational Research Network for Western and Central Africa
eduquer former les femmes un appui au developpement region de kidal,1,Eduquer Former Les Femmes un Appui au Developpement Region de Kidal
edus educazione e sviluppo,1,EDUS Educazione e Sviluppo
eesti pagulasabi,1,Eesti Pagulasabi
effect hope,1,Effect Hope
effective development group,1,Effective Development Group
efg hov dokka as,1,EFG Hov & Dokka AS
egatha foundation,1,Egatha Foundation
eggpreneur initiative,1,Eggpreneur Initiative
el escarbabajo sas,1,El Escarbabajo SAS
eleat,1,ELEAT
election commission nepal,1,Election Commission Nepal
electoral institute for sustainable democracy in africa,1,Electoral Institute for Sustainable Democracy in Africa
electric power generation enterprise,1,Electric Power Generation Enterprise
electric power research institute,1,Electric Power Research Institute
electricite d haiti,1,Electricité D'Haiti
electricite de guinee,1,Electricité de Guinée
electricity of lebanon,1,Electricity of Lebanon
electricity supply for earthquake affected areas,1,Electricity Supply For Earthquake Affected Areas
electrification of the eastern provinces,1,Electrification Of The Eastern Provinces
elephant care international,1,Elephant Care International
elis,1,ELIS
elliott street consulting,1,Elliott Street Consulting Pty Ltd
elnefeidi group,1,Elnefeidi Group
embassy of canada,1,Embassy of Canada
embassy of canada in khartoum,1,Embassy of Canada in Khartoum
embassy of canada to chile,1,Embassy of Canada to Chile
embassy of canada to colombia,1,Embassy of Canada to Colombia
embassy of canada to cote d ivoire,1,Embassy of Canada to Cote d'Ivoire
embassy of canada to indonesia,1,Embassy of Canada to Indonesia
embassy of canada to jordan,1,Embassy of Canada to Jordan
embassy of canada to lebanon,1,Embassy of Canada to Lebanon
embassy of canada to saudi arabia,1,Embassy of Canada to Saudi Arabia
embassy of canada to senegal,1,Embassy of Canada to Senegal
embassy of canada to timor leste,1,Embassy of Canada to Timor-Leste
embassy of finland,1,Embassy of Finland
embassy of greece in beirut,1,Embassy of Greece in Beirut
embassy of greece in rome,1,Embassy of Greece in Rome
embassy of greece in vienna,1,Embassy of Greece in Vienna
embassy of italy in abidjan,1,Embassy of Italy in Abidjan
embassy of italy in beirut,1,Embassy of Italy in Beirut
embassy of italy in khartoum,1,Embassy of Italy in Khartoum
embassy of italy in mogadishu,1,Embassy of Italy in Mogadishu
embassy of italy kampala,1,Embassy of Italy Kampala
embassy of italy to ethiopia,1,Embassy of Italy to Ethiopia
embassy of norway in bogota,1,Embassy of Norway in Bogotá
embassy of poland in angola,1,Embassy of Poland in Angola
embassy of poland in thailand,1,Embassy of Poland in Thailand
embassy of portugal,1,Embassy of Portugal
embassy of qatar in china,1,Embassy of Qatar in China
embassy of qatar in khartoum,1,Embassy of Qatar in Khartoum
embassy of qatar in mogadishu,1,Embassy of Qatar in Mogadishu
embassy of spain,1,Embassy of Spain
embassy of spain in lebanon,1,Embassy of Spain in Lebanon
embassy of spain in sudan,1,Embassy of Spain in Sudan
embassy of spain to cote d ivoire,1,Embassy of Spain to Cote d'Ivoire
embassy of state of qatar in china,1,Embassy of State of Qatar in China
embassy of the czech republic in lebanon,1,Embassy of the Czech Republic in Lebanon
embassy of the czech republic in sanaa,1,Embassy of the Czech Republic in Sanáa
embassy of the netherlands,1,Embassy of the Netherlands
embassy of the republic of poland in amman,1,Embassy of the Republic of Poland in Amman
embassy of the republic of poland in ankara,1,Embassy of the Republic of Poland in Ankara
embassy of the republic of poland in beirut,1,Embassy of the Republic of Poland in Beirut
embassy of the republic of poland in bogota,1,Embassy of the Republic of Poland in Bogota
embassy of the republic of poland in cairo,1,Embassy of the Republic of Poland in Cairo
embassy of the republic of poland in damascus,1,Embassy of the Republic of Poland in Damascus
embassy of the sovereign military order of malta to hungary,1,Embassy of the Sovereign Military Order of Malta to Hungary
embassy of the united arab emirates,1,Embassy of the United Arab Emirates
embassy products logistics u s a,1,Embassy Products & Logistics U.S.A.
emergency,1,EMERGENCY
emergency architects,1,Emergency Architects
emergency management australia,1,Emergency Management Australia
emergency response fund,1,Emergency Response Fund
emergency support programme for food security benin,1,Emergency Support Programme for Food Security - Benin
emirates red crescent,1,Emirates Red Crescent
emirates thalassemia society united arab emirates,1,Emirates Thalassemia Society - United Arab Emirates
emmanuel international,1,Emmanuel International
emory university,1,Emory University
empowerment through integration,1,Empowerment Through Integration
emprender paz,1,Emprender Paz
empresa de acueducto y alcantarillado de pereira s a e s p,1,Empresa de Acueducto y Alcantarillado de Pereira S.A. E.S.P
empresa nacional promotora del desarrollo territorial,1,Empresa Nacional Promotora del Desarrollo Territorial
empresas municipales de cali,1,Empresas municipales de Cali
en ez construction company,1,EN-EZ Construction Company
enab baladi,1,Enab Baladi
enabel belgium,1,Enabel - Belgium
encompass,1,EnCompass LLC
enda mali,1,ENDA MALI
enel group,1,Enel Group
energeia as,1,Energeia AS
energie centrafricaine,1,Energie Centrafricaine
energie du mali,1,Energie du Mali
energie du mali sa,1,Energie du Mali SA
enfants du monde,1,Enfants du Monde
eng ghassan burhan shmeesa,1,Eng. Ghassan Burhan Shmeesa
engenderhealth,1,EngenderHealth
enjaz foundation for development,1,Enjaz Foundation for Development
enlightened myanmar research foundation,1,Enlightened Myanmar Research Foundation
ente nazionale giuseppini del murialdo,1,Ente Nazionale Giuseppini del Murialdo
entitat metropolitana de serveis hidraulics i tractament de residus barcelona spain,1,Entitat Metropolitana de Serveis Hidràulics i Tractament de Residus Barcelona - Spain
entite des nations unies pour legalite des sexes et lautonomisation de la femme,1,Entité des Nations Unies pour légalité des sexes et lautonomisation de la femme
entraide et fraternite,1,Entraide et Fraternité
entraide medicale internationale,1,Entraide Médicale Internationale
entraide universitaire mondiale du canada,1,Entraide Universitaire Mondiale du Canada
entreculturas,1,Entreculturas
entrena s a,1,Entrena S.A.
environment and climate change canada,1,Environment and Climate Change Canada
environment protection authority,1,Environment Protection Authority
environmental cleaning solutions s a,1,Environmental Cleaning Solutions S.A.
environmental conservation department,1,Environmental Conservation Department
environmental development action in the third world,1,Environmental Development Action in the Third World
environmental foundation for africa,1,Environmental Foundation for Africa
environmental incentives,1,Environmental Incentives
environmental investigation agency,1,Environmental Investigation Agency
environmental movement in the south,1,Environmental Movement in the South
environmental protection agency united states,1,Environmental Protection Agency - United States
ep a,1,EP A
epal ast,1,EPAL AST
epatae,1,EPATAE
epos international mediating and negotiating operational agency,1,EPOS International Mediating and Negotiating Operational Agency
equal access international,1,Equal Access International
equalitie,1,EQualitie
equality fund,1,The Equality Fund
equidad de genero ciudadania trabajo y familia a c,1,"Equidad de Género, Ciudadanía, Trabajo y Familia, A.C."
equipe pluridisciplinaire d animation de tombouctou,1,Equipe Pluridisciplinaire d'Animation de Tombouctou
equitas,1,Equitas
equitas international centre for human rights education,1,Equitas - International Centre for Human Rights Education
erudit,1,Erudit
escarcarrera,1,Escarcarrera
escola d administracio publica de catalunya,1,Escola d'Administració Pública de Catalunya
escuela eaci,1,Escuela EACI
escuela nacional sindical,1,Escuela Nacional Sindical
espacio publico,1,Espacio Público
espoir vie,1,Espoir-Vie
esri,1,Esri
establishment of the water of beirut and mount lebanon,1,Establishment of the Water of Beirut and Mount Lebanon
estonian refugee council,1,Estonian Refugee Council
estonian rescue board,1,Estonian Rescue Board
estonian rescue board ministry of interior estonia,1,"Estonian Rescue Board, Ministry of Interior - Estonia"
etana,1,Etana
etc foundation,1,ETC Foundation
etc international,1,ETC International
ethiopian public health institute,1,Ethiopian Public Health Institute
eu common security and defence policy,1,EU Common Security and Defence Policy
eu film festival,1,EU Film Festival
eu lac foundation,1,EU-LAC Foundation
eu regional trust fund in response to the syrian crisis,1,EU Regional Trust Fund in Response to the Syrian Crisis
euler hermes aktiengesellschaft,1,Euler Hermes Aktiengesellschaft
euro arab foundation for higher studies,1,Euro-Arab Foundation for Higher Studies
euro burma office,1,Euro-Burma Office
euroconsult mott macdonald,1,Euroconsult Mott MacDonald
european bank for reconstruction and development,1,European Bank for Reconstruction and Development
european center for peace studies,1,European Center for Peace Studies
european centre for development policy management,1,European Centre for Development Policy Management
european civil protection and humanitarian aid operations,1,European Civil Protection and Humanitarian Aid Operations
european commission,1,European Commission
european commission directorate general for external relations,1,European Commission Directorate-General for External Relations
european committee of the regions,1,European Committee of the Regions
european council of religious leaders,1,European Council of Religious Leaders
european council on foreign relations,1,European Council on Foreign Relations
european development fund,1,European Development Fund
european disability forum,1,European Disability Forum
european environmental tribunal,1,European Environmental Tribunal
european institute of peace,1,European Institute of Peace
european institute of the mediterranean,1,European Institute of the Mediterranean
european investment bank,1,European Investment Bank
european public law center,1,European Public Law Center
european trust fund for colombia,1,European Trust Fund for Colombia
european union,1,European Union
european union advisory mission in the central african republic,1,European Union Advisory Mission in the Central African Republic
european union border assistance mission to libya,1,European Union Border Assistance Mission to Libya
european union capacity building mission in mali,1,European Union Capacity Building Mission in Mali
european union capacity building mission in somalia,1,European Union Capacity Building Mission in Somalia
european union emergency trust fund for africa,1,European Union Emergency Trust Fund for Africa
european union regional trust fund,1,European Union Regional Trust Fund
euskal herriko nekazarien elkartasuna,1,Euskal Herriko Nekazarien Elkartasuna
euskal herriko unibertsitatea,1,Euskal Herriko Unibertsitatea
evaluar consultar y asesorar a la economia solidaria sas,1,Evaluar Consultar Y Asesorar A La Economia Solidaria SAS
eve organization,1,Eve Organization
evensen dodge international,1,Evensen Dodge International
exceed ireland,1,Exceed Ireland
exceed language center,1,Exceed Language Center
exim hungary,1,EXIM Hungary
export bridge a s,1,EXPORT BRIDGE a.s.
export credit guarantee department united kingdom,1,Export Credit Guarantee Department - United Kingdom
export import bank of korea,1,Export-Import Bank of Korea
export import bank south korea,1,Export-Import Bank - South Korea
express travel group,1,Express Travel Group
extractive industries transparency initiative,1,Extractive Industries Transparency Initiative
extremadura center for studies and cooperation with latin america spain,1,Extremadura Center for Studies and Cooperation with Latin America - Spain
ezo vocational training center,1,Ezo Vocational Training Center
fachhochschule nordwestschweiz,1,Fachhochschule Nordwestschweiz
facilite africaine de l eau,1,Facilité Africaine de l'eau
factoria cultural gestion s l,1,Factoría Cultural Gestión S.L.
factory 961,1,Factory 961
facultad latinoamericana de ciencias sociales,1,Facultad Latinoamericana de Ciencias Sociales
fadderforeningen tso pema tibetansk skole,1,Fadderforeningen Tso Pema Tibetansk Skole
fafo research foundation,1,Fafo Research Foundation
fair trade group nepal,1,Fair Trade Group Nepal
faire face cancer,1,Faire Face Cancer
fairmed,1,FAIRMED
fairmont chateau laurier,1,Fairmont Château Laurier
fairtrade finland,1,Fairtrade Finland
fajr al amal charitable foundation for social development,1,Fajr Al Amal Charitable Foundation for Social Development
fakultni nemocnice v motole,1,Fakultni nemocnice v Motole
family counseling development foundation,1,Family Counseling & Development Foundation
family planning association of nepal,1,Family Planning Association of Nepal
family planning australia,1,Family Planning Australia
fanm deside,1,Fanm Deside
farm radio international,1,Farm Radio International
farmaceuticos mundi,1,Farmacéuticos Mundi
fastenaktion,1,Fastenaktion
fatwa authority in baalbek,1,Fatwa Authority in Baalbek
fauna flora international,1,Fauna & Flora International
fcg swedish development ab,1,FCG Swedish Development AB
fcm and city of montreal partnership canada,1,FCM and City of Montreal Partnership - Canada
fe y alegria international federation,1,Fe y Alegría International Federation
federacion colombiana de apicultores y criadores de abejas,1,Federación Colombiana de Apicultores y Criadores de Abejas
federacion de migrantes de la union europea en andalucia,1,Federación De Migrantes De La Union Europea En Andalucia
federacion nacional de cafeteros de colombia,1,Federación Nacional de Cafeteros de Colombia
federacion setem,1,Federación SETEM
federal chancellery austria,1,Federal Chancellery - Austria
federal department of defence civil protection and sport switzerland,1,"Federal Department of Defence, Civil Protection and Sport - Switzerland"
federal department of foreign affairs switzerland,1,Federal Department of Foreign Affairs - Switzerland
federal electricity water authority,1,Federal Electricity & Water Authority
federal foreign office germany,1,Federal Foreign Office - Germany
federal ministry for climate action environment energy mobility innovation and technology austria,1,"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation, and Technology - Austria"
federal ministry for economic cooperation and development germany,1,Federal Ministry for Economic Cooperation and Development - Germany
federal ministry for environment nature conservation and nuclear safety germany,1,"Federal Ministry for Environment, Nature Conservation and Nuclear Safety - Germany"
federal ministry for european and international affairs austria,1,Federal Ministry for European and International Affairs - Austria
federal ministry for the environment nature conservation nuclear safety and consumer protection germany,1,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection - Germany"
federal ministry of agriculture and forestry,1,Federal Ministry of Agriculture and Forestry
federal ministry of agriculture forestry regions and water management austria,1,"Federal Ministry of Agriculture, Forestry, Regions and Water Management - Austria"
federal ministry of climate action environment energy mobility innovation and technology austria,1,"Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology - Austria"
federal ministry of defense austria,1,Federal Ministry of Defense - Austria
federal ministry of defense germany,1,Federal Ministry of Defense - Germany
federal ministry of education and research germany,1,Federal Ministry of Education and Research - Germany
federal ministry of education and women s affairs austria,1,Federal Ministry of Education and Women's Affairs - Austria
federal ministry of education science and research austria,1,"Federal Ministry of Education, Science and Research - Austria"
federal ministry of finance germany,1,Federal Ministry of Finance - Germany
federal ministry of health,1,Federal Ministry of Health
federal ministry of the interior,1,Federal Ministry of the Interior
federal ministry of the interior austria,1,Federal Ministry of the Interior - Austria
federal ministry of the interior building and community germany,1,Federal Ministry of the Interior Building and Community - Germany
federal parliament of nepal,1,Federal Parliament of Nepal
federal public service finance belgium,1,Federal Public Service Finance - Belgium
federal public service foreign affairs foreign trade and development cooperation belgium,1,"Federal Public Service Foreign Affairs, Foreign Trade and Development Cooperation - Belgium"
federal state of baden wurttemberg germany,1,Federal State of Baden-Württemberg - Germany
federal state of bavaria germany,1,Federal State of Bavaria - Germany
federal state of north rhine westphalia germany,1,Federal State of North Rhine - Westphalia - Germany
federal trade commission united stand,1,Federal Trade Commission - United Stand
federatie van somalische associaties in nederland,1,Federatie van Somalische Associaties in Nederland
federation des agriculreurs et agricultrices francophones du nouveau brunswick,1,Fédération des Agriculreurs et Agricultrices Francophones du Nouveau-Brunswick
federation des caisses populaires haitienne,1,Fédération des Caisses Populaires Haitienne
federation fribourgeoise de cooperation internationale,1,Fédération Fribourgeoise de coopération internationale
federation genevoise de cooperation,1,Fédération Genevoise de Coopération
federation guireyaawes,1,Fédération Guireyaawes
federation nationale des maires d haiti,1,Féderation Nationale des Maires d'Haiti
federation of canadian municipalities,1,Federation of Canadian Municipalities
federation paysanne kafo,1,Fédération Paysanne KAFO
federation vaudoise de cooperation,1,Fédération vaudoise de coopération
federazione organismi cristiani servizio internazionale volontario,1,Federazione Organismi Cristiani Servizio Internazionale Volontario
feeder roads,1,Feeder Roads.
fellowship for african relief,1,Fellowship for African Relief
femme action et developpement en centrafrique,1,Femme Action et Developpement en Centrafrique
femmes africa solidarite,1,Femmes Africa Solidarité
fenoon star contracting co,1,Fenoon Star Contracting Co.
feria internacional del libro de bogota,1,Feria Internacional del Libro de Bogotá
festival au desert,1,Festival au Désert
festival sur le niger,1,FESTIVAL SUR LE NIGER
fhi 360,1,FHI 360
fian international,1,FIAN International
fibres du mali,1,Fibres du Mali SARL
fida international,1,Fida International
fiduciaria colombiana de comercio exterior s a,1,Fiduciaria Colombiana de Comercio Exterior S.A.
fiducoldex,1,Fiducoldex
fikra foundation for women s media rights,1,Fikra Foundation for Women's Media Rights
finance canada,1,Finance Canada
financial guard italy,1,Financial Guard - Italy
financial police italy,1,Financial Police - Italy
financiera de desarrollo territorial sa,1,Financiera de Desarrollo Territorial SA
financiere agricole du quebec developpement international,1,Financiere Agricole du Quebec Developpement International
finland somalia association,1,Finland-Somalia Association
finn church aid,1,Finn Church Aid
finnfund,1,Finnfund
finnish baptist church,1,Finnish Baptist Church
finnish consulting group,1,Finnish Consulting Group
finnish environment institute,1,Finnish Environment Institute
finnish evangelical lutheran mission,1,Finnish Evangelical Lutheran Mission
finnish meteorological institute,1,Finnish Meteorological Institute
finnish red cross,1,Finnish Red Cross
finnish refugee council,1,Finnish Refugee Council
finnish somalia network,1,Finnish Somalia Network
fintrac,1,"Fintrac, Inc."
fire rescue service czech republic,1,Fire Rescue Service - Czech Republic
firefighters without borders,1,Firefighters Without Borders
flemish interuniversity council,1,Flemish Interuniversity Council
flyktninghjelpen,1,Flyktninghjelpen
fm of education science and research,1,"FM of Education, Science and Research"
fojo media institute,1,Fojo Media Institute
fokupers,1,FOKUPERS
fokus – forum for women and development,1,FOKUS – Forum for Women and Development
folke bernadotte academy sweden,1,Folke Bernadotte Academy - Sweden
folkekirkens nødhjælp,1,Folkekirkens Nødhjælp
fond d assistance economique et sociale,1,Fond d'Assistance Economique et Sociale
fondasyon kole zepol,1,Fondasyon Kole Zepol
fondasyon limye lavi,1,Fondasyon Limye Lavi
fondation botnar,1,Fondation Botnar
fondation burotop iris,1,Fondation Burotop Iris
fondation communautaire haitienne espwa,1,Fondation Communautaire Haïtienne- ESPWA
fondation femmes en democratie – voix essentielles,1,Fondation Femmes en Démocratie – Voix Essentielles
fondation follereau luxembourg,1,Fondation Follereau Luxembourg
fondation haitienne pour le maintien de la paix sociale,1,Fondation Haitienne pour le Maintien de la Paix Sociale
fondation heritage pour haiti,1,Fondation Heritage pour Haiti
fondation hirondelle,1,Fondation Hirondelle
fondation jules et paul emile leger,1,Fondation Jules et Paul-émile Léger
fondation paul gerin lajoie,1,Fondation Paul Gérin-Lajoie
fondation pour la protection de la biodiversite marine,1,Fondation pour la Protection de la Biodiversite Marine
fondation reseau d’entreprise des artisans,1,Fondation Réseau D’Entreprise Des Artisans
fondation sainte rita,1,Fondation Sainte Rita
fondation serovie,1,Fondation SEROvie
fondation suisse de deminage,2,Fondation Suisse de Déminage|The Fondation Suisse de Déminage
fondation suisse pour la paix,1,Fondation suisse pour la paix
fondazione cesar,1,Fondazione Cesar
fondazione cesvi,1,Fondazione CESVI
fondazione don carlo gnocchi onlus,1,Fondazione Don Carlo Gnocchi ONLUS
fondazione giovanni paolo ii,1,Fondazione Giovanni Paolo II
fondazione mariagrazia balducci rossi la fondazione maria grazia balducci rossi per i piu bisognosi ets,1,Fondazione Mariagrazia Balducci Rossi La Fondazione Maria Grazia Balducci Rossi per i più bisognosi ETS
fondazione pangea onlus,1,Fondazione Pangea Onlus
fondo de inversion para la paz,1,Fondo de Inversión para la Paz
fondo extremadura local de cooperacion al desarrollo,1,Fondo Extremadura Local de Cooperación al Desarrollo
fondo financiero de proyectos de desarrollo fonade,1,Fondo Financiero de Proyectos de Desarrollo FONADE
fondo lunaria mujer,1,Fondo Lunaria Mujer
fondo para la accion ambiental y la ninez fondo accion,1,Fondo para la Acción Ambiental y la Niñez (Fondo Acción)
fonds d appui aux moteurs du changement denmark,1,Fonds d'Appui aux Moteurs du Changement - Denmark
fonds d assistance economique et sociale,1,Fonds d'Assistance Economique et Sociale
fonds de garantie pour le secteur prive du mali,1,Fonds de Garantie pour le Secteur Privé du Mali
fonds de soutien aux activites en matiere de population et de lutte contre le sida de la republique du tchad,1,Fonds De Soutien Aux Activités En Matière De Population Et De Lutte Contre Le Sida De La République Du Tchad
fonds ingrid renard,1,Fonds Ingrid Renard
fonds interprofessionnel pour la recherche et le conseil agricole,1,Fonds Interprofessionnel pour la Recherche et le Conseil Agricole
fonds pour l environnement mondial,1,Fonds pour l'environnement mondial
fonds voor ontwikkelingssamenwerking socialistische solidariteit,2,Fonds voor OntwikkelingsSamenwerking - Socialistische Solidariteit|Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit
fonic trust,1,FONiC Trust
food and agriculture organization,1,Food and Agriculture Organization of the United Nations
food for the hungry canada,1,Food for the Hungry Canada
food for the hungry international,1,Food for the Hungry International
food for the poor,1,Food for the Poor
forced school house,1,Forced School House
foreign commonwealth and development office united kingdom,1,"Foreign, Commonwealth and Development Office - United Kingdom"
foreningen for kjønns og seksualitetsmangfold,1,Foreningen for kjønns- og seksualitetsmangfold
foreningen haugesund rotifunk,1,Foreningen Haugesund Rotifunk
forest peoples programme,1,Forest Peoples Programme
forest resources studies and action team,1,Forest Resources Studies and Action Team
forest sciences centre of catalonia,1,Forest Sciences Centre of Catalonia
forest trends,1,Forest Trends
forex mali,1,Forex Mali
foro rural mundial,1,Foro Rural Mundial
forsvarsministeriet,1,Forsvarsministeriet
forum de la societe civile de l afrique de l ouest de cote d ivoire,1,Forum de la Societe Civile de l'Afrique de l'Ouest de Cote d'Ivoire
forum for african women educationalists,1,Forum for African Women Educationalists
forum for development culture and dialogue,1,"Forum for Development, Culture, and Dialogue"
forum for women and development,1,Forum for Women and Development
forum of federations,1,Forum of Federations
forum pour la conscience et le developpemen,1,Forum pour la Conscience et le Développemen
forum pour la promotion du development de la jeunesse au burundi,1,Forum Pour La Promotion Du Development De La Jeunesse Au Burundi
forum pour le renforcement de la societe civile,1,Forum pour le Renforcement de la Société Civile
forumciv,1,ForumCiv
foundation for democracy and accountable governance,1,Foundation for Democracy and Accountable Governance
foundation for human rights and freedoms and humanitarian relief,1,Foundation for Human Rights and Freedoms and Humanitarian Relief
foundation for international community assistance canada,1,Foundation for International Community Assistance Canada
foundation for solidarity and peace serafin aliaga,1,Foundation for Solidarity and Peace 'Serafin Aliaga'
foundation for sustainable development,1,Foundation for Sustainable Development
foundation for the future,1,Foundation for the Future
foundation for the promotion of human development and health – pro sa,1,Foundation for the Promotion of Human Development and Health – PRO.SA
foundation for youth initiative,1,Foundation for Youth Initiative
foundation nepal,1,Foundation Nepal
