cleaned_name,n_raw_variants,raw_variants
agence malienne pour le developpement de l energie domestique et de l electrification rurale,1,Agence Malienne pour le Développement de l'Energie Domestique et de l'Electrification Rurale
agence nationale d investissements des collectivites territoriales,1,Agence Nationale d'Investissements des Collectivités Territoriales
agence nationale de telesante et d’information medicale,1,Agence Nationale de télésanté et d’Information Médicale
agence routiere du burundi,1,Agence Routière du Burundi
agence universitaire de la francophonie,1,Agence Universitaire de la Francophonie
agencia de desarrollo local de narino,1,Agencia de Desarrollo Local de Nariño
agencia de gestio d ajuts universitaris i de recerca,1,Agència de Gestió d'Ajuts Universitaris i de Recerca
agencia de renovacion del territorio,1,Agencia de Renovación del Territorio
agencia espanola de cooperacion internacional para el desarrollo,1,Agencia Española de Cooperación Internacional para el Desarrollo
agencia presidencial de cooperacion internacional de colombia,1,Agencia Presidencial de Cooperación Internacional de Colombia
agencia presidencial para la accion social y la cooperacion internacional,1,Agencia Presidencial para la Acción Social y la Cooperación Internacional
agency for cooperation and research in development,1,Agency for Cooperation and Research in Development
agency for education and internationalization austria,1,Agency for Education and Internationalization - Austria
agency for technical cooperation and development,1,Agency for Technical Cooperation and Development
agency for technical cooperation tunisia,1,Agency for Technical Cooperation - Tunisia
agenzia giornalistica italia,1,Agenzia Giornalistica Italia
agenzia n 1 di pavia per ayame,1,Agenzia n. 1 di Pavia per Ayamé
aggregates,1,Aggregates
agrhymet regional centre,1,AGRHYMET Regional Centre
agricultural grants agency italy,1,Agricultural Grants Agency - Italy
agricultural research and extension authority,1,Agricultural Research and Extension Authority
agricultural research council nigeria,1,Agricultural Research Council - Nigeria
agriculture cooperative development international volunteers in overseas cooperative assistance,1,Agriculture Cooperative Development International/Volunteers in Overseas Cooperative Assistance
agronomes et veterinaires sans frontieres haiti,1,Agronomes et Vétérinaires Sans Frontières Haiti
aguineense marketing social,1,Aguineense Marketing Social
ahfad university for women,1,Ahfad University for Women
ahlouna association,1,Ahlouna Association
ahmad ghossein,1,Ahmad Ghossein
ai bi amici dei bambini,1,Ai.Bi. Amici dei Bambini
aid health and development onlus,1,"Aid, Health and Development Onlus"
aida ayuda intercambio y desarrollo,1,"AIDA, Ayuda, Intercambio y Desarrollo"
aide a l’enfance de l’inde et du nepal,1,Aide à l’Enfance de l’Inde et du Népal
aide internationale a l enfance,1,Aide Internationale à L'enfance
air serv international,1,Air Serv International
aiseco,1,Aiseco
ajialouna,1,Ajialouna
ajuda de desenvolvimento de povo para povo,1,Ajuda de Desenvolvimento de Povo para Povo
akari development association,1,Akari Development Association
akhbar libya cultural,1,Akhbar Libya Cultural Limited
akis international,1,AKIS International
aktis strategy,1,Aktis Strategy Limited
akvo foundation,1,Akvo Foundation
akwaba trentini,1,Akwaba Trentini
al alaq center for press services,1,Al-Alaq Center for Press Services
al amal for development social care,1,Al Amal For Development & Social Care
al ameen for global humanitarian support,1,Al-Ameen for Global Humanitarian Support
al awn foundation for development,1,Al-Awn Foundation For Development
al badri lamya,1,Al Badri Lamya
al baida coalition for relief and humanitarian actions,1,Al-Baida Coalition for Relief and Humanitarian Actions
al basar international foundation,1,Al Basar International Foundation
al fajer charity association,1,Al Fajer Charity Association
al farouk humanitarian foundation,1,Al Farouk Humanitarian Foundation
al haq,1,Al Haq
al hayat relief foundation,1,Al-Hayat Relief Foundation
al huda hospital,1,Al Huda Hospital
al islah islamic association,1,Al Islah Islamic Association
al islah secondary school project,1,Al-Islah Secondary School Project
al ketab and al sonna association,1,Al-Ketab and Al-Sonna Association
al khatim adlan centre for enlightenment,1,Al Khatim Adlan Centre for Enlightenment
al majmoua,1,Al Majmoua
al maktoum foundation,1,Al Maktoum Foundation
al manfath company,1,Al Manfath Company
al meshaal club,1,Al Meshaal Club
al misbah association for development,1,Al-Misbah Association for Development
al nahdah social association,1,Al-Nahdah Social Association
al naqib hospital,1,Al-Naqib Hospital
al qadi hospitals,1,Al Qadi Hospitals
al rahma foundation for human development,1,Al-Rahma Foundation for Human Development
al ramah medical center,1,Al-Ramah Medical Center
al rashad development association,1,Al Rashad Development Association
al rawdah hospital,1,Al-Rawdah Hospital
al raya international company,1,Al Raya International Company
al rosears al dandar and southern al rahad irrigation,1,The Al Rosears Al Dandar And Southern Al Rahad Irrigation
al safwa hospital,1,Al Safwa Hospital
al salam center for the care of the physically disabled,1,Al Salam Center for the Care of the Physically Disabled
al shefa a association for community development for saada governorate,1,Al-Shefa a Association for Community Development for Saada Governorate
al sudaniya mentoring,1,Al Sudaniya Mentoring
al yatim development charity foundation,1,Al-Yatim Development Charity Foundation
al zubair charity foundation,1,Al Zubair Charity Foundation
alaka ina foundation family of companies,1,Alaka'ina Foundation Family of Companies
alamin,1,Alamin
albadyh foundation,1,Albadyh Foundation
albany associates,1,Albany Associates
albany communication trust,1,Albany Communication Trust
albatros energy mali sa,1,Albatros Energy Mali SA
alberta council of women s shelters,1,Alberta Council of Women's Shelters
alboan,1,Alboan
alburaihy group international hospitals,1,Alburaihy Group International Hospitals
aldeamo,1,Aldeamo
alegtinam human development organization,1,Alegtinam Human Development Organization
alesayi motors,1,Alesayi Motors
alex diederich,1,Alex Diederich
alf ba civilian coexistence foundation,1,Alf Ba Civilian Coexistence Foundation
alghina ngo,1,AlGhina Ngo
alianza para la paz,1,Alianza para la Paz
alianza por la solidaridad,1,Alianza por la Solidaridad
alight,1,Alight
alima,1,ALIMA
alinea international,1,Alinea International
aliniha self managed association of kobokoro,1,ALINIHA Self-Managed Association of Kobokoro
alliance cote d ivoire,1,Alliance Cote d'Ivoire
alliance for a green revolution in africa,1,Alliance for a Green Revolution in Africa
alliance for conflict transformation,1,Alliance for Conflict Transformation
alliance for gender inclusion in the peace process,1,Alliance for Gender Inclusion in the Peace Process
alliance for peacebuilding,1,Alliance for Peacebuilding
alliance francaise in kampala,1,Alliance Francaise in Kampala
alliance of bioversity and ciat,1,Alliance of Bioversity and CIAT
alliance pour la renaissance et l’emergence de la centrafrique,1,Alliance pour la Renaissance et l’Emergence de la Centrafrique
almajdouie holding,1,Almajdouie Holding
almaqased foundation,1,Almaqased foundation
almasheesh for peace and development organization,1,Almasheesh for Peace and Development Organization
alola foundation,1,Alola Foundation
alosool medical,1,Alosool Medical
alsafwa general hospital,1,Alsafwa General Hospital
alternative energy promotion centre,1,Alternative Energy Promotion Centre
alternative society organisation,1,Alternative Society Organisation
alternatives,1,Alternatives
alwaly hospital,1,Alwaly Hospital
amahoro onlus,1,Amahoro Onlus
aman association for patient support,1,Aman Association for Patient Support
amd valley dam project,1,Amd Valley Dam Project
amel association,1,Amel Association
america espana solidaridad y cooperacion,1,"América, España, Solidaridad y Cooperación"
american association for the advancement of science,1,American Association for the Advancement of Science
american association of airport executives,1,American Association of Airport Executives
