name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
united nations mission in south sudan,united nations mission in the sudan,86.1,91.4,no,united nations mission in south sudan,differentiating_word,United Nations Mission in South Sudan,United Nations Mission in the Sudan
directorate general for development cooperation italy,directorate general for international development cooperation greece,86.0,77.8,no,directorate general for development cooperation italy,differentiating_word,Directorate-General for Development Cooperation - Italy,Directorate-General for International Development Cooperation - Greece
italian agency for development cooperation dakar office,italian agency for development cooperation mogadishu office,86.0,88.0,no,italian agency for development cooperation mogadishu office,coder_rejected,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Mogadishu Office
italian agency for development cooperation havana office,italian agency for development cooperation khartoum office,86.0,89.3,no,italian agency for development cooperation khartoum office,coder_rejected,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - Khartoum Office
italian agency for development cooperation khartoum office,italian agency for development cooperation yangon office,86.0,89.3,no,italian agency for development cooperation khartoum office,coder_rejected,Italian Agency for Development Cooperation - Khartoum Office,Italian Agency for Development Cooperation - Yangon Office
ministry of technical and vocational education,ministry of technical education and vocational training yemen,86.0,82.2,no,ministry of technical and vocational education,coder_rejected,Ministry of Technical and Vocational Education,Ministry of Technical Education and Vocational Training - Yemen
united nations children s fund canada committee,united nations children s fund spain committee,86.0,91.3,no,united nations children s fund spain committee,differentiating_word,United Nations Children's Fund - Canada Committee,United Nations Children's Fund - Spain Committee
adventist development and relief agency canada,adventist development and relief agency norge,85.7,94.1,no,adventist development and relief agency norge,country_name_swap,Adventist Development and Relief Agency Canada,Adventist Development and Relief Agency Norge
adventist development and relief agency international,adventist development and relief agency norge,85.7,94.4,no,adventist development and relief agency international,country_name_swap,Adventist Development and Relief Agency International,Adventist Development and Relief Agency Norge
agency for cooperation and research in development,agency for technical cooperation and development,85.7,75.0,no,agency for technical cooperation and development,coder_rejected,Agency for Cooperation and Research in Development,Agency for Technical Cooperation and Development
al misbah association for development,al rashad development association,85.7,63.0,no,al rashad development association,coder_rejected,Al-Misbah Association for Development,Al Rashad Development Association
al rawdah hospital,al safwa hospital,85.7,82.4,no,al safwa hospital,coder_rejected,Al-Rawdah Hospital,Al Safwa Hospital
community of andalucia spain,community of cantabria spain,85.7,85.7,no,community of andalucia spain,coder_rejected,Community of Andalucía - Spain,Community of Cantabria - Spain
consortium ceci,consortium wusc ceci,85.7,84.6,no,consortium ceci,coder_rejected,Consortium CECI,Consortium WUSC-CECI
department of finance canada,department of justice canada,85.7,85.7,no,department of justice canada,coder_rejected,Department of Finance - Canada,Department of Justice - Canada
fundacion proaves,fundacion proclade,85.7,86.7,no,fundacion proclade,country_name_swap,Fundación ProAves,Fundación PROCLADE
government of bulgaria,government of gambia,85.7,85.7,no,government of bulgaria,country_name_swap,Government of Bulgaria,Government of Gambia
government of colombia,government of gambia,85.7,82.4,no,government of colombia,country_name_swap,Government of Colombia,Government of Gambia
government of japan,government of jubbaland,85.7,88.2,no,government of japan,country_name_swap,Government of Japan,Government of Jubbaland
institut national de la recherche agronomique,institut national de recherches agronomiques du niger,85.7,95.5,no,institut national de la recherche agronomique,coder_rejected,Institut National de la Recherche Agronomique,Institut national de recherches agronomiques du Niger
italian agency for development cooperation,italian agency for development cooperation havana office,85.7,100.0,no,italian agency for development cooperation,coder_rejected,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Havana Office
italian agency for development cooperation,italian agency for development cooperation la paz office,85.7,100.0,no,italian agency for development cooperation,coder_rejected,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - La Paz Office
italian agency for development cooperation,italian agency for development cooperation yangon office,85.7,100.0,no,italian agency for development cooperation,coder_rejected,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Yangon Office
medecins sans frontieres,medecins sans frontieres holland,85.7,100.0,no,medecins sans frontieres,coder_rejected,Médecins Sans Frontieres,Médecins Sans Frontières Holland
ministry of climate and environment norway,ministry of climate and environment poland,85.7,93.7,no,ministry of climate and environment poland,country_name_swap,Ministry of Climate and Environment - Norway,Ministry of Climate and Environment - Poland
ministry of education and scientific research romania,ministry of higher education and scientific research,85.7,92.8,no,ministry of education and scientific research romania,differentiating_word,Ministry of Education and Scientific Research - Romania,Ministry of Higher Education and Scientific Research
ministry of foreign affairs,ministry of foreign affairs portugal,85.7,100.0,no,ministry of foreign affairs portugal,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Portugal
ministry of foreign affairs belgium,ministry of foreign affairs denmark,85.7,89.6,no,ministry of foreign affairs denmark,country_name_swap,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs belgium,ministry of foreign affairs estonia,85.7,90.6,no,ministry of foreign affairs estonia,country_name_swap,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs japan,ministry of foreign affairs lithuania,85.7,91.8,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Lithuania
ministry of health,ministry of health italy,85.7,100.0,no,ministry of health,differentiating_word,Ministry of Health,Ministry of Health - Italy
ministry of health,ministry of health libya,85.7,100.0,no,ministry of health,coder_rejected,Ministry of Health,Ministry of Health - Libya
ministry of health,ministry of health spain,85.7,100.0,no,ministry of health spain,differentiating_word,Ministry of Health,Ministry of Health - Spain
ministry of health spain,ministry of health uganda,85.7,89.4,no,ministry of health spain,country_name_swap,Ministry of Health - Spain,Ministry of Health - Uganda
ministry of health spain,ministry of public health,85.7,70.8,no,ministry of health spain,differentiating_word,Ministry of Health - Spain,Ministry of Public Health
norges r<f8>de kors,norges røde kors,85.7,75.0,no,norges røde kors,coder_rejected,Norges R<f8>de Kors,Norges Røde Kors|Norges Røde Kors
plan international,plan international norge,85.7,100.0,no,plan international,coder_rejected,Plan International,Plan International Norge
plan international mali,plan international myanmar,85.7,93.3,no,plan international mali,country_name_swap,Plan International Mali,Plan International Myanmar
united nations development programme,united nations development programme south sudan,85.7,100.0,no,united nations development programme,differentiating_word,United Nations Development Programme,United Nations Development Programme South Sudan
united nations development programme,united nations development programme timor leste,85.7,100.0,no,united nations development programme,coder_rejected,United Nations Development Programme,United Nations Development Programme Timor Leste
universita degli studi di trento,universita degli studi roma tre,85.7,90.0,no,universita degli studi roma tre,coder_rejected,Università degli Studi di Trento,Universita degli Studi Roma Tre
war child,war child uk,85.7,100.0,no,war child,differentiating_word,War Child,War Child UK
world vision australia,world vision somalia,85.7,82.4,no,world vision australia,country_name_swap,World Vision Australia,World Vision Somalia
united nations development programme mali,united nations development programme timor leste,85.4,95.0,no,united nations development programme mali,coder_rejected,United Nations Development Programme Mali,United Nations Development Programme Timor Leste
community of asturias spain,community of cataluna spain,85.2,85.2,no,community of asturias spain,coder_rejected,Community of Asturias - Spain,Community of Cataluña - Spain
community of canarias spain,community of cataluna spain,85.2,85.2,no,community of cataluna spain,coder_rejected,Community of Canarias - Spain,Community of Cataluña - Spain
italian agency for development cooperation havana office,italian agency for development cooperation mogadishu office,85.2,87.1,no,italian agency for development cooperation mogadishu office,coder_rejected,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - Mogadishu Office
italian agency for development cooperation mogadishu office,italian agency for development cooperation yangon office,85.2,87.1,no,italian agency for development cooperation mogadishu office,coder_rejected,Italian Agency for Development Cooperation - Mogadishu Office,Italian Agency for Development Cooperation - Yangon Office
ministry of agriculture,ministry of agriculture hungary,85.2,100.0,no,ministry of agriculture,differentiating_word,Ministry of Agriculture,Ministry of Agriculture - Hungary
ministry of education and sports,ministry of health and sports,85.2,79.3,no,ministry of health and sports,coder_rejected,Ministry of Education and Sports,Ministry of Health and Sports
prime minister s office,prime minister s office hungary,85.2,100.0,no,prime minister s office hungary,differentiating_word,Prime Minister's Office,Prime Minister's Office - Hungary
doctors of the world,doctors of the world canada,85.1,100.0,no,doctors of the world canada,differentiating_word,Doctors of the World,Doctors of the World Canada
government of guinea,government of guinea bissau,85.1,100.0,no,government of guinea bissau,coder_rejected,Government of Guinea,Government of Guinea-Bissau
ministry of interior,ministry of interior france,85.1,100.0,no,ministry of interior,differentiating_word,Ministry of Interior,Ministry of Interior - France
roskilde universitet,roskilde universitetscenter,85.1,100.0,no,roskilde universitetscenter,country_name_swap,Roskilde Universitet,Roskilde Universitetscenter
united nations children s fund belgium committee,united nations children s fund spain committee,85.1,87.0,no,united nations children s fund spain committee,differentiating_word,United Nations Children's Fund - Belgium Committee,United Nations Children's Fund - Spain Committee
government of belgium,government of benin,85.0,91.4,no,government of belgium,country_name_swap,Government of Belgium,Government of Benin
government of benin,government of burundi,85.0,88.2,no,government of burundi,country_name_swap,Government of Benin,Government of Burundi
government of lebanon,government of libya,85.0,91.9,no,government of libya,country_name_swap,Government of Lebanon,Government of Libya
government of liberia,government of niger,85.0,89.5,no,government of niger,country_name_swap,Government of Liberia,Government of Niger
government of malta,government of myanmar,85.0,88.9,no,government of myanmar,country_name_swap,Government of Malta,Government of Myanmar
government of somalia,government of syria,85.0,88.2,no,government of syria,country_name_swap,Government of Somalia,Government of Syria
trial international,tricomp international,85.0,84.8,no,trial international,short_names_low_score,TRIAL International,Tricomp International
ministry of foreign affairs netherlands,ministry of foreign affairs norway,84.9,92.1,no,ministry of foreign affairs netherlands,country_name_swap,Ministry of Foreign Affairs - Netherlands,Ministry of Foreign Affairs - Norway
united nations high commissioner for refugees,united nations high commissioner for refugees italy committee,84.9,100.0,no,united nations high commissioner for refugees,differentiating_word,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees - Italy Committee
united nations high commissioner for refugees,united nations high commissioner for refugees spain committee,84.9,100.0,no,united nations high commissioner for refugees,differentiating_word,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees - Spain Committee
adventist development and relief agency danmark,adventist development and relief agency norge,84.8,94.1,no,adventist development and relief agency norge,country_name_swap,Adventist Development and Relief Agency Danmark,Adventist Development and Relief Agency Norge
united nations mission in nepal,united nations mission in the sudan,84.8,91.2,no,united nations mission in nepal,coder_rejected,United Nations Mission in Nepal,United Nations Mission in the Sudan
universita degli studi di foggia,universita degli studi di roma tre,84.8,90.3,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Foggia,Università degli Studi di Roma Tre
embassy of greece in rome,embassy of greece in vienna,84.6,91.3,no,embassy of greece in rome,country_name_swap,Embassy of Greece in Rome,Embassy of Greece in Vienna
aga khan foundation,aga khan foundation canada,84.4,100.0,no,aga khan foundation canada,differentiating_word,Aga Khan Foundation,Aga Khan Foundation Canada
amref health africa,amref health africa canada,84.4,100.0,no,amref health africa,differentiating_word,Amref Health Africa,Amref Health Africa - Canada
ministry of finance,ministry of finance norway,84.4,100.0,no,ministry of finance,differentiating_word,Ministry of Finance,Ministry of Finance - Norway
ministry of foreign affairs,ministry of foreign affairs lithuania,84.4,100.0,no,ministry of foreign affairs lithuania,coder_rejected,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Lithuania
united nations development programme syria,united nations development programme timor leste,84.4,93.8,no,united nations development programme syria,coder_rejected,United Nations Development Programme Syria,United Nations Development Programme Timor Leste
government of haiti,government of italy,84.2,91.4,no,government of italy,country_name_swap,Government of Haiti,Government of Italy
government of israel,government of mali,84.2,90.9,no,government of mali,country_name_swap,Government of Israel,Government of Mali
government of nepal,government of niger,84.2,91.4,no,government of nepal,country_name_swap,Government of Nepal,Government of Niger
ministry of foreign affairs and emigrants,ministry of foreign affairs denmark,84.2,90.6,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Denmark
secretaria de educacion de antioquia,secretaria de educacion de bogota,84.1,91.8,no,secretaria de educacion de bogota,country_name_swap,Secretaría de Educación de Antioquia,Secretaría de Educación de Bogotá
united nations high commissioner for refugees,united nations high commissioner for refugees euskal batzordea,84.1,100.0,no,united nations high commissioner for refugees,coder_rejected,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees - Euskal Batzordea
amref health africa italy,amref health africa spain,84.0,91.3,no,amref health africa italy,country_name_swap,Amref Health Africa - Italy,AMREF Health Africa - Spain
international organization for migration ireland,international organization for migration timor leste,84.0,92.3,no,international organization for migration ireland,differentiating_word,International Organization for Migration Ireland,International Organization for Migration Timor-Leste
italian agency for development cooperation,italian agency for development cooperation khartoum office,84.0,100.0,no,italian agency for development cooperation,coder_rejected,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Khartoum Office
ministry of education and higher education,ministry of education higher education and research france,84.0,95.0,no,ministry of education higher education and research france,differentiating_word,Ministry of Education and Higher Education,"Ministry of Education, Higher Education and Research - France"
plan international ireland,plan international norge,84.0,91.3,no,plan international ireland,country_name_swap,Plan International Ireland,Plan International Norge
fundacion acodea,fundacion barco,83.9,92.9,no,fundacion barco,country_name_swap,Fundación Acodea,Fundación Barco
ministry of health and population,ministry of health and sports,83.9,92.6,no,ministry of health and population,country_name_swap,Ministry of Health and Population,Ministry of Health and Sports
ministry of social affairs,ministry of social affairs and labor,83.9,100.0,no,ministry of social affairs,coder_rejected,Ministry of Social Affairs,Ministry of Social Affairs and Labor
ministry of economy and finance,ministry of economy and finance south korea,83.8,100.0,no,ministry of economy and finance south korea,differentiating_word,Ministry of Economy and Finance,Ministry of Economy and Finance - South Korea
government of malta,government of mauritania,83.7,91.4,no,government of malta,country_name_swap,Government of Malta,Government of Mauritania
ministry of health,ministry of health angola,83.7,100.0,no,ministry of health,coder_rejected,Ministry of Health,Ministry of Health - Angola
ministry of health,ministry of health greece,83.7,100.0,no,ministry of health greece,differentiating_word,Ministry of Health,Ministry of Health - Greece
ministry of health,ministry of health jordan,83.7,100.0,no,ministry of health,coder_rejected,Ministry of Health,Ministry of Health - Jordan
ministry of health,ministry of health uganda,83.7,100.0,no,ministry of health uganda,coder_rejected,Ministry of Health,Ministry of Health - Uganda
municipality of tripoli,municipality of tyre,83.7,94.7,no,municipality of tripoli,country_name_swap,Municipality of Tripoli,Municipality of Tyre
partners in health,partners in health canada,83.7,100.0,no,partners in health,differentiating_word,Partners In Health,Partners In Health Canada
plan international,plan international canada,83.7,100.0,no,plan international canada,differentiating_word,Plan International,Plan International Canada
plan international,plan international italia,83.7,100.0,no,plan international,coder_rejected,Plan International,Plan International Italia
united nations development programme,united nations development programme guinea bissau,83.7,100.0,no,united nations development programme,coder_rejected,United Nations Development Programme,United Nations Development Programme Guinea-Bissau
universite de moncton,universite de montreal,83.7,92.3,no,universite de montreal,country_name_swap,Université de Moncton,Université de Montréal
universitetet i agder,universitetet i bergen,83.7,90.0,no,universitetet i bergen,country_name_swap,Universitetet i Agder,Universitetet i Bergen
embassy of canada to chile,embassy of canada to colombia,83.6,92.0,no,embassy of canada to chile,country_name_swap,Embassy of Canada to Chile,Embassy of Canada to Colombia
ministere de l enseignement superieur et de la recherche scientifique,ministere de l’enseignement superieur et de la recherche scientifique burundi,83.6,98.6,no,ministere de l’enseignement superieur et de la recherche scientifique burundi,coder_rejected,Ministère de l'Enseignement supérieur et de la Recherche scientifique,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
ministry of foreign affairs greece,ministry of foreign affairs japan,83.6,91.8,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Japan
universita degli studi di palermo,universita degli studi di roma tre,83.6,91.8,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Palermo,Università degli Studi di Roma Tre
youth development foundation,youth leadership development foundation,83.6,90.2,no,youth development foundation,coder_rejected,Youth Development Foundation Inc.,Youth Leadership Development Foundation
programme national de lutte contre la tuberculose,programme national de lutte contre le sida,83.5,93.7,no,programme national de lutte contre le sida,coder_rejected,Programme National de Lutte contre la Tuberculose,Programme National de Lutte contre le Sida
united nations development programme guinea bissau,united nations development programme mali,83.5,94.9,no,united nations development programme mali,coder_rejected,United Nations Development Programme Guinea-Bissau,United Nations Development Programme Mali
industrial bank of syria,industrial bank of yemen,83.3,90.9,no,industrial bank of yemen,country_name_swap,The Industrial Bank of Syria,Industrial Bank of Yemen
ministry of foreign affairs and international cooperation,ministry of foreign affairs and international trade,83.3,94.8,no,ministry of foreign affairs and international trade,country_name_swap,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs and International Trade
ministry of interior,ministry of interior austria,83.3,100.0,no,ministry of interior,differentiating_word,Ministry of Interior,Ministry of Interior - Austria
ministry of public health drc,ministry of public health qatar,83.3,94.5,no,ministry of public health qatar,country_name_swap,Ministry of Public Health - DRC,Ministry of Public Health - Qatar
partners west africa,partners west africa senegal,83.3,100.0,no,partners west africa,coder_rejected,Partners West Africa,Partners West Africa Senegal
united nations peacebuilding commission,united nations peacebuilding fund,83.3,93.5,no,united nations peacebuilding fund,country_name_swap,United Nations Peacebuilding Commission,United Nations Peacebuilding Fund
italian agency for development cooperation,italian agency for development cooperation mogadishu office,83.2,100.0,no,italian agency for development cooperation,coder_rejected,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Mogadishu Office
ministry of foreign affairs,ministry of foreign affairs kazakhstan,83.1,100.0,no,ministry of foreign affairs,coder_rejected,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Kazakhstan
programme national de lutte contre le paludisme,programme national de lutte contre le sida,83.1,95.1,no,programme national de lutte contre le sida,country_name_swap,Programme National de Lutte contre le Paludisme,Programme National de Lutte contre le Sida
universita degli studi di foggia,universita degli studi di palermo,83.1,90.0,no,universita degli studi di foggia,country_name_swap,Università degli Studi di Foggia,Università degli Studi di Palermo
universita degli studi di foggia,universita degli studi di sassari,83.1,90.0,no,universita degli studi di foggia,country_name_swap,Università degli Studi di Foggia,Università degli Studi di Sassari
african development fund,african development solutions,83.0,90.9,no,african development fund,country_name_swap,African Development Fund,African Development Solutions
ministry of defense slovenia,ministry of defense spain,83.0,91.3,no,ministry of defense spain,country_name_swap,Ministry of Defense - Slovenia,Ministry of Defense - Spain
government of senegal,government of sweden,82.9,91.9,no,government of sweden,country_name_swap,Government of Senegal,Government of Sweden
medecins du monde,medecins du monde canada,82.9,100.0,no,medecins du monde,differentiating_word,Médecins Du Monde,Médecins du Monde Canada
samaritan s purse,samaritan s purse canada,82.9,100.0,no,samaritan s purse,differentiating_word,Samaritan's Purse,Samaritan's Purse Canada
united nations children s fund spain committee,united nations children s fund sudan,82.9,94.4,no,united nations children s fund spain committee,differentiating_word,United Nations Children's Fund - Spain Committee,United Nations Children's Fund Sudan
crown agents,crown agents bank,82.8,100.0,no,crown agents,coder_rejected,Crown Agents,Crown Agents Bank
ministerio da saude,ministerio da saude publica,82.6,100.0,no,ministerio da saude publica,coder_rejected,Ministério da Saúde,Ministério da Saúde Pública
ministry of finance,ministry of finance senegal,82.6,100.0,no,ministry of finance,coder_rejected,Ministry of Finance,Ministry of Finance - Senegal
ministry of justice,ministry of justice romania,82.6,100.0,no,ministry of justice,differentiating_word,Ministry of Justice,Ministry of Justice - Romania
georgetown university,georgetown university in qatar,82.4,100.0,no,georgetown university in qatar,coder_rejected,Georgetown University,Georgetown University in Qatar
international commission of jurists,international commission of jurists danish section,82.4,100.0,no,international commission of jurists danish section,coder_rejected,International Commission of Jurists,International Commission of Jurists - Danish Section
istituto oikos,istituto oikos onlus,82.4,100.0,no,istituto oikos onlus,coder_rejected,Istituto Oikos,Istituto Oikos Onlus
ministry of foreign affairs greece,ministry of foreign affairs latvia,82.4,90.3,no,ministry of foreign affairs greece,country_name_swap,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs norway,ministry of foreign affairs poland,82.4,92.1,no,ministry of foreign affairs norway,country_name_swap,Ministry of Foreign Affairs - Norway,Ministry of Foreign Affairs - Poland
universita degli studi di macerata,universita degli studi di roma tre,82.4,90.6,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Macerata,Università degli Studi di Roma Tre
ministry of foreign affairs greece,ministry of foreign affairs south korea,82.2,90.3,no,ministry of foreign affairs south korea,differentiating_word,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - South Korea
programme national de lutte contre le sida,programme nationale de lutte contre le paludisme,82.2,94.0,no,programme national de lutte contre le sida,coder_rejected,Programme National de Lutte contre le Sida,Programme Nationale De Lutte Contre Le Paludisme
united nations development programme sudan,united nations development programme timor leste,82.2,93.7,no,united nations development programme sudan,coder_rejected,United Nations Development Programme Sudan,United Nations Development Programme Timor Leste
embassy of the czech republic in lebanon,embassy of the czech republic in sanaa,82.1,93.0,no,embassy of the czech republic in lebanon,country_name_swap,Embassy of the Czech Republic in Lebanon,Embassy of the Czech Republic in Sanáa
government of liberia,government of mali,82.1,94.1,no,government of mali,country_name_swap,Government of Liberia,Government of Mali
government of mali,government of myanmar,82.1,91.4,no,government of mali,country_name_swap,Government of Mali,Government of Myanmar
ministry of foreign affairs and expatriates,ministry of foreign affairs denmark,82.1,90.6,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs and expatriates,ministry of foreign affairs estonia,82.1,90.6,no,ministry of foreign affairs estonia,coder_rejected,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Estonia
secretaria de educacion,secretaria de educacion de bogota,82.1,100.0,no,secretaria de educacion de bogota,coder_rejected,Secretaría de Educación,Secretaría de Educación de Bogotá
sudanese red crescent,sudanese red cross,82.1,91.4,no,sudanese red crescent,country_name_swap,Sudanese Red Crescent,Sudanese Red Cross
adventist development and relief agency canada,adventist development and relief agency czech republic,82.0,94.3,no,adventist development and relief agency canada,differentiating_word,Adventist Development and Relief Agency Canada,Adventist Development and Relief Agency Czech Republic
afro asiatisches institut salzburg,afro asiatisches institut vienna,81.8,90.0,no,afro asiatisches institut vienna,country_name_swap,Afro-Asiatisches Institut Salzburg,Afro-Asiatisches Institut Vienna|Afro-Asiatisches Institut Vienna
ministere de l education nationale de l enseignement superieur et de la recherche,ministere de l enseignement superieur et de la recherche,81.8,92.3,no,ministere de l education nationale de l enseignement superieur et de la recherche,word_count_mismatch,Ministère de l'Education Nationale de l'Enseignement Supérieur et de la Recherche,Ministère de l'Enseignement supérieur et de la Recherche
ministry of energy,ministry of energy norwary,81.8,100.0,no,ministry of energy,coder_rejected,Ministry of Energy,Ministry of Energy - Norwary
ministry of foreign affairs,ministry of foreign affairs netherlands,81.8,100.0,no,ministry of foreign affairs netherlands,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs,ministry of foreign affairs south korea,81.8,100.0,no,ministry of foreign affairs south korea,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - South Korea
plan international,plan international belgium,81.8,100.0,no,plan international,differentiating_word,Plan International,PLAN International Belgium
plan international,plan international denmark,81.8,100.0,no,plan international,differentiating_word,Plan International,Plan International Denmark
plan international,plan international finland,81.8,100.0,no,plan international finland,differentiating_word,Plan International,Plan International Finland
plan international,plan international ireland,81.8,100.0,no,plan international ireland,differentiating_word,Plan International,Plan International Ireland
plan international,plan international myanmar,81.8,100.0,no,plan international,coder_rejected,Plan International,Plan International Myanmar
plan international,plan international sverige,81.8,100.0,no,plan international sverige,coder_rejected,Plan International,Plan International Sverige
universita degli studi di foggia,universita degli studi di macerata,81.8,90.0,no,universita degli studi di foggia,country_name_swap,Università degli Studi di Foggia,Università degli Studi di Macerata
university of yangon,university of yaounde ii,81.8,92.3,no,university of yaounde ii,coder_rejected,University of Yangon,University of Yaoundé II
italian agency for development cooperation,italian agency for development cooperation addis ababa office,81.6,100.0,no,italian agency for development cooperation,word_count_mismatch,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Addis Ababa Office
ministry of foreign affairs and emigrants,ministry of foreign affairs estonia,81.6,90.6,no,ministry of foreign affairs estonia,coder_rejected,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Estonia
ministry of interior,ministry of interior slovakia,81.6,100.0,no,ministry of interior,coder_rejected,Ministry of Interior,Ministry of Interior - Slovakia
plan international ireland,plan international mali,81.6,93.0,no,plan international ireland,country_name_swap,Plan International Ireland,Plan International Mali
texas a m university,texas a m university at qatar,81.6,100.0,no,texas a m university at qatar,coder_rejected,Texas A&M University,Texas A&M University at Qatar
royal norwegian emabssy nairobi,royal norwegian embassy,81.5,95.7,no,royal norwegian embassy,coder_rejected,"Royal Norwegian Emabssy, Nairobi",Royal Norwegian Embassy
ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,ministere de l enseignement superieur et de la recherche scientifique,81.2,97.8,no,ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,word_count_mismatch,Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle,Ministère de l'Enseignement supérieur et de la Recherche scientifique
ministry of foreign affairs norway,ministry of foreign affairs romania,81.2,92.1,no,ministry of foreign affairs norway,country_name_swap,Ministry of Foreign Affairs - Norway,Ministry of Foreign Affairs - Romania
government of mali,government of mauritania,81.0,94.1,no,government of mali,country_name_swap,Government of Mali,Government of Mauritania
american university,american university in cairo,80.9,100.0,no,american university,coder_rejected,American University,The American University in Cairo
plan international mali,plan international norge,80.9,90.5,no,plan international norge,country_name_swap,Plan International Mali,Plan International Norge
united nations development programme mali,united nations development programme south sudan,80.9,94.9,no,united nations development programme south sudan,differentiating_word,United Nations Development Programme Mali,United Nations Development Programme South Sudan
adventist development and relief agency czech republic,adventist development and relief agency norge,80.8,94.1,no,adventist development and relief agency norge,differentiating_word,Adventist Development and Relief Agency Czech Republic,Adventist Development and Relief Agency Norge
caritas international belgium,caritas internationalis,80.8,95.5,no,caritas international belgium,differentiating_word,Caritas International Belgium,Caritas Internationalis
plan international nederland,plan international norge,80.8,93.3,no,plan international norge,country_name_swap,Plan International Nederland,Plan International Norge
ministry of health and population,ministry of health spain,80.7,93.3,no,ministry of health spain,differentiating_word,Ministry of Health and Population,Ministry of Health - Spain
ministry of health and sanitation,ministry of health spain,80.7,93.3,no,ministry of health spain,differentiating_word,Ministry of Health and Sanitation,Ministry of Health - Spain
royal norwegian embassy,royal norwegian embassy in jakarta,80.7,100.0,no,royal norwegian embassy,coder_rejected,Royal Norwegian Embassy,Royal Norwegian Embassy in Jakarta
union des societes cooperatives des producteur,union des societes cooperatives des producteurs de mais de diedougou,80.7,100.0,no,union des societes cooperatives des producteurs de mais de diedougou,word_count_mismatch,Union des sociétés coopératives des producteur,Union des Sociétés Coopératives des Producteurs de Maïs de Dièdougou
afro asiatisches institut graz,afro asiatisches institut vienna,80.6,92.9,no,afro asiatisches institut vienna,country_name_swap,Afro-Asiatisches Institut Graz,Afro-Asiatisches Institut Vienna|Afro-Asiatisches Institut Vienna
habitat for humanity international,habitat for humanity ireland,80.6,90.2,no,habitat for humanity international,country_name_swap,Habitat for Humanity International,Habitat for Humanity Ireland
ministere de l environnement,ministere de l environnment et de l eau,80.6,98.2,no,ministere de l environnement,word_count_mismatch,Ministère de l'Environnement,Ministere de l'Environnment et de l'Eau
ministry for foreign affairs sweden,ministry of foreign affairs,80.6,92.6,no,ministry for foreign affairs sweden,differentiating_word,Ministry for Foreign Affairs - Sweden,Ministry of Foreign Affairs
ministry of foreign affairs japan,ministry of foreign affairs norway,80.6,93.5,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Norway
ministry of foreign affairs japan,ministry of foreign affairs poland,80.6,93.9,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Poland
