"raw_name","n_states","n_years","first_year","last_year","n_appearances"
"Export-Import Bank - South Korea",7,14,2007,2020,69
"International Monetary Fund",12,14,2007,2020,69
"Japan Bank for International Cooperation",5,16,2005,2020,69
"Dansk Røde Kors",11,15,2006,2020,68
"Ministry of Finance",10,16,2005,2020,68
"Red Acoge",14,7,2012,2018,68
"Association of Universities and Colleges of Canada",9,11,2005,2015,67
"CARE Canada",10,16,2005,2020,67
"Joint United Nations Programme on HIV/AIDS",13,16,2005,2020,67
"Search for Common Ground",13,14,2007,2020,67
"DanChurchAid",12,14,2007,2020,66
"Redd Barna",11,15,2006,2020,66
"Development and Peace - Caritas Canada",9,16,2005,2020,65
"Ministry of Foreign Affairs - Czech Republic",13,10,2011,2020,65
"Oxfam Quebec",12,16,2005,2020,65
"World Vision Canada",10,16,2005,2020,65
"AECOM",6,13,2008,2020,64
"African Development Bank",7,15,2006,2020,64
"Swiss Humanitarian Aid Unit",7,15,2006,2020,64
"Artigiancassa",7,12,2007,2020,63
"Canadian Bureau for International Education",9,7,2014,2020,63
"Department of the Interior - United States",14,11,2010,2020,63
"Federal Public Service Foreign Affairs, Foreign Trade and Development Cooperation - Belgium",12,16,2005,2020,63
"African Development Fund",10,16,2005,2020,62
"Canadian Red Cross",12,15,2005,2020,62
"Cassa Depositi e Prestiti - Italy",7,11,2010,2020,62
"Dexis Consulting Group",9,9,2012,2020,62
"Svenska Kyrkan",8,15,2006,2020,62
"Abt Associates Inc.",5,16,2005,2020,61
"International Finance Corporation",9,13,2008,2020,61
"National Democratic Institute",14,12,2009,2020,60
"Svenska Missionsförbundet",8,14,2006,2019,60
"Federal Ministry of Finance - Germany",11,14,2007,2020,59
"Government of Turkey",15,8,2013,2020,59
"Islamic Development Bank",11,14,2007,2020,59
"Norwegian Agency for Exchange Cooperation",10,16,2005,2020,59
"Rädda Barnen",9,11,2008,2020,59
"Vía Directa",15,9,2012,2020,59
"Embassy of Canada",13,13,2008,2020,58
"John Snow International",10,16,2005,2020,58
"Svenska Missionsrådet",11,10,2008,2020,58
"Coady Institute - Saint Francis Xavier University",8,8,2013,2020,57
"Management Sciences for Health",8,15,2006,2020,57
"Social Solutions International, Inc.",8,7,2014,2020,56
"Arab Bank for Economic Development in Africa",6,16,2005,2020,54
"Trócaire",8,14,2007,2020,54
"Abu Dhabi Fund for Development - United Arab Emirates",10,12,2009,2020,53
"Adventist Development and Relief Agency International",9,13,2008,2020,53
"Community of Pais Vasco o Euskadi - Spain",11,10,2011,2020,53
"Government of Flanders - Belgium",13,16,2005,2020,53
"Government of Japan",16,15,2005,2020,53
"Federal Public Service Finance - Belgium",6,12,2005,2016,52
"Mines Advisory Group",10,14,2007,2020,52
"Jhpiego",10,13,2008,2020,51
"Red Barnet",12,14,2007,2020,51
"Strømmestiftelsen",6,16,2005,2020,51
"Deloitte",6,16,2005,2020,50
"Grand Challenges Canada",8,8,2013,2020,50
"Least Developed Countries Trust Fund (LDCF)",11,9,2012,2020,50
"Pingstmissionens Utvecklingssamarbete",7,13,2005,2017,50
"Social Impact",10,12,2009,2020,50
"Swedish Research Council",11,8,2013,2020,50
"Plan International Canada",8,16,2005,2020,49
"United Nations Department of Political and Peacebuilding Affairs",9,10,2011,2020,49
"Adoratrices Esclavas del Santísimo Sacramento y de la Caridad",12,4,2015,2018,47
"CARE Norge",6,16,2005,2020,47
"Diakonia",6,15,2006,2020,47
"Fundación La Merced Migraciones",12,4,2015,2018,47
"Ministry of Education, Life Long Learning, and Religious Affairs - Greece",11,16,2005,2020,47
"Abilis Foundation",6,16,2005,2020,46
"Ministry for Foreign Affairs - Sweden",10,13,2007,2020,46
"Relief International",6,14,2007,2020,46
"Right to Play International",7,16,2005,2020,46
"Saudi Fund for Development",10,6,2015,2020,46
"Save the Children Canada",10,16,2005,2020,46
"AVSI Foundation",7,16,2005,2020,45
"GOAL",5,15,2006,2020,45
"Organisation for Economic Co-operation and Development",10,12,2005,2020,45
"Private Agencies Collaborating Together",6,16,2005,2020,45
"University of North Carolina at Chapel Hill",5,13,2008,2020,45
"Centre for Humanitarian Dialogue",10,12,2008,2020,44
"Enabel - Belgium",6,16,2005,2020,44
"Global Communities",7,13,2008,2020,44
"International Federation for Human Rights",8,16,2005,2020,44
"The Arab Fund for Economic and Social Development",6,15,2006,2020,44
"Unione delle Chiese netodiste e valdesi",8,11,2010,2020,44
"International Business and Technical Consultants Inc.",7,12,2009,2020,43
"International Center for Transitional Justice",7,16,2005,2020,43
"Plan International Sverige",9,13,2008,2020,43
"United Nations Children's Fund - Spain Committee",8,10,2011,2020,43
"Catholic Organization for Relief and Development",7,15,2005,2020,42
"Colleges and Institutes Canada",5,16,2005,2020,42
"Green Climate Fund",15,6,2015,2020,42
"Ministry of Science and Higher Education - Poland",10,7,2014,2020,42
"Norges Røde Kors",8,12,2005,2016,42
"Swedish Police Authority",9,7,2014,2020,42
"World Vision Ireland",6,13,2008,2020,42
"Department of Defense - United States",11,7,2010,2020,41
"Ministry of Foreign Affairs - Greece",11,16,2005,2020,41
"Solidarités International",12,9,2012,2020,41
"World University Service of Canada",5,14,2007,2020,41
"African Development Foundation - United States",5,13,2008,2020,40
"Centre d'Étude et de Coopération Internationale",5,16,2005,2020,40
"Macro International",5,8,2013,2020,40
"N/A",8,10,2005,2014,40
"Agriculture Cooperative Development International/Volunteers in Overseas Cooperative Assistance",8,12,2008,2020,39
"International Peacebuilding Alliance",4,16,2005,2020,39
"King Salman Humanitarian Aid and Relief Center - Saudi Arabia",10,10,2011,2020,39
"Plan International Finland",4,16,2005,2020,39
"Desjardins International Development",4,13,2008,2020,38
"International Fertilizer Development Center",5,12,2009,2020,38
"Michigan State University",6,14,2007,2020,38
"United Nations Capital Development Fund",6,16,2005,2020,38
"Fundación Cepaim",12,4,2016,2019,37
"State Secretariat for Economic Affairs - Switzerland",6,16,2005,2020,37
"Terre des Hommes Foundation",8,15,2005,2020,37
"Adventist Development and Relief Agency Norge",5,15,2005,2020,36
"Asociación Provivienda",12,3,2016,2018,36
"Caritas Suisse",8,8,2013,2020,36
"Counterpart International",5,11,2010,2020,36
"DIANOVA International",12,3,2016,2018,36
"European Environmental Tribunal",6,13,2008,2020,36
"Fundación APIP-ACAM",12,3,2016,2018,36
"Red Crescent Authority of the United Arab Emirates",7,16,2005,2020,36
"The Carter Center",11,16,2005,2020,36
"United Nations Multi-Partner Trust Fund Office",8,10,2009,2020,36
"DT Global",6,9,2012,2020,35
"Islamic Relief Worldwide",9,11,2008,2020,35
"Ministry of Foreign Affairs - Estonia",12,8,2013,2020,35
"Polish National Agency for Academic Exchange",8,7,2014,2020,35
"United States Pharmacopeial Convention",3,12,2009,2020,35
"Vétérinaires Sans Frontières International",5,15,2005,2020,35
"Caritas Norge",6,16,2005,2020,34
"Community of Andalucía - Spain",7,6,2015,2020,34
"Heavily Indebted Poor Countries Debt Initiative Trust Fund",4,16,2005,2020,34
"International Atomic Energy Agency",8,11,2010,2020,34
"Interpeace",6,13,2007,2020,34
"Ministry of Education, Science, Research and Sport - Slovakia",6,7,2014,2020,34
"Ministry of Foreign Affairs - Poland",12,8,2013,2020,34
"We Social Movements",4,16,2005,2020,34
"Adaptation Fund",5,10,2011,2020,33
"Blumont",9,12,2009,2020,33
"Community of Extremadura - Spain",6,9,2012,2020,33
"Johns Hopkins University",6,9,2012,2020,33
"Oxfam Denmark",9,12,2007,2020,33
"Université du Québec en Outaouais",6,9,2007,2020,33
"Asian Development Bank",4,15,2006,2020,32
"Country Based Pooled Funds",9,5,2016,2020,32
"Croix-Rouge de Belgique",3,14,2007,2020,32
"Education Development Center",6,16,2005,2020,32
"Oesterreichische Kontrollbank AG",6,14,2007,2020,32
"Plan International Ireland",6,12,2008,2020,32
"Slovak Aid",7,9,2012,2020,32
"Task Force for Global Health",4,11,2010,2020,32
"Cooperazione Internazionale",5,16,2005,2020,31
"Fondation suisse pour la paix",5,16,2005,2020,31
"HALO Trust",7,11,2005,2020,31
"International Republican Institute",11,9,2011,2020,31
"Near East Foundation",5,13,2008,2020,31
"Rescate Internacional",11,8,2012,2019,31
"SeedChange",3,15,2006,2020,31
"Tempus Public Foundation",14,5,2016,2020,31
"Wildlife Conservation Society",6,13,2008,2020,31
"Winrock International",5,14,2007,2020,31
"Canadian Lutheran World Relief",5,14,2007,2020,30
"Canadian Police Arrangement",6,13,2008,2020,30
"Caritas International Belgium",7,16,2005,2020,30
"Department of Labor - United States",4,10,2011,2020,30
"Economic Community of West African States",5,11,2005,2019,30
"Federation of Canadian Municipalities",4,11,2010,2020,30
"Fida International",5,14,2007,2020,30
"Flemish Interuniversity Council",6,16,2005,2020,30
"Government of Austria",8,12,2007,2020,30
"Individual",6,16,2005,2020,30
"Inter Pares",4,16,2005,2020,30
"International Business Machines Corp.",8,4,2016,2019,30
"International Development Law Organization",5,10,2011,2020,30
"Louis Berger International",3,15,2006,2020,30
"Macfadden",9,15,2006,2020,30
"MEDAIR",6,16,2005,2020,30
