"raw_name","n_states","n_years","first_year","last_year","n_appearances"
"Kaye Schofield and Associates Pty Ltd",1,8,2005,2012,8
"KFUK-KFUM Global",2,7,2009,2020,8
"Legal Action Worldwide",3,4,2017,2020,8
"Maharat Foundation",1,8,2012,2020,8
"Mahidol University",1,8,2013,2020,8
"Micro Finance Institutions (deposit and non-deposit)",1,8,2013,2020,8
"Minerva Societa Cooperativa Sociale",3,4,2013,2016,8
"Ministère de l'Aménagement du Territoire et de la Population",1,8,2013,2020,8
"Ministere de l'Economie et des Finances",1,8,2012,2019,8
"Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle",1,8,2005,2012,8
"Ministère de la Santé, De L'Hygiène Publique et de la Couverture Maladie Universelle",1,8,2010,2017,8
"Ministère des Affaires Etrangères et de la Coopération au Développement - Burundi",1,8,2008,2015,8
"Ministère des Postes et Télécommunications",1,8,2009,2016,8
"Ministère du Développement de l'Énergie et des Ressources",1,8,2009,2020,8
"Ministério das Finanças",1,8,2005,2012,8
"Ministerio De Transporte",1,8,2011,2020,8
"Ministre de l'Education Nationale et de l'Alphabétisation",1,8,2005,2012,8
"Ministre des Travaux Publics, Transports et Communications",1,8,2012,2019,8
"Ministry of Agriculture and Animal Resources - Rwanda",1,8,2010,2017,8
"Ministry of Economy, Trade and Enterprise - Spain",2,8,2011,2018,8
"Ministry of Electric Power",1,8,2013,2020,8
"Ministry of Energy, Water Resources and Irrigation",1,8,2005,2012,8
"Ministry of Finance and Economic Planning",1,8,2012,2019,8
"Ministry of Finance and Economic Planning - Sudan",1,8,2013,2020,8
"Ministry of Food and Agriculture - Germany",2,5,2014,2018,8
"Ministry of Foreign Affairs and Emigrants",1,8,2013,2020,8
"Ministry of Foreign and European Affairs - Slovakia",3,4,2017,2020,8
"Ministry of Justice",2,8,2009,2019,8
"Ministry of Mines and Mineral Resources",1,8,2009,2016,8
"Ministry of Technical Education and Vocational Training",1,8,2007,2019,8
"Ministry of Telecommunications and Information Technology",1,8,2012,2019,8
"Ministry of the Economy and Development Planning",1,8,2005,2012,8
"Ministry of Transport and Communications",1,8,2013,2020,8
"Moore Global",3,6,2013,2018,8
"Movement for Peace, Disarmament and Freedom",1,8,2006,2013,8
"Movimento Africa '70",1,8,2005,2012,8
"Mujeres en Zona de Conflicto",2,5,2016,2020,8
"Multilateral Investment Guarantee Agency",2,7,2005,2011,8
"Multinational Civil-Military Cooperation Group - Italy",2,6,2015,2020,8
"National Bureau of Statistics",1,8,2013,2020,8
"National Rural Electric Cooperative Association",1,8,2013,2020,8
"National Serum Institute - Denmark",1,8,2007,2014,8
"New York University",2,5,2009,2013,8
"NIRAS A/S",1,8,2013,2020,8
"Norges R<f8>de Kors",1,8,2006,2020,8
"Norsk Utenrikspolitisk Institutt",3,7,2005,2020,8
"Norwegian Ocean Industry Authority",3,3,2018,2020,8
"Oslo universitetssykehus",2,7,2009,2016,8
"PacArctic LLC",2,4,2017,2020,8
"Parmaalimenta",1,8,2010,2017,8
"Parole et Action pour le Réveil des Consciences et l Evolution des Mentalités",1,8,2011,2018,8
"Partners of the Americas",2,4,2017,2020,8
"Peace Research Institute Oslo",3,7,2005,2014,8
"Perez, APC",3,6,2015,2020,8
"Physicians Across Continents",2,6,2015,2020,8
"Plan International Mali",1,8,2013,2020,8
"Plan International Nederland",2,5,2016,2020,8
"Polish Center for International Aid",3,7,2013,2020,8
"Prima Materia",1,8,2013,2020,8
"Programme National de Lutte contre le Paludisme",1,8,2010,2017,8
"Programme Nationale De Lutte Contre Le Paludisme",1,8,2010,2017,8
"Public Health Agency - Canada",1,8,2005,2012,8
"Purdue University",3,3,2018,2020,8
"Residual Special Court for Sierra Leone",1,8,2005,2012,8
"Romanian Agency for International Development",6,3,2018,2020,8
"Rural Reconstruction Nepal",1,8,2005,2012,8
"Rural Water Supply and Sanitation Fund Development Board",1,8,2005,2012,8
"Sant Pon Ayiti",1,8,2013,2020,8
"Scaling Up Renewable Energy Program",2,7,2013,2020,8
"Scatec",3,4,2017,2020,8
"Sentinel Project for Genocide Prevention",2,5,2016,2020,8
"Sierra Leones Venner",1,8,2006,2013,8
"Social Welfare Fund",1,8,2010,2017,8
"Technical Assistance Special Fund - Asian Development Bank",1,8,2013,2020,8
"TechnoServe",2,4,2016,2019,8
"The American University in Cairo",2,5,2009,2019,8
"The Equality Fund",2,4,2007,2010,8
"Transtec",2,7,2014,2020,8
"Trust fund via European Investment Bank",1,8,2013,2020,8
"UAP Properties Limited",1,8,2013,2020,8
"Unidad Nacional para la Gestión del Riesgo de Desastres",1,8,2013,2020,8
"United Nations Children's Fund - Belgium Committee",3,6,2005,2010,8
"United Nations Development Programme Guinea-Bissau",1,8,2013,2020,8
"United Nations Development Programme Mali",1,8,2012,2019,8
"United Nations General Trust Fund",2,6,2012,2020,8
"United Nations High Commissioner for Refugees - Euskal Batzordea",2,7,2014,2020,8
"United States Conference of Catholic Bishops",1,8,2013,2020,8
"Universidad de los Andes",1,8,2013,2020,8
"Università degli studi dell'Aquila",5,5,2016,2020,8
"Université Gaston Berger de Saint-Louis",2,4,2017,2020,8
"University Grants Commission - India",1,8,2007,2014,8
"University of the West Indies",2,5,2016,2020,8
"University of Yaoundé II",1,8,2013,2020,8
"Velum Ventures S.A.S.",1,8,2013,2020,8
"World Neighbours Canada",1,8,2006,2013,8
"World Renew",1,8,2011,2018,8
"WSP Canada Inc",1,8,2010,2017,8
"Acte de Sensibilisation, d’Education et de Promotion Théâtrale",1,7,2012,2018,7
"Adventist Development and Relief Agency Danmark",1,7,2005,2011,7
"AECE E",1,7,2013,2019,7
"African Medical and Research Foundation",1,7,2012,2020,7
"African Parks Foundation of America",1,7,2014,2020,7
"Afro-Asiatisches Institut Vienna",2,5,2007,2011,7
"Agence Nationale d'Investissements des Collectivités Territoriales",1,7,2010,2016,7
"Agricultural Research Council - Nigeria",1,7,2010,2016,7
"American Bar Association",1,7,2009,2015,7
"Amsterdam Institute for Global Health and Development",1,7,2014,2020,7
"Apprio",1,7,2014,2020,7
"Asociación de Productores del Corregimiento de Puerto Frazadas Vereda las Vegas",1,7,2012,2018,7
"Asociación para el Desarrollo Campesino Pasto",1,7,2014,2020,7
"ASOCIACIÓN PROYDE",3,5,2009,2020,7
"Associazione Centro ELIS",1,7,2008,2014,7
"Associazione per la Cooperazione Socio-Sanitaria Internazionale",1,7,2006,2012,7
"Atlantic Council for International Cooperation",2,6,2015,2020,7
"Australian Red Cross",3,4,2006,2009,7
"Bannock Consulting LTD",1,7,2005,2011,7
"Baytna Syria",1,7,2014,2020,7
"Berytech",1,7,2014,2020,7
"Biladi",1,7,2012,2020,7
"Bolloré Group",2,5,2016,2020,7
"CA PA",1,7,2010,2016,7
"Canadian Teachers' Federation",1,7,2005,2011,7
"Cáritas Colombiana",1,7,2014,2020,7
"Center for Civilians in Conflict",2,7,2013,2020,7
"Central Bank of Yemen",1,7,2013,2019,7
"Centre for Economic and Social Development",1,7,2014,2020,7
"Centro di Educazione Sanitaria e Tecnologie Appropriate Sanitarie",2,7,2008,2018,7
"Centro Laici Italiani per le Missioni",1,7,2014,2020,7
"Children’s Cancer Center of Lebanon",1,7,2014,2020,7
"City of Montreal - Canada",1,7,2013,2019,7
"Collaboration Santé Internationale",1,7,2008,2014,7
"Colombian Commission of Jurists",1,7,2014,2020,7
"Columbia University",3,6,2008,2019,7
"Community of Canarias - Spain",6,2,2019,2020,7
"Consultoría para los Derechos Humanos y el Desplazamiento",1,7,2014,2020,7
"Cooperazione Internazionale Sud Sud",1,7,2006,2012,7
"Danida Fellowship Centre - Denmark",2,7,2011,2020,7
"Dar Al-Salam Organization",1,7,2008,2014,7
"Department of Justice - United States",2,6,2015,2020,7
"Department of the Premier and Cabinet - Australia",1,7,2005,2011,7
"Directorate of Hospitals and Laboratory Services- Sierra Leone",1,7,2011,2017,7
"Directorate of Water Resources and Improvement of River Systems",1,7,2014,2020,7
"EcoFuturo",1,7,2012,2018,7
"Ecole Polytechnique Fédérale de Zurich",2,5,2016,2020,7
"Econ Pöyry AS",3,4,2007,2010,7
"Embassy of Canada to Jordan",1,7,2005,2011,7
"Ente Nazionale Giuseppini del Murialdo",1,7,2013,2020,7
"Environmental Cleaning Solutions S.A.",1,7,2014,2020,7
"Etana",1,7,2014,2020,7
"European Union Capacity Building Mission in Mali",1,7,2014,2020,7
"Euskal Herriko Unibertsitatea",1,7,2014,2020,7
"Family Counseling & Development Foundation",1,7,2014,2020,7
"Family Planning Association of Nepal",1,7,2008,2014,7
"Fastenaktion",2,4,2017,2020,7
"Federación SETEM",1,7,2014,2020,7
"Federal Ministry of Health",1,7,2014,2020,7
"Federal State of North Rhine - Westphalia - Germany",2,5,2015,2019,7
"Fellowship for African Relief",1,7,2005,2011,7
"FIAN International",1,7,2014,2020,7
"Fondation Haitienne pour le Maintien de la Paix Sociale",1,7,2012,2018,7
"Fondation Réseau D’Entreprise Des Artisans",1,7,2012,2018,7
"Fondation Sainte Rita",1,7,2010,2016,7
"Frontiers Ruwad Association",1,7,2009,2017,7
"Fundación Arcángeles",1,7,2014,2020,7
"Fundación Capital",2,6,2015,2020,7
"Fundación Mundubat",1,7,2014,2020,7
"Fundación Neme",1,7,2014,2020,7
"Fundación Social de Holcim Colombia",1,7,2014,2020,7
"Fundación Triángulo",1,7,2014,2020,7
"General Corporation for Electrical Industries and Renewable Energy",1,7,2012,2019,7
"Georgetown University in Qatar",4,2,2019,2020,7
"Geotechnologie Service SARL",1,7,2013,2019,7
"Global Knowledge Partnership Foundation",1,7,2009,2015,7
"Global Water Partnership",1,7,2013,2019,7
"Government of the United Arab Emirates",4,3,2014,2016,7
"Grant Facility",1,7,2012,2018,7
"Greek Council for Refugees",1,7,2005,2011,7
"Hati Health Promise",1,7,2009,2015,7
"Health Equity International/St. Boniface Hospital",1,7,2014,2020,7
"Heritage Institute for Policy Studies",1,7,2013,2020,7
"Hjálparstarf kirkjunnar",2,6,2015,2020,7
"IMF Tech Ass Trust Fund",2,7,2007,2014,7
"Institut National de la Statistique",1,7,2013,2020,7
"Institute for Practical Research and Training",1,7,2013,2020,7
"Institute of Public Administration of Canada",1,7,2009,2015,7
"Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior",1,7,2014,2020,7
"Intergroupement Ishaka",1,7,2009,2018,7
"Interkerkelijk Vredesberaad",2,4,2013,2016,7
"International Development Support Services Pty Ltd",1,7,2005,2011,7
"International Orthodox Christian Charities",2,7,2010,2017,7
"Internews Europe",2,6,2015,2020,7
"INTERSOS",3,6,2013,2020,7
"INTOSAI Development Initiative",2,4,2017,2020,7
"Irish Contingent Humanitarian Account",1,7,2012,2019,7
"Istituto per la Cooperazione Universitaria",2,6,2015,2020,7
"Istituto Sindacale per la Cooperazione allo Sviluppo",1,7,2009,2015,7
"Lutheran World Relief",3,7,2010,2020,7
"Mada",1,7,2007,2019,7
"Malaria Consortium",2,7,2007,2018,7
"Mekong River Commission",1,7,2014,2020,7
"MERLIN",2,5,2009,2013,7
"Metta Development Foundation",1,7,2014,2020,7
"Minenerml",1,7,2014,2020,7
"Ministère de l' Action Humanitaire Et de la Réconciliation Nationale",1,7,2009,2015,7
"Ministère de l'Education Nationale de l'Enseignement Supérieur et de la Recherche",1,7,2009,2015,7
"Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi",1,7,2011,2020,7
"Ministère de la Construction, du Logement, de l'Assainissement et de l'Urbanisme",1,7,2008,2014,7
"Ministère des Infrastructures Economiques",1,7,2005,2011,7
"Ministério das Pescas",1,7,2010,2016,7
"Ministro das Finanças",1,7,2010,2019,7
"Ministry of Agriculture and Food Security",1,7,2013,2020,7
"Ministry of Agriculture, Livestock and Irrigation",1,7,2014,2020,7
"Ministry of Construction",1,7,2014,2020,7
"Ministry of Culture",2,7,2014,2020,7
"Ministry of Employment - Denmark",1,7,2014,2020,7
"Ministry of Energy - Norwary",3,5,2016,2020,7
"Ministry of Fisheries and Marine Resources",1,7,2009,2015,7
"Ministry of Foreign Affairs and International Trade",1,7,2005,2011,7
"Ministry of Health and Sports",1,7,2014,2020,7
"Ministry of Interior - France",4,3,2015,2020,7
"Ministry of National Planning and Economic Development",1,7,2014,2020,7
"Ministry of Planning and Finance",1,7,2014,2020,7
"Ministry of Rail Transportation",1,7,2014,2020,7
"Ministry of Science and Technology",1,7,2014,2020,7
"Ministry of Technical and Higher Education",1,7,2014,2020,7
"MOSAIC",1,7,2014,2020,7
"Movimiento Extrameño por La Paz",1,7,2014,2020,7
"Multi Donor Trust Fund",1,7,2014,2020,7
"National Bank of Belgium",1,7,2005,2011,7
"National Police Directorate - Norway",3,5,2005,2017,7
"Nepal Rastra Bank",1,7,2005,2011,7
"Nepal Schools Project",1,7,2005,2011,7
"NIRAS",1,7,2013,2019,7
"NIRAS Sweden AB",2,5,2016,2020,7
"Norla: Forsiden",1,7,2008,2014,7
"Nzoyiyaga Coffee Growers Cooperative",1,7,2012,2018,7
"One Earth",1,7,2005,2011,7
"Österreichische Orient-Gesellschaft",2,7,2005,2011,7
"Oxfam Italy",1,7,2014,2020,7
"Panos Global South Network",1,7,2006,2012,7
"PARTICULIER",2,4,2011,2014,7
"Partners West Africa",2,6,2013,2018,7
"PLAN International Belgium",4,5,2014,2020,7
"Platfòm Inite Òganizasyon Dezam",1,7,2014,2020,7
"Progetto Continenti",1,7,2014,2020,7
"Programme D'Appui Aux Filieres Agro-Sylvo-Pastorales",1,7,2010,2016,7
"PROMOTION ET DEVELOPPEMENT SOCIAL",1,7,2013,2019,7
"Public Works Project",1,7,2013,2020,7
"Radio Baidoa FM",1,7,2013,2020,7
"Radio La Benevolencija",1,7,2014,2020,7
"RET International",4,6,2010,2020,7
"Rikolto",2,7,2008,2020,7
"Royal Australasian College of Surgeons",1,7,2005,2011,7
"Seaview Montville Trust",1,7,2005,2011,7
"Sierra Leone Airports Authority",1,7,2014,2020,7
"Sierra Leone Ports Authority",1,7,2014,2020,7
"SNC-Lavalin",1,7,2014,2020,7
"Somali Consultant Association",1,7,2014,2020,7
"Somali Reconstruction and Social Development",1,7,2010,2016,7
"Somali Social Development Organization",1,7,2007,2013,7
"South Sudan Human Rights Commission",2,4,2009,2012,7
"Special Tribunal for Lebanon",1,7,2009,2020,7
"SSG Capital Advisors LLC",2,7,2014,2020,7
"State University of New York",2,7,2012,2018,7
"Synergie des Jeunes pour le Développement de leur Bien-Etre",1,7,2010,2016,7
"Taksvärkki ry",1,7,2014,2020,7
"Texas A&M University at Qatar",5,3,2018,2020,7
"Umam Documentation & Research",1,7,2009,2015,7
"Union des Sociétés Coopératives ""Guina"" de Tagari-Dogon",1,7,2014,2020,7
"Union des Sociétés Coopératives des Producteurs de Maïs de Dièdougou",1,7,2013,2019,7
"Unione Medico Missionaria Italiana",1,7,2005,2011,7
"UniQuest",1,7,2007,2013,7
"Unité Technique d'Exécution",1,7,2014,2020,7
"United Hands for Relief and Development",1,7,2013,2019,7
"United Nations Conference on Trade and Development",4,5,2005,2019,7
"United Nations Mission in South Sudan",2,7,2011,2017,7
"United Nations Multidimensional Integrated Stabilization Mission in Mali",1,7,2014,2020,7
"United Nations Secretariat",2,7,2006,2016,7
"Universal Financial Management Solutions",1,7,2005,2011,7
"Universidad de Granada",2,7,2011,2019,7
"Universidad del Valle",1,7,2013,2020,7
"Universidad EAFIT",1,7,2014,2020,7
"Universidad Politécnica de Madrid",1,7,2014,2020,7
"Universita Degli Studi La Sapienza",2,7,2011,2017,7
"Universities Canada",1,7,2008,2014,7
"Vysnova Partners, Inc.",2,6,2015,2020,7
"War Child",2,4,2017,2020,7
"World Literacy of Canada",1,7,2006,2012,7
"World Monument Fund",3,5,2014,2020,7
"Yangon Region Government",1,7,2014,2020,7
"Yme Foundation",1,7,2012,2018,7
"ABAAD – Resource Center for Gender Equality",1,6,2012,2020,6
"Abaarso Network",1,6,2015,2020,6
"ACE SECET",1,6,2014,2019,6
"ACONDA VS Côte d'Ivoire",1,6,2015,2020,6
"Action Contre la Faim - Spain",1,6,2015,2020,6
"ActionAid International Italy Onlus",1,6,2012,2017,6
"Acuity International",2,3,2017,2019,6
"Adventist Development and Relief Agency Czech Republic",3,3,2016,2018,6
"Africa Research and Resource Forum",1,6,2011,2016,6
"African Care ry",1,6,2012,2017,6
"African Wildlife Foundation",1,6,2013,2018,6
"Agency for Technical Cooperation - Tunisia",1,6,2008,2013,6
"Aggregates",6,1,2019,2019,6
"Ahfad University for Women",1,6,2009,2020,6
"Al-Ameen for Global Humanitarian Support",3,3,2018,2020,6
"Amici nel Mondo",1,6,2011,2016,6
"Andalusian Supportive association of Development",1,6,2015,2020,6
"Arapaz",2,4,2017,2020,6
"Arbeidernes Ungdomsfylking",1,6,2010,2015,6
"ARGEkultur Salzburg",2,6,2009,2015,6
"Asociacion Medicus Mundi Andalucia",1,6,2014,2020,6
"Asociación Minga",1,6,2015,2020,6
"Association Dushirehamwe",1,6,2012,2017,6
"Association for Strengthening Agricultural Research in Eastern and Central Africa",1,6,2008,2013,6
"Association for the Protection of Jabal Moussa",1,6,2015,2020,6
"Association Malienne des Droits de l'Homme",1,6,2008,2013,6
"Association Malienne pour la Paix et le Salut",1,6,2012,2017,6
"Association of Public Health Laboratories",1,6,2015,2020,6
"Banque Du Liban",1,6,2015,2020,6
"Baptistkirken",1,6,2011,2016,6
"Benevolence Coalition for Humanitarian Relief",1,6,2015,2020,6
"Board of Governors of Cape Breton University",1,6,2015,2020,6
"BRAC University",1,6,2010,2015,6
"Building Markets",1,6,2007,2012,6
"Cabildo Indígena del Resguardo de Guambia",1,6,2015,2020,6
"Cambodia Development Resource Institute",1,6,2015,2020,6
"Canadian Public Health Association",1,6,2005,2010,6
"Candlelight for Environment, Education, and Health",1,6,2014,2019,6
"Caribbean Community Climate Change Centre",1,6,2015,2020,6
"Caritas Cote d'Ivoire",1,6,2010,2015,6
"Center for Church-Based Development",2,5,2007,2011,6
"Center for Policy Dialogue",1,6,2010,2015,6
"Centre de Recherches et d'Etudes Agricoles Libanais",1,6,2010,2016,6
"Centre for Genetic Resources, the Netherlands",1,6,2007,2012,6
"Centre Suisse de Recherches Scientifique en Côte d'Ivoire",1,6,2008,2013,6
"Centres pour le Développement et la Santé",1,6,2015,2020,6
"Centro de Formación para la Paz",1,6,2015,2020,6
"Chatham House",3,5,2011,2020,6
"CI Energies",1,6,2009,2014,6
"CIHEAM Chania",2,4,2016,2019,6
"Clean Technology Fund",2,5,2016,2020,6
"Clovek v tísni",2,6,2011,2018,6
"Clowner utan Gränser Sweden",1,6,2007,2012,6
"Collège Montmorency",1,6,2006,2011,6
"Colombia Euskadi",1,6,2015,2020,6
"Comisión Colombiana de Juristas",1,6,2015,2020,6
"Comité National de Lutte contre le SIDA",1,6,2005,2019,6
"Commission Nationale des Droits de L'Homme du Mali",1,6,2009,2014,6
"Commonwealth Secretariat",1,6,2008,2013,6
"Community Empowerment for Rehabilitation and Development",1,6,2013,2019,6
"Compass Multi-Purpose Cooperative Society",1,6,2014,2020,6
"Conférence des institutions d'enseignement et de recherche économiques et de gestion en Afrique",3,2,2019,2020,6
"Coopérative des Producteurs de Semences Maraicheres du Mali",1,6,2015,2020,6
"Danaya SO",1,6,2014,2019,6
"Danmission",3,3,2018,2020,6
"Department of International Relations and Cooperation - South Africa",1,6,2007,2012,6
"Department of International Relations and EU Affairs - Greece",1,6,2008,2013,6
"Det Jyske Musikkonservatorium",1,6,2015,2020,6
"DevTech Systems, Inc.",2,3,2018,2020,6
"Dirección de Impuestos y Aduanas Nacionales",1,6,2014,2020,6
"Direction Nationale de l'Energie",1,6,2013,2018,6
"DLO Foundation",1,6,2007,2012,6
"DPW Training & Associates",3,4,2017,2020,6
"Eastern Sudan Reconstruction and Development Fund",1,6,2015,2020,6
"Ebony Center for Strategic Studies",1,6,2015,2020,6
"Éducation internationale",1,6,2015,2020,6
"Embassy of Greece in Rome",3,3,2007,2009,6
"Embassy of Norway in Bogotá",1,6,2015,2020,6
"Emergency Support Programme for Food Security - Benin",1,6,2011,2016,6
"Emmanuel International",1,6,2006,2011,6
"Emory University",1,6,2014,2019,6
"Environment Protection Authority",1,6,2008,2013,6
"EP A",1,6,2015,2020,6
"European Institute of the Mediterranean",2,3,2010,2012,6
"European Union Border Assistance Mission to Libya",1,6,2015,2020,6
"Eve Organization",1,6,2015,2020,6
"Fair Trade Group Nepal",1,6,2005,2010,6
"Federal Trade Commission - United Stand",1,6,2015,2020,6
"FESTIVAL SUR LE NIGER",1,6,2012,2017,6
"Finnish Consulting Group",1,6,2014,2019,6
"Foundation for International Community Assistance Canada",1,6,2015,2020,6
"Fracarita International",1,6,2011,2016,6
"Frontline AIDS",1,6,2011,2016,6
"Fundación Concordia y Libertad",1,6,2015,2020,6
"Fundación Panamericana para el Desarrollo",1,6,2015,2020,6
"Fundación PROCLADE",2,4,2017,2020,6
"Fundación Santa Fe de Bogotá",1,6,2015,2020,6
"Gannaane",1,6,2012,2017,6
"Gedefor",1,6,2014,2019,6
"Georgetown University",1,6,2015,2020,6
"Global Crop Diversity Trust",1,6,2012,2017,6
"Government of Australian Capital Territory",1,6,2005,2010,6
"Government of Cyprus",3,3,2018,2020,6
"Government of South Australia - Australia",1,6,2006,2011,6
"Groupe d'Appui au Développement du Sud",1,6,2015,2020,6
"Groupe de recherche et d'analyse appliquées pour le développement",2,3,2018,2020,6
"Groupe EIS-EKA",1,6,2014,2019,6
"Handicap International Belgium",1,6,2005,2010,6
"Hassall & Associates International",1,6,2005,2010,6
"Human Resources Development Service - South Korea",1,6,2009,2014,6
"Human Rights Center 'Postup'",1,6,2015,2020,6
"Human Rights Internet",1,6,2009,2014,6
"IDEAS Centre",1,6,2005,2010,6
"IEPA",1,6,2015,2020,6
"Industrial Bank of Yemen",1,6,2012,2019,6
"Inline Fiberglass Ltd",1,6,2005,2010,6
"Innovations for Poverty Action",3,4,2010,2020,6
"Institut National de la Recherche Agronomique",1,6,2008,2013,6
"Institute for Social and Environmental Transition - Nepal",1,6,2010,2015,6
"Institute of International Education Scholar Rescue Fund",2,3,2016,2018,6
"Institute of Policy Studies of Sri Lanka",1,6,2010,2015,6
"Instituto de Investigación en Recursos Biológicos Alexander Von Humbold",1,6,2013,2018,6
"International Centre for Diarrhoeal Disease Research, Bangladesh",1,6,2015,2020,6
"International Cooperation and Peace City of Turin - Italy",1,6,2013,2018,6
"International Development Cooperation - South Africa",1,6,2007,2012,6
"International Humanitarian City - United Arab Emirates",6,2,2015,2020,6
"International Tropical Timber Organization",2,6,2013,2020,6
"International Trypanotolerance Centre",1,6,2005,2010,6
"International Water Management Institute",1,6,2014,2019,6
"Islamic Relief Canada",2,4,2017,2020,6
"Italian Agency for Development Cooperation - Yangon Office",1,6,2015,2020,6
"Joint Donor Office",2,5,2010,2014,6
"Jóvenes y Desarrollo",2,4,2011,2014,6
"Jugend Eine Welt",1,6,2007,2012,6
"Justice Rapid Response",1,6,2014,2019,6
"KAASHIF Development Initiatives",1,6,2014,2019,6
"Kanybek General Trade and Investment Co Ltd",1,6,2015,2020,6
"Korea Saemaul Undong Center",3,4,2009,2020,6
"Kreditanstalt für Wiederaufbau",1,6,2015,2020,6
"L'Autorité Pour la Construction de la Route Savari-Gao",1,6,2011,2020,6
"L'Institut d'Anglais Intensif",1,6,2005,2010,6
"Lakou Lapé",1,6,2015,2020,6
"Landsforeningen for Hjerte- og Lungesyke",1,6,2015,2020,6
"Lebanese Association For Civil Rights",1,6,2008,2015,6
"Lebanese Association for History",1,6,2013,2018,6
"Lebanese Center for Human Rights",1,6,2014,2019,6
"Lebanese Transparency Association (LTA)",1,6,2009,2019,6
"Liberian Agricultural Sector Investment Plan - Liberia",1,6,2011,2016,6
"Lion Heart Foundation",1,6,2008,2013,6
"LIRNEasia",1,6,2015,2020,6
"Local Initiatives for Biodiversity, Research and Development",1,6,2007,2012,6
"LVIA – Associazione Internazionale Volontari Laici",1,6,2014,2019,6
"MAFO for Supporting Democracy and Human Rights",1,6,2013,2019,6
"Making Cents International",1,6,2015,2020,6
"Mano River Union Secretariat",1,6,2011,2016,6
"Mayday Rescue Foundation",1,6,2015,2020,6
"Mercy-USA",2,6,2013,2020,6
"Mercy Corps Europe",3,3,2018,2020,6
"MINAGRI, MIN PLAN",1,6,2005,2010,6
"Mines Action Canada",1,6,2009,2014,6
"Ministère de l'Agriculture et du Développement Rural",1,6,2011,2016,6
"Ministère de l'Agriculture, des Ressources Naturelles et du Développement Rural",1,6,2015,2020,6
"Ministère de l'Aménagement du Territoire, de l'Urbanisme et de l'Habitat",1,6,2005,2010,6
"Ministère de l'Enseignement supérieur et de la Recherche",1,6,2015,2020,6
"Ministere de la Défense et des Anciens Combattants",1,6,2014,2019,6
"Ministère de la Solidarité et de la Lutte contre la Pauvreté",1,6,2015,2020,6
"Ministère Mines, Pétroles et Energies",1,6,2009,2014,6
"Ministério da Economia, Plano e Integração Regional",1,6,2013,2020,6
"Ministério dos Recursos Naturais",1,6,2014,2019,6
"Ministre de l'Hydraulique, de l'Energie et des Mines - Burundi",1,6,2011,2020,6
"Ministry of Animal Resources and Fisheries - Burkina Faso",1,6,2015,2020,6
"Ministry of Education and Religious Affairs - Greece",5,2,2013,2014,6
"Ministry of Education and Sports",1,6,2005,2010,6
"Ministry of Environmental Conservation and Forestry",1,6,2015,2020,6
"Ministry of Finance - Senegal",1,6,2014,2019,6
"Ministry of Health - Djibouti",1,6,2015,2020,6
"Ministry of National Defense - Greece",4,3,2005,2011,6
"Ministry of National Defense - Portugal",2,4,2005,2008,6
"Ministry of Planning - Niger",1,6,2014,2019,6
"Ministry of Roads and Bridges",1,6,2014,2019,6
"Ministry of Social Affairs and Labor",1,6,2014,2019,6
"Ministry of the Environment - Italy",1,6,2015,2020,6
"Ministry of the Environment and Energy - Greece",1,6,2008,2013,6
"Ministry of Trade and Industry",1,6,2015,2020,6
"Miseli",1,6,2015,2020,6
"Misión de Observación Electoral",1,6,2015,2020,6
"Mission East",2,3,2018,2020,6
"Mission Inclusion",1,6,2015,2020,6
"Moffatt & Nichol",1,6,2012,2017,6
"Mondo",3,5,2014,2020,6
"Movilidad Futura S.A.S.",1,6,2015,2020,6
"MS",1,6,2011,2016,6
"Mudug Peace and Human Development Organization",1,6,2013,2019,6
"Museum Volkenkunde",1,6,2008,2013,6
"National Alliance of Christian Mutualities",2,3,2014,2016,6
"National Commission for Social Action",1,6,2005,2010,6
"National Forum for Human Rights",1,6,2012,2019,6
"National Higher School of Statistics and Applied Economics",2,3,2018,2020,6
"National Range Agency",1,6,2010,2019,6
"Nepal Food Corporation",1,6,2007,2012,6
"Noguchi Memorial Institute for Medical Research",1,6,2008,2013,6
"Nonviolent Peaceforce",1,6,2015,2020,6
"Norges Kristelige Student- og Skoleungdomsla",2,6,2009,2019,6
"Norwegian Coastal Administration",3,3,2018,2020,6
"Norwegian Directorate for Civil Protection",4,6,2007,2020,6
"Office of the Minister of State for Administrative Reform",1,6,2011,2020,6
"Organisation de Développement Durable et Solidaire D'Haïti",1,6,2015,2020,6
"Organizzazione Internazionale Italo-Latino Americana",1,6,2015,2020,6
"Palestinian Human Rights Organization",1,6,2009,2015,6
"Pan African Sanctuary Alliance",1,6,2011,2016,6
"Papyrus S.A.",1,6,2015,2020,6
"Pasteur Institute",1,6,2015,2020,6
"Paz con Dignidad",1,6,2015,2020,6
"Peace Brigades International",1,6,2015,2020,6
"Permanent Mission of Greece in Geneva",4,2,2007,2008,6
"PlateForme Diobass au Kivu",1,6,2009,2014,6
"Population Reference Bureau",1,6,2015,2020,6
"Population Services International Sudan",1,6,2008,2013,6
"PricewaterhouseCoopers",2,6,2010,2017,6
"Project Design & Management Pty Ltd",1,6,2005,2010,6
