raw_name,cleaned_name
"Federal Public Service Foreign Affairs, Foreign Trade and Development Cooperation - Belgium",federal public service foreign affairs foreign trade and development cooperation belgium
African Development Fund,african development fund
Canadian Red Cross,canadian red cross
Cassa Depositi e Prestiti - Italy,cassa depositi e prestiti italy
Dexis Consulting Group,dexis consulting group
Svenska Kyrkan,svenska kyrkan
Abt Associates Inc.,abt associates
International Finance Corporation,international finance
National Democratic Institute,national democratic institute
Svenska Missionsförbundet,svenska missionsforbundet
Federal Ministry of Finance - Germany,federal ministry of finance germany
Government of Turkey,government of turkey
Islamic Development Bank,islamic development bank
Norwegian Agency for Exchange Cooperation,norwegian agency for exchange cooperation
Rädda Barnen,radda barnen
Vía Directa,via directa
Embassy of Canada,embassy of canada
John Snow International,john snow international
Svenska Missionsrådet,svenska missionsradet
Coady Institute - Saint Francis Xavier University,coady institute saint francis xavier university
Management Sciences for Health,management sciences for health
"Social Solutions International, Inc.",social solutions international
Arab Bank for Economic Development in Africa,arab bank for economic development in africa
Trócaire,trocaire
Abu Dhabi Fund for Development - United Arab Emirates,abu dhabi fund for development united arab emirates
Adventist Development and Relief Agency International,adventist development and relief agency international
Community of Pais Vasco o Euskadi - Spain,community of pais vasco o euskadi spain
Government of Flanders - Belgium,government of flanders belgium
Government of Japan,government of japan
Federal Public Service Finance - Belgium,federal public service finance belgium
Mines Advisory Group,mines advisory group
Jhpiego,jhpiego
Red Barnet,red barnet
Strømmestiftelsen,strømmestiftelsen
Deloitte,deloitte
Grand Challenges Canada,grand challenges canada
Least Developed Countries Trust Fund (LDCF),least developed countries trust fund ldcf
Pingstmissionens Utvecklingssamarbete,pingstmissionens utvecklingssamarbete
Social Impact,social impact
Swedish Research Council,swedish research council
Plan International Canada,plan international canada
United Nations Department of Political and Peacebuilding Affairs,united nations department of political and peacebuilding affairs
Adoratrices Esclavas del Santísimo Sacramento y de la Caridad,adoratrices esclavas del santisimo sacramento y de la caridad
CARE Norge,care norge
Diakonia,diakonia
Fundación La Merced Migraciones,fundacion la merced migraciones
"Ministry of Education, Life Long Learning, and Religious Affairs - Greece",ministry of education life long learning and religious affairs greece
Abilis Foundation,abilis foundation
Ministry for Foreign Affairs - Sweden,ministry for foreign affairs sweden
Relief International,relief international
Right to Play International,right to play international
Saudi Fund for Development,saudi fund for development
Save the Children Canada,save the children canada
AVSI Foundation,avsi foundation
GOAL,goal
Organisation for Economic Co-operation and Development,organisation for economic co operation and development
Private Agencies Collaborating Together,private agencies collaborating together
University of North Carolina at Chapel Hill,university of north carolina at chapel hill
Centre for Humanitarian Dialogue,centre for humanitarian dialogue
Enabel - Belgium,enabel belgium
Global Communities,global communities
International Federation for Human Rights,international federation for human rights
The Arab Fund for Economic and Social Development,arab fund for economic and social development
Unione delle Chiese netodiste e valdesi,unione delle chiese netodiste e valdesi
International Business and Technical Consultants Inc.,international business and technical consultants
International Center for Transitional Justice,international center for transitional justice
Plan International Sverige,plan international sverige
United Nations Children's Fund - Spain Committee,united nations children s fund spain committee
Catholic Organization for Relief and Development,catholic organization for relief and development
Colleges and Institutes Canada,colleges and institutes canada
Green Climate Fund,green climate fund
Ministry of Science and Higher Education - Poland,ministry of science and higher education poland
Norges Røde Kors,norges røde kors
Swedish Police Authority,swedish police authority
World Vision Ireland,world vision ireland
Department of Defense - United States,department of defense united states
Ministry of Foreign Affairs - Greece,ministry of foreign affairs greece
Solidarités International,solidarites international
World University Service of Canada,world university service of canada
African Development Foundation - United States,african development foundation united states
Centre d'Étude et de Coopération Internationale,centre d etude et de cooperation internationale
Macro International,macro international
N/A,n a
Agriculture Cooperative Development International/Volunteers in Overseas Cooperative Assistance,agriculture cooperative development international volunteers in overseas cooperative assistance
International Peacebuilding Alliance,international peacebuilding alliance
King Salman Humanitarian Aid and Relief Center - Saudi Arabia,king salman humanitarian aid and relief center saudi arabia
Plan International Finland,plan international finland
Desjardins International Development,desjardins international development
International Fertilizer Development Center,international fertilizer development center
Michigan State University,michigan state university
United Nations Capital Development Fund,united nations capital development fund
Fundación Cepaim,fundacion cepaim
State Secretariat for Economic Affairs - Switzerland,state secretariat for economic affairs switzerland
Terre des Hommes Foundation,terre des hommes foundation
Adventist Development and Relief Agency Norge,adventist development and relief agency norge
Asociación Provivienda,asociacion provivienda
Caritas Suisse,caritas suisse
Counterpart International,counterpart international
DIANOVA International,dianova international
European Environmental Tribunal,european environmental tribunal
Fundación APIP-ACAM,fundacion apip acam
Red Crescent Authority of the United Arab Emirates,red crescent authority of the united arab emirates
The Carter Center,carter center
United Nations Multi-Partner Trust Fund Office,united nations multi partner trust fund office
DT Global,dt global
Islamic Relief Worldwide,islamic relief worldwide
Ministry of Foreign Affairs - Estonia,ministry of foreign affairs estonia
Polish National Agency for Academic Exchange,polish national agency for academic exchange
United States Pharmacopeial Convention,united states pharmacopeial convention
Vétérinaires Sans Frontières International,veterinaires sans frontieres international
Caritas Norge,caritas norge
Community of Andalucía - Spain,community of andalucia spain
Heavily Indebted Poor Countries Debt Initiative Trust Fund,heavily indebted poor countries debt initiative trust fund
International Atomic Energy Agency,international atomic energy agency
Interpeace,interpeace
"Ministry of Education, Science, Research and Sport - Slovakia",ministry of education science research and sport slovakia
Ministry of Foreign Affairs - Poland,ministry of foreign affairs poland
We Social Movements,we social movements
Adaptation Fund,adaptation fund
Blumont,blumont
Community of Extremadura - Spain,community of extremadura spain
Johns Hopkins University,johns hopkins university
Oxfam Denmark,oxfam denmark
Université du Québec en Outaouais,universite du quebec en outaouais
Asian Development Bank,asian development bank
Country Based Pooled Funds,country based pooled funds
Croix-Rouge de Belgique,croix rouge de belgique
Education Development Center,education development center
Oesterreichische Kontrollbank AG,oesterreichische kontrollbank ag
Plan International Ireland,plan international ireland
Slovak Aid,slovak aid
Task Force for Global Health,task force for global health
Cooperazione Internazionale,cooperazione internazionale
Fondation suisse pour la paix,fondation suisse pour la paix
HALO Trust,halo trust
International Republican Institute,international republican institute
Near East Foundation,near east foundation
Rescate Internacional,rescate internacional
SeedChange,seedchange
Tempus Public Foundation,tempus public foundation
Wildlife Conservation Society,wildlife conservation society
Winrock International,winrock international
Canadian Lutheran World Relief,canadian lutheran world relief
Canadian Police Arrangement,canadian police arrangement
Caritas International Belgium,caritas international belgium
Department of Labor - United States,department of labor united states
Economic Community of West African States,economic community of west african states
Federation of Canadian Municipalities,federation of canadian municipalities
Fida International,fida international
Flemish Interuniversity Council,flemish interuniversity council
Government of Austria,government of austria
Individual,individual
Inter Pares,inter pares
International Business Machines Corp.,international business machines
International Development Law Organization,international development law organization
Louis Berger International,louis berger international
Macfadden,macfadden
MEDAIR,medair
Médecins Du Monde,medecins du monde
Ministry of Foreign Affairs - Portugal,ministry of foreign affairs portugal
Norfund - Norway,norfund norway
Public Health Institute,public health institute
Université Laval,universite laval
Academy for Educational Development,academy for educational development
Alight,alight
EngenderHealth,engenderhealth
Federal Ministry of the Interior Building and Community - Germany,federal ministry of the interior building and community germany
General Directorate of Humanitarian Attention and Social Inclusion of Immigration - Spain,general directorate of humanitarian attention and social inclusion of immigration spain
Horizont 3000,horizont 3000
International Foundation for Electoral Systems,international foundation for electoral systems
"Ministry of Education, Higher Education and Research - France",ministry of education higher education and research france
Oxfam Belgium,oxfam belgium
Saferworld,saferworld
Suomen Lähetysseura,suomen lahetysseura
Swedish Rescue Services Agency,swedish rescue services agency
World Trade Organization,world trade organization
ZOA International,zoa international
Act Church of Sweden,act church of sweden
Carlson Wagonlit Italia,carlson wagonlit italia
Creative Associates International,creative associates international
"Jefferson Consulting Group, LLC",jefferson consulting group
Ministry of Foreign and European Affairs - Slovenia,ministry of foreign and european affairs slovenia
Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment - United Arab Emirates,mohammed bin rashid al maktoum humanitarian and charity establishment united arab emirates
Österreichisches Rotes Kreuz,osterreichisches rotes kreuz
Pathfinder International,pathfinder international
African Union,african union
Agency for Education and Internationalization - Austria,agency for education and internationalization austria
"Association for Cultural, Technical and Educational Cooperation",association for cultural technical and educational cooperation
Autorité du Bassin du Niger,autorite du bassin du niger
Centro Internacional de Agricultura Tropical,centro internacional de agricultura tropical
Embassy of the United Arab Emirates,embassy of the united arab emirates
Ministry of Defence - Italy,ministry of defence italy
Ministry of Defense - Spain,ministry of defense spain
Ministry of Education and Research - Norway,ministry of education and research norway
United Nations Development Fund for Women,united nations development fund for women
UPA International Development,upa international development
Avocats Sans Frontières,avocats sans frontieres
CARE Österreich,care osterreich
Christian Aid Ireland,christian aid ireland
Crisis Management Initiative,crisis management initiative
Environmental Development Action in the Third World,environmental development action in the third world
Equitas,equitas
Finnish Refugee Council,finnish refugee council
International Institute for Democracy and Electoral Assistance,international institute for democracy and electoral assistance
Plan International,plan international
PMU InterLife,pmu interlife
Projektgroep voor Technische Ontwikkelingssamenwerking,projektgroep voor technische ontwikkelingssamenwerking
Société de coopération pour le développement international,societe de cooperation pour le developpement international
University Research Co.,university research co
Caritas Internationalis,caritas internationalis
Center for International Private Enterprise,center for international private enterprise
Community of Las Illes Balears - Spain,community of las illes balears spain
Conseil Interuniversitaire de la Communauté Française de Belgique,conseil interuniversitaire de la communaute francaise de belgique
FOKUS – Forum for Women and Development,fokus – forum for women and development
Government of the United Kingdom,government of the united kingdom
International Planned Parenthood Federation,international planned parenthood federation
Italian Red Cross,italian red cross
Makerere University,makerere university
Ministry of Education - Saudi Arabia,ministry of education saudi arabia
Ministry of Health - Spain,ministry of health spain
MSI Reproductive Choices,msi reproductive choices
Public Services and Procurement Canada,public services and procurement canada
Solsoc,solsoc
Swedish Prison and Probation Service,swedish prison and probation service
Tearfund,tearfund
"Training Resources Group, Inc.",training resources group
Union to Union,union to union
United Nations Relief and Works Agency for Palestine Refugees in the Near East,united nations relief and works agency for palestine refugees in the near east
Universitat de València,universitat de valencia
Caritas Österreich,caritas osterreich
College of William and Mary,college of william and mary
Entreculturas,entreculturas
"Federal Ministry of Agriculture, Forestry, Regions and Water Management - Austria",federal ministry of agriculture forestry regions and water management austria
Fondation Hirondelle,fondation hirondelle
Freedom House,freedom house
NORC at the University of Chicago,norc at the university of chicago
Oxfam Intermón,oxfam intermon
PACT World,pact world
Première Urgence Internationale,premiere urgence internationale
Save the Children Sweden,save the children sweden
Solidaridad Internacional,solidaridad internacional
Terre sans frontières,terre sans frontieres
United Nations Volunteers,united nations volunteers
Aga Khan Foundation Canada,aga khan foundation canada
Avocats Sans Frontières Canada,avocats sans frontieres canada
Center for Internationalization of Higher Education - Norway,center for internationalization of higher education norway
Danish Demining Group,danish demining group
Embassy of the Netherlands,embassy of the netherlands
Federal Ministry of Defense - Austria,federal ministry of defense austria
L'école nationale d'administration publique,l ecole nationale d administration publique
McGill University,mcgill university
Ministère de l'Économie et des Finances,ministere de l economie et des finances
Ministry of Education,ministry of education
Ministry of Foreign Affairs - Lithuania,ministry of foreign affairs lithuania
Palladium Group,palladium group
Royal Canadian Mounted Police,royal canadian mounted police
Siemenpuu Foundation,siemenpuu foundation
Solidaritetsaksjon for utvikling,solidaritetsaksjon for utvikling
Statistics Norway,statistics norway
The Atlas Alliance,atlas alliance
"University of California, Davis",university of california davis
Via Don Bosco,via don bosco
Association of European Parliamentarians with Africa,association of european parliamentarians with africa
Broederlijk Delen,broederlijk delen
Community of Madrid - Spain,community of madrid spain
HELVETAS Swiss Intercooperation,helvetas swiss intercooperation
International Alert,international alert
International Cocoa Organization,international cocoa organization
Internews,internews
Khalifa Bin Zayed Al Nahyan Foundation,khalifa bin zayed al nahyan foundation
Médecins du Monde Canada,medecins du monde canada
Media Development Investment Fund,media development investment fund
Ministry of Interior - Spain,ministry of interior spain
"Movimiento por la Paz, el Desarme y la Libertad",movimiento por la paz el desarme y la libertad
Nathan Associates,nathan associates
Oxfam Novib,oxfam novib
United Nations Central Emergency Response Fund,united nations central emergency response fund
United Nations Children's Fund - United States Committee,united nations children s fund united states committee
Viestintä ja kehitys -säätiö,viestinta ja kehitys saatio
Australian Agency For International Development,australian agency for international development
Community of Galicia - Spain,community of galicia spain
Community of Navarra - Spain,community of navarra spain
Community of Valenciana - Spain,community of valenciana spain
Croix-Rouge Suisse,croix rouge suisse
Department of Energy - United States,department of energy united states
DMOS-COMIDE,dmos comide
EnCompass LLC,encompass
Fondation Jules et Paul-émile Léger,fondation jules et paul emile leger
Geneva Call,geneva call
Gvc Gruppo Di Volontariato Civile,gvc gruppo di volontariato civile
Mellemfolkeligt Samvirke,mellemfolkeligt samvirke
Mennonite Central Committee Canada,mennonite central committee canada
Ministry for Foreign Affairs - Iceland,ministry for foreign affairs iceland
Ministry of Interior - Czech Republic,ministry of interior czech republic
National Academy of Sciences,national academy of sciences
Norwegian Aid Committee,norwegian aid committee
Olof Palme International Center,olof palme international center
Organization of American States,organization of american states
Partnership for Supply Chain Management,partnership for supply chain management
Swiss Tropical and Public Health Institute,swiss tropical and public health institute
The Cadmus Group,cadmus group
Alliance for a Green Revolution in Africa,alliance for a green revolution in africa
Asian Institute of Technology,asian institute of technology
Association pour la Promotion de l'Education et de la Formation à l'étranger,association pour la promotion de l education et de la formation a l etranger
Belgian Investment Company for Developing Countries,belgian investment company for developing countries
Community of Asturias - Spain,community of asturias spain
Embassy of Canada to Cote d'Ivoire,embassy of canada to cote d ivoire
Financiere Agricole du Quebec Developpement International,financiere agricole du quebec developpement international
Humanity and Inclusion Canada,humanity and inclusion canada
Information Management and Mine Action Programs,information management and mine action programs
Inter-American Culture and Development Foundation,inter american culture and development foundation
MENTOR Initiative,mentor initiative
Ministry of Interior,ministry of interior
Solidarité Union Coopération,solidarite union cooperation
Terra Nuova,terra nuova
Toronto Leadership Centre,toronto leadership centre
Trade and Development Agency - United States,trade and development agency united states
Volontariato Internazionale per lo Sviluppo,volontariato internazionale per lo sviluppo
Volunteers for Economic Growth Alliance,volunteers for economic growth alliance
"AIDA, Ayuda, Intercambio y Desarrollo",aida ayuda intercambio y desarrollo
American University of Beirut,american university of beirut
Community of Cataluña - Spain,community of cataluna spain
Conflict Dynamics International,conflict dynamics international
Czech Development Agency,czech development agency
Doctors of the World Canada,doctors of the world canada
Fondation Paul Gérin-Lajoie,fondation paul gerin lajoie
Grupo Tragsa,grupo tragsa
IMA World Health,ima world health
Inter-American Development Bank,inter american development bank
Leger uten grenser Norge,leger uten grenser norge
Ministry of Industry and Energy - Spain,ministry of industry and energy spain
Organisation Ouest Africaine de la Santé,organisation ouest africaine de la sante
Pelastakaa Lapset ry,pelastakaa lapset ry
SN Power AS,sn power as
The Royal Institution for the Advancement of Learning,royal institution for the advancement of learning
United Nations Children's Fund - Canada Committee,united nations children s fund canada committee
United Nations Institute for Training and Research,united nations institute for training and research
World Wildlife Fund,world wildlife fund
Zayed Bin Sultan Al Nahyan Charitable and Humanitarian Foundation,zayed bin sultan al nahyan charitable and humanitarian foundation
AfDB Fragile States Facility,afdb fragile states facility
African Field Epidemiology Network,african field epidemiology network
Attorney-Generals,attorney generals
C2D Services,c2d services
Catalyste+,catalyste+
Chenega Corporation,chenega
Christian Michelsen Institute for Science and Intellectual Freedom,christian michelsen institute for science and intellectual freedom
"Consortium Desjardins International Development and Financière agricole du Québec-Développement
International",consortium desjardins international development and financiere agricole du quebec developpement international
"Federal Ministry for Environment, Nature Conservation and Nuclear Safety - Germany",federal ministry for environment nature conservation and nuclear safety germany
Government of South Sudan,government of south sudan
High Commission of Canada to Kenya,high commission of canada to kenya
Inner City Fund,inner city fund
