raw_name,cleaned_name
Moore Global,moore global
"Movement for Peace, Disarmament and Freedom",movement for peace disarmament and freedom
Movimento Africa '70,movimento africa 70
Mujeres en Zona de Conflicto,mujeres en zona de conflicto
Multilateral Investment Guarantee Agency,multilateral investment guarantee agency
Multinational Civil-Military Cooperation Group - Italy,multinational civil military cooperation group italy
National Bureau of Statistics,national bureau of statistics
National Rural Electric Cooperative Association,national rural electric cooperative association
National Serum Institute - Denmark,national serum institute denmark
New York University,new york university
NIRAS A/S,niras a s
Norges R<f8>de Kors,norges r<f8>de kors
Norsk Utenrikspolitisk Institutt,norsk utenrikspolitisk institutt
Norwegian Ocean Industry Authority,norwegian ocean industry authority
Oslo universitetssykehus,oslo universitetssykehus
PacArctic LLC,pacarctic
Parmaalimenta,parmaalimenta
Parole et Action pour le Réveil des Consciences et l Evolution des Mentalités,parole et action pour le reveil des consciences et l evolution des mentalites
Partners of the Americas,partners of the americas
Peace Research Institute Oslo,peace research institute oslo
"Perez, APC",perez apc
Physicians Across Continents,physicians across continents
Plan International Mali,plan international mali
Plan International Nederland,plan international nederland
Polish Center for International Aid,polish center for international aid
Prima Materia,prima materia
Programme National de Lutte contre le Paludisme,programme national de lutte contre le paludisme
Programme Nationale De Lutte Contre Le Paludisme,programme nationale de lutte contre le paludisme
Public Health Agency - Canada,public health agency canada
Purdue University,purdue university
Residual Special Court for Sierra Leone,residual special court for sierra leone
Romanian Agency for International Development,romanian agency for international development
Rural Reconstruction Nepal,rural reconstruction nepal
Rural Water Supply and Sanitation Fund Development Board,rural water supply and sanitation fund development board
Sant Pon Ayiti,sant pon ayiti
Scaling Up Renewable Energy Program,scaling up renewable energy program
Scatec,scatec
Sentinel Project for Genocide Prevention,sentinel project for genocide prevention
Sierra Leones Venner,sierra leones venner
Social Welfare Fund,social welfare fund
Technical Assistance Special Fund - Asian Development Bank,technical assistance special fund asian development bank
TechnoServe,technoserve
The American University in Cairo,american university in cairo
The Equality Fund,equality fund
Transtec,transtec
Trust fund via European Investment Bank,trust fund via european investment bank
UAP Properties Limited,uap properties
Unidad Nacional para la Gestión del Riesgo de Desastres,unidad nacional para la gestion del riesgo de desastres
United Nations Children's Fund - Belgium Committee,united nations children s fund belgium committee
United Nations Development Programme Guinea-Bissau,united nations development programme guinea bissau
United Nations Development Programme Mali,united nations development programme mali
United Nations General Trust Fund,united nations general trust fund
United Nations High Commissioner for Refugees - Euskal Batzordea,united nations high commissioner for refugees euskal batzordea
United States Conference of Catholic Bishops,united states conference of catholic bishops
Universidad de los Andes,universidad de los andes
Università degli studi dell'Aquila,universita degli studi dell aquila
Université Gaston Berger de Saint-Louis,universite gaston berger de saint louis
University Grants Commission - India,university grants commission india
University of the West Indies,university of the west indies
University of Yaoundé II,university of yaounde ii
Velum Ventures S.A.S.,velum ventures s a s
World Neighbours Canada,world neighbours canada
World Renew,world renew
WSP Canada Inc,wsp canada
"Acte de Sensibilisation, d’Education et de Promotion Théâtrale",acte de sensibilisation d’education et de promotion theatrale
Adventist Development and Relief Agency Danmark,adventist development and relief agency danmark
AECE E,aece e
African Medical and Research Foundation,african medical and research foundation
African Parks Foundation of America,african parks foundation of america
Afro-Asiatisches Institut Vienna,afro asiatisches institut vienna
Agence Nationale d'Investissements des Collectivités Territoriales,agence nationale d investissements des collectivites territoriales
Agricultural Research Council - Nigeria,agricultural research council nigeria
American Bar Association,american bar association
Amsterdam Institute for Global Health and Development,amsterdam institute for global health and development
Apprio,apprio
Asociación de Productores del Corregimiento de Puerto Frazadas Vereda las Vegas,asociacion de productores del corregimiento de puerto frazadas vereda las vegas
Asociación para el Desarrollo Campesino Pasto,asociacion para el desarrollo campesino pasto
ASOCIACIÓN PROYDE,asociacion proyde
Associazione Centro ELIS,associazione centro elis
Associazione per la Cooperazione Socio-Sanitaria Internazionale,associazione per la cooperazione socio sanitaria internazionale
Atlantic Council for International Cooperation,atlantic council for international cooperation
Australian Red Cross,australian red cross
Bannock Consulting LTD,bannock consulting
Baytna Syria,baytna syria
Berytech,berytech
Biladi,biladi
Bolloré Group,bollore group
CA PA,ca pa
Canadian Teachers' Federation,canadian teachers federation
Cáritas Colombiana,caritas colombiana
Center for Civilians in Conflict,center for civilians in conflict
Central Bank of Yemen,central bank of yemen
Centre for Economic and Social Development,centre for economic and social development
Centro di Educazione Sanitaria e Tecnologie Appropriate Sanitarie,centro di educazione sanitaria e tecnologie appropriate sanitarie
Centro Laici Italiani per le Missioni,centro laici italiani per le missioni
Children’s Cancer Center of Lebanon,children’s cancer center of lebanon
City of Montreal - Canada,city of montreal canada
Collaboration Santé Internationale,collaboration sante internationale
Colombian Commission of Jurists,colombian commission of jurists
Columbia University,columbia university
Community of Canarias - Spain,community of canarias spain
Consultoría para los Derechos Humanos y el Desplazamiento,consultoria para los derechos humanos y el desplazamiento
Cooperazione Internazionale Sud Sud,cooperazione internazionale sud sud
Danida Fellowship Centre - Denmark,danida fellowship centre denmark
Dar Al-Salam Organization,dar al salam organization
Department of Justice - United States,department of justice united states
Department of the Premier and Cabinet - Australia,department of the premier and cabinet australia
Directorate of Hospitals and Laboratory Services- Sierra Leone,directorate of hospitals and laboratory services sierra leone
Directorate of Water Resources and Improvement of River Systems,directorate of water resources and improvement of river systems
EcoFuturo,ecofuturo
Ecole Polytechnique Fédérale de Zurich,ecole polytechnique federale de zurich
Econ Pöyry AS,econ poyry as
Embassy of Canada to Jordan,embassy of canada to jordan
Ente Nazionale Giuseppini del Murialdo,ente nazionale giuseppini del murialdo
Environmental Cleaning Solutions S.A.,environmental cleaning solutions s a
Etana,etana
European Union Capacity Building Mission in Mali,european union capacity building mission in mali
Euskal Herriko Unibertsitatea,euskal herriko unibertsitatea
Family Counseling & Development Foundation,family counseling development foundation
Family Planning Association of Nepal,family planning association of nepal
Fastenaktion,fastenaktion
Federación SETEM,federacion setem
Federal Ministry of Health,federal ministry of health
Federal State of North Rhine - Westphalia - Germany,federal state of north rhine westphalia germany
Fellowship for African Relief,fellowship for african relief
FIAN International,fian international
Fondation Haitienne pour le Maintien de la Paix Sociale,fondation haitienne pour le maintien de la paix sociale
Fondation Réseau D’Entreprise Des Artisans,fondation reseau d’entreprise des artisans
Fondation Sainte Rita,fondation sainte rita
Frontiers Ruwad Association,frontiers ruwad association
Fundación Arcángeles,fundacion arcangeles
Fundación Capital,fundacion capital
Fundación Mundubat,fundacion mundubat
Fundación Neme,fundacion neme
Fundación Social de Holcim Colombia,fundacion social de holcim colombia
Fundación Triángulo,fundacion triangulo
General Corporation for Electrical Industries and Renewable Energy,general corporation for electrical industries and renewable energy
Georgetown University in Qatar,georgetown university in qatar
Geotechnologie Service SARL,geotechnologie service
Global Knowledge Partnership Foundation,global knowledge partnership foundation
Global Water Partnership,global water partnership
Government of the United Arab Emirates,government of the united arab emirates
Grant Facility,grant facility
Greek Council for Refugees,greek council for refugees
Hati Health Promise,hati health promise
Health Equity International/St. Boniface Hospital,health equity international st boniface hospital
Heritage Institute for Policy Studies,heritage institute for policy studies
Hjálparstarf kirkjunnar,hjalparstarf kirkjunnar
IMF Tech Ass Trust Fund,imf tech ass trust fund
Institut National de la Statistique,institut national de la statistique
Institute for Practical Research and Training,institute for practical research and training
Institute of Public Administration of Canada,institute of public administration of canada
Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior,instituto colombiano de credito educativo y estudios tecnicos en el exterior
Intergroupement Ishaka,intergroupement ishaka
Interkerkelijk Vredesberaad,interkerkelijk vredesberaad
International Development Support Services Pty Ltd,international development support services
International Orthodox Christian Charities,international orthodox christian charities
Internews Europe,internews europe
INTERSOS,intersos
INTOSAI Development Initiative,intosai development initiative
Irish Contingent Humanitarian Account,irish contingent humanitarian account
Istituto per la Cooperazione Universitaria,istituto per la cooperazione universitaria
Istituto Sindacale per la Cooperazione allo Sviluppo,istituto sindacale per la cooperazione allo sviluppo
Lutheran World Relief,lutheran world relief
Mada,mada
Malaria Consortium,malaria consortium
Mekong River Commission,mekong river commission
MERLIN,merlin
Metta Development Foundation,metta development foundation
Minenerml,minenerml
Ministère de l' Action Humanitaire Et de la Réconciliation Nationale,ministere de l action humanitaire et de la reconciliation nationale
Ministère de l'Education Nationale de l'Enseignement Supérieur et de la Recherche,ministere de l education nationale de l enseignement superieur et de la recherche
Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi,ministere de l’enseignement superieur et de la recherche scientifique burundi
"Ministère de la Construction, du Logement, de l'Assainissement et de l'Urbanisme",ministere de la construction du logement de l assainissement et de l urbanisme
Ministère des Infrastructures Economiques,ministere des infrastructures economiques
Ministério das Pescas,ministerio das pescas
Ministro das Finanças,ministro das financas
Ministry of Agriculture and Food Security,ministry of agriculture and food security
"Ministry of Agriculture, Livestock and Irrigation",ministry of agriculture livestock and irrigation
Ministry of Construction,ministry of construction
Ministry of Culture,ministry of culture
Ministry of Employment - Denmark,ministry of employment denmark
Ministry of Energy - Norwary,ministry of energy norwary
Ministry of Fisheries and Marine Resources,ministry of fisheries and marine resources
Ministry of Foreign Affairs and International Trade,ministry of foreign affairs and international trade
Ministry of Health and Sports,ministry of health and sports
Ministry of Interior - France,ministry of interior france
Ministry of National Planning and Economic Development,ministry of national planning and economic development
Ministry of Planning and Finance,ministry of planning and finance
Ministry of Rail Transportation,ministry of rail transportation
Ministry of Science and Technology,ministry of science and technology
Ministry of Technical and Higher Education,ministry of technical and higher education
MOSAIC,mosaic
Movimiento Extrameño por La Paz,movimiento extrameno por la paz
Multi Donor Trust Fund,multi donor trust fund
National Bank of Belgium,national bank of belgium
National Police Directorate - Norway,national police directorate norway
Nepal Rastra Bank,nepal rastra bank
Nepal Schools Project,nepal schools project
NIRAS,niras
NIRAS Sweden AB,niras sweden ab
Norla: Forsiden,norla forsiden
Nzoyiyaga Coffee Growers Cooperative,nzoyiyaga coffee growers cooperative
One Earth,one earth
Österreichische Orient-Gesellschaft,osterreichische orient gesellschaft
Oxfam Italy,oxfam italy
Panos Global South Network,panos global south network
PARTICULIER,particulier
Partners West Africa,partners west africa
PLAN International Belgium,plan international belgium
Platfòm Inite Òganizasyon Dezam,platfom inite oganizasyon dezam
Progetto Continenti,progetto continenti
Programme D'Appui Aux Filieres Agro-Sylvo-Pastorales,programme d appui aux filieres agro sylvo pastorales
PROMOTION ET DEVELOPPEMENT SOCIAL,promotion et developpement social
Public Works Project,public works project
Radio Baidoa FM,radio baidoa fm
Radio La Benevolencija,radio la benevolencija
RET International,ret international
Rikolto,rikolto
Royal Australasian College of Surgeons,royal australasian college of surgeons
Seaview Montville Trust,seaview montville trust
Sierra Leone Airports Authority,sierra leone airports authority
Sierra Leone Ports Authority,sierra leone ports authority
SNC-Lavalin,snc lavalin
Somali Consultant Association,somali consultant association
Somali Reconstruction and Social Development,somali reconstruction and social development
Somali Social Development Organization,somali social development organization
South Sudan Human Rights Commission,south sudan human rights commission
Special Tribunal for Lebanon,special tribunal for lebanon
SSG Capital Advisors LLC,ssg capital advisors
State University of New York,state university of new york
Synergie des Jeunes pour le Développement de leur Bien-Etre,synergie des jeunes pour le developpement de leur bien etre
Taksvärkki ry,taksvarkki ry
Texas A&M University at Qatar,texas a m university at qatar
Umam Documentation & Research,umam documentation research
"Union des Sociétés Coopératives ""Guina"" de Tagari-Dogon",union des societes cooperatives guina de tagari dogon
Union des Sociétés Coopératives des Producteurs de Maïs de Dièdougou,union des societes cooperatives des producteurs de mais de diedougou
Unione Medico Missionaria Italiana,unione medico missionaria italiana
UniQuest,uniquest
Unité Technique d'Exécution,unite technique d execution
United Hands for Relief and Development,united hands for relief and development
United Nations Conference on Trade and Development,united nations conference on trade and development
United Nations Mission in South Sudan,united nations mission in south sudan
United Nations Multidimensional Integrated Stabilization Mission in Mali,united nations multidimensional integrated stabilization mission in mali
United Nations Secretariat,united nations secretariat
Universal Financial Management Solutions,universal financial management solutions
Universidad de Granada,universidad de granada
Universidad del Valle,universidad del valle
Universidad EAFIT,universidad eafit
Universidad Politécnica de Madrid,universidad politecnica de madrid
Universita Degli Studi La Sapienza,universita degli studi la sapienza
Universities Canada,universities canada
"Vysnova Partners, Inc.",vysnova partners
War Child,war child
World Literacy of Canada,world literacy of canada
World Monument Fund,world monument fund
Yangon Region Government,yangon region government
Yme Foundation,yme foundation
ABAAD – Resource Center for Gender Equality,abaad – resource center for gender equality
Abaarso Network,abaarso network
ACE SECET,ace secet
ACONDA VS Côte d'Ivoire,aconda vs cote d ivoire
Action Contre la Faim - Spain,action contre la faim spain
ActionAid International Italy Onlus,actionaid international italy onlus
Acuity International,acuity international
Adventist Development and Relief Agency Czech Republic,adventist development and relief agency czech republic
Africa Research and Resource Forum,africa research and resource forum
African Care ry,african care ry
African Wildlife Foundation,african wildlife foundation
Agency for Technical Cooperation - Tunisia,agency for technical cooperation tunisia
Aggregates,aggregates
Ahfad University for Women,ahfad university for women
Al-Ameen for Global Humanitarian Support,al ameen for global humanitarian support
Amici nel Mondo,amici nel mondo
Andalusian Supportive association of Development,andalusian supportive association of development
Arapaz,arapaz
Arbeidernes Ungdomsfylking,arbeidernes ungdomsfylking
ARGEkultur Salzburg,argekultur salzburg
Asociacion Medicus Mundi Andalucia,asociacion medicus mundi andalucia
Asociación Minga,asociacion minga
Association Dushirehamwe,association dushirehamwe
Association for Strengthening Agricultural Research in Eastern and Central Africa,association for strengthening agricultural research in eastern and central africa
Association for the Protection of Jabal Moussa,association for the protection of jabal moussa
Association Malienne des Droits de l'Homme,association malienne des droits de l homme
Association Malienne pour la Paix et le Salut,association malienne pour la paix et le salut
Association of Public Health Laboratories,association of public health laboratories
Banque Du Liban,banque du liban
Baptistkirken,baptistkirken
Benevolence Coalition for Humanitarian Relief,benevolence coalition for humanitarian relief
Board of Governors of Cape Breton University,board of governors of cape breton university
BRAC University,brac university
Building Markets,building markets
Cabildo Indígena del Resguardo de Guambia,cabildo indigena del resguardo de guambia
Cambodia Development Resource Institute,cambodia development resource institute
Canadian Public Health Association,canadian public health association
"Candlelight for Environment, Education, and Health",candlelight for environment education and health
Caribbean Community Climate Change Centre,caribbean community climate change centre
Caritas Cote d'Ivoire,caritas cote d ivoire
Center for Church-Based Development,center for church based development
Center for Policy Dialogue,center for policy dialogue
Centre de Recherches et d'Etudes Agricoles Libanais,centre de recherches et d etudes agricoles libanais
"Centre for Genetic Resources, the Netherlands",centre for genetic resources the netherlands
Centre Suisse de Recherches Scientifique en Côte d'Ivoire,centre suisse de recherches scientifique en cote d ivoire
Centres pour le Développement et la Santé,centres pour le developpement et la sante
Centro de Formación para la Paz,centro de formacion para la paz
Chatham House,chatham house
CI Energies,ci energies
CIHEAM Chania,ciheam chania
Clean Technology Fund,clean technology fund
Clovek v tísni,clovek v tisni
Clowner utan Gränser Sweden,clowner utan granser sweden
Collège Montmorency,college montmorency
Colombia Euskadi,colombia euskadi
Comisión Colombiana de Juristas,comision colombiana de juristas
Comité National de Lutte contre le SIDA,comite national de lutte contre le sida
Commission Nationale des Droits de L'Homme du Mali,commission nationale des droits de l homme du mali
Commonwealth Secretariat,commonwealth secretariat
Community Empowerment for Rehabilitation and Development,community empowerment for rehabilitation and development
Compass Multi-Purpose Cooperative Society,compass multi purpose cooperative society
Conférence des institutions d'enseignement et de recherche économiques et de gestion en Afrique,conference des institutions d enseignement et de recherche economiques et de gestion en afrique
Coopérative des Producteurs de Semences Maraicheres du Mali,cooperative des producteurs de semences maraicheres du mali
Danaya SO,danaya so
Danmission,danmission
Department of International Relations and Cooperation - South Africa,department of international relations and cooperation south africa
Department of International Relations and EU Affairs - Greece,department of international relations and eu affairs greece
Det Jyske Musikkonservatorium,det jyske musikkonservatorium
"DevTech Systems, Inc.",devtech systems
Dirección de Impuestos y Aduanas Nacionales,direccion de impuestos y aduanas nacionales
Direction Nationale de l'Energie,direction nationale de l energie
DLO Foundation,dlo foundation
DPW Training & Associates,dpw training associates
Eastern Sudan Reconstruction and Development Fund,eastern sudan reconstruction and development fund
Ebony Center for Strategic Studies,ebony center for strategic studies
Éducation internationale,education internationale
Embassy of Greece in Rome,embassy of greece in rome
Embassy of Norway in Bogotá,embassy of norway in bogota
Emergency Support Programme for Food Security - Benin,emergency support programme for food security benin
Emmanuel International,emmanuel international
Emory University,emory university
Environment Protection Authority,environment protection authority
EP A,ep a
European Institute of the Mediterranean,european institute of the mediterranean
European Union Border Assistance Mission to Libya,european union border assistance mission to libya
Eve Organization,eve organization
Fair Trade Group Nepal,fair trade group nepal
Federal Trade Commission - United Stand,federal trade commission united stand
FESTIVAL SUR LE NIGER,festival sur le niger
Finnish Consulting Group,finnish consulting group
Foundation for International Community Assistance Canada,foundation for international community assistance canada
Fracarita International,fracarita international
Frontline AIDS,frontline aids
Fundación Concordia y Libertad,fundacion concordia y libertad
Fundación Panamericana para el Desarrollo,fundacion panamericana para el desarrollo
Fundación PROCLADE,fundacion proclade
Fundación Santa Fe de Bogotá,fundacion santa fe de bogota
Gannaane,gannaane
Gedefor,gedefor
Georgetown University,georgetown university
Global Crop Diversity Trust,global crop diversity trust
Government of Australian Capital Territory,government of australian capital territory
Government of Cyprus,government of cyprus
Government of South Australia - Australia,government of south australia australia
Groupe d'Appui au Développement du Sud,groupe d appui au developpement du sud
Groupe de recherche et d'analyse appliquées pour le développement,groupe de recherche et d analyse appliquees pour le developpement
Groupe EIS-EKA,groupe eis eka
Handicap International Belgium,handicap international belgium
Hassall & Associates International,hassall associates international
Human Resources Development Service - South Korea,human resources development service south korea
Human Rights Center 'Postup',human rights center postup
Human Rights Internet,human rights internet
IDEAS Centre,ideas centre
IEPA,iepa
Industrial Bank of Yemen,industrial bank of yemen
Inline Fiberglass Ltd,inline fiberglass
Innovations for Poverty Action,innovations for poverty action
Institut National de la Recherche Agronomique,institut national de la recherche agronomique
Institute for Social and Environmental Transition - Nepal,institute for social and environmental transition nepal
Institute of International Education Scholar Rescue Fund,institute of international education scholar rescue fund
Institute of Policy Studies of Sri Lanka,institute of policy studies of sri lanka
Instituto de Investigación en Recursos Biológicos Alexander Von Humbold,instituto de investigacion en recursos biologicos alexander von humbold
"International Centre for Diarrhoeal Disease Research, Bangladesh",international centre for diarrhoeal disease research bangladesh
International Cooperation and Peace City of Turin - Italy,international cooperation and peace city of turin italy
International Development Cooperation - South Africa,international development cooperation south africa
International Humanitarian City - United Arab Emirates,international humanitarian city united arab emirates
International Tropical Timber Organization,international tropical timber organization
International Trypanotolerance Centre,international trypanotolerance centre
International Water Management Institute,international water management institute
Islamic Relief Canada,islamic relief canada
Italian Agency for Development Cooperation - Yangon Office,italian agency for development cooperation yangon office
Joint Donor Office,joint donor office
Jóvenes y Desarrollo,jovenes y desarrollo
Jugend Eine Welt,jugend eine welt
Justice Rapid Response,justice rapid response
KAASHIF Development Initiatives,kaashif development initiatives
Kanybek General Trade and Investment Co Ltd,kanybek general trade and investment co
Korea Saemaul Undong Center,korea saemaul undong center
Kreditanstalt für Wiederaufbau,kreditanstalt fur wiederaufbau
L'Autorité Pour la Construction de la Route Savari-Gao,l autorite pour la construction de la route savari gao
L'Institut d'Anglais Intensif,l institut d anglais intensif
Lakou Lapé,lakou lape
Landsforeningen for Hjerte- og Lungesyke,landsforeningen for hjerte og lungesyke
Lebanese Association For Civil Rights,lebanese association for civil rights
Lebanese Association for History,lebanese association for history
Lebanese Center for Human Rights,lebanese center for human rights
Lebanese Transparency Association (LTA),lebanese transparency association lta
Liberian Agricultural Sector Investment Plan - Liberia,liberian agricultural sector investment plan liberia
Lion Heart Foundation,lion heart foundation
LIRNEasia,lirneasia
"Local Initiatives for Biodiversity, Research and Development",local initiatives for biodiversity research and development
LVIA – Associazione Internazionale Volontari Laici,lvia – associazione internazionale volontari laici
MAFO for Supporting Democracy and Human Rights,mafo for supporting democracy and human rights
Making Cents International,making cents international
Mano River Union Secretariat,mano river union secretariat
Mayday Rescue Foundation,mayday rescue foundation
Mercy-USA,mercy usa
Mercy Corps Europe,mercy corps europe
"MINAGRI, MIN PLAN",minagri min plan
Mines Action Canada,mines action canada
Ministère de l'Agriculture et du Développement Rural,ministere de l agriculture et du developpement rural
"Ministère de l'Agriculture, des Ressources Naturelles et du Développement Rural",ministere de l agriculture des ressources naturelles et du developpement rural
"Ministère de l'Aménagement du Territoire, de l'Urbanisme et de l'Habitat",ministere de l amenagement du territoire de l urbanisme et de l habitat
Ministère de l'Enseignement supérieur et de la Recherche,ministere de l enseignement superieur et de la recherche
Ministere de la Défense et des Anciens Combattants,ministere de la defense et des anciens combattants
Ministère de la Solidarité et de la Lutte contre la Pauvreté,ministere de la solidarite et de la lutte contre la pauvrete
"Ministère Mines, Pétroles et Energies",ministere mines petroles et energies
"Ministério da Economia, Plano e Integração Regional",ministerio da economia plano e integracao regional
Ministério dos Recursos Naturais,ministerio dos recursos naturais
"Ministre de l'Hydraulique, de l'Energie et des Mines - Burundi",ministre de l hydraulique de l energie et des mines burundi
Ministry of Animal Resources and Fisheries - Burkina Faso,ministry of animal resources and fisheries burkina faso
Ministry of Education and Religious Affairs - Greece,ministry of education and religious affairs greece
Ministry of Education and Sports,ministry of education and sports
Ministry of Environmental Conservation and Forestry,ministry of environmental conservation and forestry
Ministry of Finance - Senegal,ministry of finance senegal
Ministry of Health - Djibouti,ministry of health djibouti
Ministry of National Defense - Greece,ministry of national defense greece
Ministry of National Defense - Portugal,ministry of national defense portugal
Ministry of Planning - Niger,ministry of planning niger
Ministry of Roads and Bridges,ministry of roads and bridges
Ministry of Social Affairs and Labor,ministry of social affairs and labor
Ministry of the Environment - Italy,ministry of the environment italy
Ministry of the Environment and Energy - Greece,ministry of the environment and energy greece
Ministry of Trade and Industry,ministry of trade and industry
Miseli,miseli
Misión de Observación Electoral,mision de observacion electoral
Mission East,mission east
Mission Inclusion,mission inclusion
Moffatt & Nichol,moffatt nichol
Mondo,mondo
Movilidad Futura S.A.S.,movilidad futura s a s
MS,ms
Mudug Peace and Human Development Organization,mudug peace and human development organization
Museum Volkenkunde,museum volkenkunde
National Alliance of Christian Mutualities,national alliance of christian mutualities
National Commission for Social Action,national commission for social action
National Forum for Human Rights,national forum for human rights
National Higher School of Statistics and Applied Economics,national higher school of statistics and applied economics
National Range Agency,national range agency
Nepal Food Corporation,nepal food
Noguchi Memorial Institute for Medical Research,noguchi memorial institute for medical research
Nonviolent Peaceforce,nonviolent peaceforce
Norges Kristelige Student- og Skoleungdomsla,norges kristelige student og skoleungdomsla
Norwegian Coastal Administration,norwegian coastal administration
Norwegian Directorate for Civil Protection,norwegian directorate for civil protection
Office of the Minister of State for Administrative Reform,office of the minister of state for administrative reform
Organisation de Développement Durable et Solidaire D'Haïti,organisation de developpement durable et solidaire d haiti
Organizzazione Internazionale Italo-Latino Americana,organizzazione internazionale italo latino americana
Palestinian Human Rights Organization,palestinian human rights organization
Pan African Sanctuary Alliance,pan african sanctuary alliance
Papyrus S.A.,papyrus s a
Pasteur Institute,pasteur institute
Paz con Dignidad,paz con dignidad
Peace Brigades International,peace brigades international
Permanent Mission of Greece in Geneva,permanent mission of greece in geneva
PlateForme Diobass au Kivu,plateforme diobass au kivu
Population Reference Bureau,population reference bureau
Population Services International Sudan,population services international sudan
PricewaterhouseCoopers,pricewaterhousecoopers
Project Design & Management Pty Ltd,project design management
Proyectarte,proyectarte
Public Financial Management Reform Division,public financial management reform division
Public sector Lunds Universitet,public sector lunds universitet
Puntland Community ry,puntland community ry
Q2 Impact,q2 impact
Qatar Charity,qatar charity
Rauði krossinn,rauði krossinn
Relief And Development Committee,relief and development committee
Remote Medical International,remote medical international
ROAD MAINTENANCE FUND,road maintenance fund
Road management agency,road management agency
Salesian Missions,salesian missions
Salmmah Women’s Resource Centre,salmmah women’s resource centre
Salvamento Marítimo Humanitario,salvamento maritimo humanitario
Scuola Superiore Sant'Anna,scuola superiore sant anna
Senter for Interkulturell kommunikasjon,senter for interkulturell kommunikasjon
SEP/CNLS,sep cnls
Service Oecumenique d'Entraide,service oecumenique d entraide
Sightsaver,sightsaver
Sister Arab Forum for Human Rights,sister arab forum for human rights
Small Enterprise Assistance Funds,small enterprise assistance funds
Social Development Group,social development group
Social Policy and Development Centre,social policy and development centre
Sociedad Peruana de Derecho Ambiental,sociedad peruana de derecho ambiental
Société Tchadienne d'Eau et d'Electricité,societe tchadienne d eau et d electricite
Soldepaz Pachakuti,soldepaz pachakuti
Somali Association of Healthcare & Education Development,somali association of healthcare education development
Somali Family Services,somali family services
SOS Children's Villages Canada,sos children s villages canada
SPIESE,spiese
St. Mary's Hospital Lacor,st mary s hospital lacor
Stockholm International Peace Research Institute,stockholm international peace research institute
Sudan Democracy First Group,sudan democracy first group
Sustainable Development Policy Institute,sustainable development policy institute
Svenska Burmakommittén,svenska burmakommitten
Swedish Development Partner,swedish development partner
Swedish Meteorological and Hydrological Institute,swedish meteorological and hydrological institute
Syria Justice and Accountability Centre,syria justice and accountability centre
Tearfund Australia,tearfund australia
Teasdale-Corti Foundation,teasdale corti foundation
Thailand Environment Institute,thailand environment institute
The Centre for Poverty Analysis,centre for poverty analysis
The Day After,day after
The Oslo Center,oslo center
The Seafarers' Training Directorate - Greece,seafarers training directorate greece
TWITEZIMBERE MICROFINANCE,twitezimbere microfinance
Umeå universitet,umea universitet
UNDP Southeast Asia HIV and Development Programme,undp southeast asia hiv and development programme
Union Aid Abroad-APHEDA,union aid abroad apheda
Union of Quebec Municipalities - Canada,union of quebec municipalities canada
United Nations Humanitarian Air Service,united nations humanitarian air service
United Nations Operation in Côte d'Ivoire,united nations operation in cote d ivoire
Universidad Javeriana,universidad javeriana
Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali,universita degli studi di roma tre dipartimento di studi aziendali
Università della Calabria,universita della calabria
Università di Bologna,universita di bologna
Université de Conakry,universite de conakry
Universitetet i Bergen,universitetet i bergen
Universitetet i Tromsø,universitetet i tromsø
University of Alberta,university of alberta
University of Calgary Financial Services,university of calgary financial services
University of Florida,university of florida
University of Yangon,university of yangon
URS Australia,urs australia
Van Vollenhoven Instituut,van vollenhoven instituut
Vlaams Internationaal Centrum,vlaams internationaal centrum
Volontari Italiani Solidarietà Paesi Emergenti,volontari italiani solidarieta paesi emergenti
Western University,western university
Women's International League for Peace and Freedom,women s international league for peace and freedom
"Women's Learning Partnership for Rights, Development and Peace",women s learning partnership for rights development and peace
Women's Rehabilitation Centre,women s rehabilitation centre
World Conference on Religion and Peace,world conference on religion and peace
World Council of Credit Unions,world council of credit unions
Yemen Arabian Sea Ports Corporation,yemen arabian sea ports
YMCA Canada,ymca canada
Youth Development Foundation Inc.,youth development foundation
Youth Volunteers For Development & Environment Conservation,youth volunteers for development environment conservation
&PROUD,proud
00717 - DIRECCION GENERAL PARA LA ATEN,00717 direccion general para la aten
ActionAid Myanmar,actionaid myanmar
Africa Humanitarian Action,africa humanitarian action
African Union-United Nations Hybrid Operation in Darfur,african union united nations hybrid operation in darfur
Afrik-Poll,afrik poll
Afro-Asiatisches Institut Vienna,afro asiatisches institut vienna
Agence de Médecine Préventive,agence de medecine preventive
Al Basar International Foundation,al basar international foundation
Al Farouk Humanitarian Foundation,al farouk humanitarian foundation
Albany Communication Trust,albany communication trust
Alf Ba Civilian Coexistence Foundation,alf ba civilian coexistence foundation
Alliance for Peacebuilding,alliance for peacebuilding
Alsafwa General Hospital,alsafwa general hospital
Amahoro Onlus,amahoro onlus
American Bar Association Fund for Justice and Education,american bar association fund for justice and education
Amimbaru Paste Processing Cooperative Society,amimbaru paste processing cooperative society
Appui au Développement Intégral et à la Solidarité sur les Collines,appui au developpement integral et a la solidarite sur les collines
Arab Human Rights Fund,arab human rights fund
Arab Image Foundation,arab image foundation
Asia Indigenous Peoples Pact,asia indigenous peoples pact
Asociación de Campesinos de la Vereda Palmas,asociacion de campesinos de la vereda palmas
