dep_var,dropped_state,estimate,std_error,base_estimate
fragmentation,bdi,-0.40665090762392786,0.05426040915427836,-0.4100558072736604
fragmentation,car,-0.40902361315236313,0.05437805011920269,-0.4100558072736604
fragmentation,cdi,-0.4277242012670367,0.050786861125344994,-0.4100558072736604
fragmentation,chad,-0.4156917844346874,0.054034300233649434,-0.4100558072736604
fragmentation,col,-0.4300445596776355,0.049731608753161155,-0.4100558072736604
fragmentation,gb,-0.40262358182333086,0.05376997051888155,-0.4100558072736604
fragmentation,lbn,-0.41160949782822553,0.05436299560601356,-0.4100558072736604
fragmentation,lib,-0.39164387711312754,0.050465222433668265,-0.4100558072736604
fragmentation,mali,-0.42465626675762363,0.051956563332976276,-0.4100558072736604
fragmentation,mmr,-0.42990575841661804,0.04979905246219748,-0.4100558072736604
fragmentation,npl,-0.3903645509340916,0.04987547618140598,-0.4100558072736604
fragmentation,sdn,-0.39773991457473584,0.05267003655055344,-0.4100558072736604
fragmentation,sle,-0.4000396760884836,0.053258605312070155,-0.4100558072736604
fragmentation,syr,-0.4097762929395243,0.0543890693091969,-0.4100558072736604
fragmentation,tls,-0.3972915919064577,0.052540300277555414,-0.4100558072736604
fragmentation,yem,-0.41610684184069496,0.053979783354213086,-0.4100558072736604
weighted_fragmentation,bdi,-0.4371889293319864,0.06748884084140436,-0.4392297346052036
weighted_fragmentation,car,-0.44009828710036947,0.06751950686782515,-0.4392297346052036
weighted_fragmentation,cdi,-0.4591235949771084,0.06386987574820617,-0.4392297346052036
weighted_fragmentation,chad,-0.4459513668208279,0.06711894703699411,-0.4392297346052036
weighted_fragmentation,col,-0.4614442995160938,0.06293435193729874,-0.4392297346052036
weighted_fragmentation,gb,-0.4306282668651368,0.06685794956546469,-0.4392297346052036
weighted_fragmentation,lbn,-0.4438307172039608,0.06733573713485203,-0.4392297346052036
weighted_fragmentation,lib,-0.4120617232213367,0.06052920191643152,-0.4392297346052036
weighted_fragmentation,mali,-0.45963759929744474,0.06367270843430524,-0.4392297346052036
weighted_fragmentation,mmr,-0.4592638650630188,0.0638166284900586,-0.4392297346052036
weighted_fragmentation,npl,-0.4152011340760822,0.06212003369372929,-0.4392297346052036
weighted_fragmentation,sdn,-0.42159266902270104,0.06466979087075377,-0.4392297346052036
weighted_fragmentation,sle,-0.42761000495905854,0.06630154410614551,-0.4392297346052036
weighted_fragmentation,syr,-0.441659885442139,0.06747318329235777,-0.4392297346052036
weighted_fragmentation,tls,-0.42262131019592986,0.06499957490644614,-0.4392297346052036
weighted_fragmentation,yem,-0.4497621005900635,0.0665216923883279,-0.4392297346052036
modularity,bdi,-0.005958961457180462,0.029132271914401903,-0.003848162762110947
modularity,car,-0.007135084799473333,0.028999701093925596,-0.003848162762110947
modularity,cdi,-0.005920730329182249,0.02913560397999191,-0.003848162762110947
modularity,chad,-0.014900073661577501,0.026567286999155944,-0.003848162762110947
modularity,col,-0.001045089259242865,0.029061309722136813,-0.003848162762110947
modularity,gb,0.0018813256399391593,0.028535025655486854,-0.003848162762110947
modularity,lbn,-0.008733223626068118,0.02872505109507576,-0.003848162762110947
modularity,lib,0.016770057877685787,0.018385747791994055,-0.003848162762110947
modularity,mali,-0.006394553880818042,0.029089974382580607,-0.003848162762110947
modularity,mmr,-0.003636668941639965,0.029224025617742063,-0.003848162762110947
modularity,npl,-0.0030057944934220268,0.0292102135387731,-0.003848162762110947
modularity,sdn,0.0015806423576757028,0.02860630381052809,-0.003848162762110947
modularity,sle,-0.008957761627488006,0.028677591316491172,-0.003848162762110947
modularity,syr,-0.0012619269099690576,0.02908570692830976,-0.003848162762110947
modularity,tls,-0.003962073595166311,0.029224685129677557,-0.003848162762110947
modularity,yem,-0.010890687487847847,0.02817604755312141,-0.003848162762110947
density,bdi,-0.01633209134432154,0.011257349730836915,-0.01659872203323956
density,car,-0.01674311137517323,0.011260058440397746,-0.01659872203323956
density,cdi,-0.01685613793717948,0.01125761009646916,-0.01659872203323956
density,chad,-0.009811021519607905,0.008419275050618869,-0.01659872203323956
density,col,-0.01756251705259285,0.011211003006072674,-0.01659872203323956
density,gb,-0.017711044534372,0.011194295649531158,-0.01659872203323956
density,lbn,-0.016444086351863035,0.011259893279002262,-0.01659872203323956
density,lib,-0.023137674216843634,0.008654964215345954,-0.01659872203323956
density,mali,-0.017039397451970226,0.011250710313823289,-0.01659872203323956
density,mmr,-0.018393411285398592,0.011086217179319407,-0.01659872203323956
density,npl,-0.014827636549181856,0.011090824318797092,-0.01659872203323956
density,sdn,-0.016116834234827467,0.011248658900312111,-0.01659872203323956
density,sle,-0.015623891131965438,0.011209844632183509,-0.01659872203323956
density,syr,-0.018233262316777042,0.011116244687611807,-0.01659872203323956
density,tls,-0.013524086415111896,0.010739567840800428,-0.01659872203323956
density,yem,-0.017223348814646766,0.01124013313571707,-0.01659872203323956
