dep_var,placebo_treated,estimate,std_error,p_value,true_estimate
fragmentation,bdi,0.07989407612221275,0.05701946038997605,0.18026043501874092,-0.4100558072736604
fragmentation,car,0.042079081762777054,0.057187119180202466,0.4724939660460563,-0.4100558072736604
fragmentation,cdi,-0.25596154131483395,0.05482459460143348,2.5679576137658557e-4,-0.4100558072736604
fragmentation,chad,-0.06419489804926437,0.057101747242615714,0.27750415156299085,-0.4100558072736604
fragmentation,col,-0.2929422534837519,0.05405061117692608,5.671104978848784e-5,-0.4100558072736604
fragmentation,gb,0.14407958106922886,0.056493713415467994,0.021387473983915176,-0.4100558072736604
fragmentation,lbn,8.665447412196464e-4,0.05725132368465434,0.9881109693123182,-0.4100558072736604
fragmentation,lib,0.3190686248880948,0.05343304292650351,1.9552958947484223e-5,-0.4100558072736604
fragmentation,mali,-0.20706633507106023,0.055675147446462264,0.0018652368564505094,-0.4100558072736604
fragmentation,mmr,-0.2907301083862863,0.05410017242257831,6.207023128487108e-5,-0.4100558072736604
fragmentation,npl,0.33945788586648135,0.05290888838891418,8.539477118707374e-6,-0.4100558072736604
fragmentation,sdn,0.22191302784371153,0.055437193468607794,0.0010256164144354242,-0.4100558072736604
fragmentation,sle,0.1852605787183551,0.055993184976168446,0.004437902448162927,-0.4100558072736604
fragmentation,syr,0.030083247654893917,0.05721853024578002,0.6062654745641867,-0.4100558072736604
fragmentation,tls,0.22905817036939374,0.05531641459805589,7.678752370211162e-4,-0.4100558072736604
fragmentation,yem,-0.07080987545751193,0.057069275115007145,0.2325764468457635,-0.4100558072736604
weighted_fragmentation,bdi,0.059977192454722536,0.06900884968141034,0.3976303448836267,-0.4392297346052036
weighted_fragmentation,car,0.013609303021121573,0.06911140241267266,0.8463710962214429,-0.4392297346052036
weighted_fragmentation,cdi,-0.28960654126440494,0.06655053100949032,4.944862749846815e-4,-0.4392297346052036
weighted_fragmentation,chad,-0.07967415502368665,0.06892606321798411,0.2646768827608613,-0.4392297346052036
weighted_fragmentation,col,-0.3265927698544883,0.06583585851976469,1.4167174299920066e-4,-0.4392297346052036
weighted_fragmentation,gb,0.1645377505201415,0.06829909769898591,0.028401320785690357,-0.4392297346052036
weighted_fragmentation,lbn,-0.045876301754865983,0.06905373092718675,0.5159231619512923,-0.4392297346052036
