dep_var,synthdid_estimate,std_error,lb,ub,n_units,n_years,rmspe_pre,rmspe_post,rmspe_ratio
fragmentation,-0.30448198075465305,0.16827659170022397,-0.634304100487092,0.02534013897778592,19,16,0.3874046476488671,0.21133854594324783,0.5455240333998245
weighted_fragmentation,-0.31820191382476226,0.2310663473079025,-0.7710919545482511,0.1346881268987266,19,16,0.37032863128688226,0.22930200650766802,0.6191851969718074
modularity,0.08323219067662131,0.1160467016152535,-0.14421934448927554,0.3106837258425182,19,16,0.0801823487908308,0.09440420750968727,1.1773689463245407
