dep_var,placebo_year,estimate,std_error,p_value,true_estimate
fragmentation,2007,0.09264068049865565,0.04890661664778242,0.07641617684217787,-0.03399151816201743
weighted_fragmentation,2007,0.12327412258548888,0.05622543502632822,0.04347399955311257,-0.05154592662732187
modularity,2007,-0.04209520860275748,0.020544479440291585,0.0572334528440226,0.036997934083855724
density,2007,-0.0023539039513143212,0.002932592593882357,0.43392730750796726,-8.83640011341496e-4
