dep_var,true_estimate,placebo_mean,placebo_sd,p_perm_two_sided,n_placebos
density,-0.01659872203323956,0.0010374201270774725,0.043438323198886054,0.4375,16
fragmentation,-0.4100558072736604,0.025628487954603752,0.20980104933871357,0,16
modularity,-0.003848162762110947,2.4051017263191664e-4,0.11273088389762767,0.875,16
weighted_fragmentation,-0.4392297346052036,0.0274518584128252,0.2604725395096365,0.0625,16
